Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Final_Implementation,Fidelity_Status,Divergence_Type,Reviewer_Conflict,Evidence_and_Reason,New_Duplication_Scope_or_Term_Issues,Required_Correction,Overall_Conclusion
38,General,226,G_Others_026,학습-운용 데이터 간 데이터셋 시프트,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_EVAL_041 [G_SYS_EVAL] 분포 이동을 놓치는 평가로 인한 허위 안전확신; 편집명세 REWRITE:G_SYS_EVAL:분포 이동을 놓치는 평가로 인한 허위 안전확신,FAIL,의도변형,없음,Performance and Reliability Failure 이관을 Evaluation Failure로 재작성했다.,뚜렷한 신규 문제 없음,"평가 실패를 뒷받침하는 원문 근거가 없으면 삭제하고, 있으면 원 검수자 재승인을 받는다.",Needs revision
39,General,230,G_Others_030,센서 드리프트에 의한 배포 시스템 성능 저하,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_APPLY_TRANSFER_APPLIED; P_SYS_STATE_013 [P_SYS_STATE] 센서 드리프트에 따른 물리 상태추정 오류; 편집명세 APPLY_TRANSFER:P_SYS_STATE:센서 드리프트에 따른 물리 상태추정 오류,FAIL,의도변형,없음,Performance and Reliability Failure 이관 대신 Physical State Estimation으로 이동했다.,뚜렷한 신규 문제 없음,센서 드리프트 상태추정 이관안을 원 검수자에게 재승인받거나 성능 범주 예외를 명시한다.,Needs revision
40,General,274,G_Others_074,잘못된 데이터 라벨,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,L3 부재에 따른 삭제 여부를 인간이 명시적으로 승인해야 한다.,Needs revision
41,General,284,G_Others_084,개발 과정 문서화와 데이터 이해의 부족,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,L3 부재에 따른 삭제 여부를 인간이 명시적으로 승인해야 한다.,Needs revision
42,General,285,G_Others_085,학습 데이터의 대표성 부족,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,L3 부재에 따른 삭제 여부를 인간이 명시적으로 승인해야 한다.,Needs revision
43,General,286,G_Others_086,복잡한 신경망 모델의 내재적 견고성 취약성,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_SECADV_044 [G_SYS_SECADV] 적대적 교란에 의한 모델 취약성 악용; 편집명세 REWRITE:G_SYS_SECADV:적대적 교란에 의한 모델 취약성 악용,FAIL,의도변형·범위축소,없음,일반 성능·신뢰성 이관 요청에서 악의적 적대 공격 부분만 남겨 Security로 바꿨다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,악의적 공격과 일반 성능 실패를 분리하고 원 검수자에게 보존 범위를 확인한다.,Needs revision
44,General,318,G_Others_118,학습·검증 데이터의 품질 결함과 부적절한 선 택,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_SPLIT_APPLIED; G_INT_ALLOC_006 [G_INT_ALLOC] 보호집단에 대한 불리한 자원 배분 || G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산; 편집명세 SPLIT:G_INT_REPR:보호집단 고정관념의 재생산 || SPLIT:G_INT_ALLOC:보호집단에 대한 불리한 자원 배분,FAIL,의도변형,없음,명시된 Performance and Reliability Failure 이관 대신 표현·배분 카드로 의미를 재구성했다.,뚜렷한 신규 문제 없음,"성능 카드 삭제 또는 별도 인간 결정으로 처리하고, 원문에 명시되지 않은 차별 피해를 새로 만들지 않는다.",Needs revision
45,General,341,G_Others_141,배포 후 잔존 결함으로 인한 오작동,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,복합 성능 카드를 분할할지 삭제할지 인간 결정을 다시 받는다.,Needs revision
46,General,356,G_SOC_CULT_008,AI 의사결정에 의한 인간 행위주체성·감독·공정 대우의 침식,"(jay) [분할] 복합적. Non-Contestability, Governance and Accountability Void 혼재되어 해당 L4를 분해 필요",복합 의미를 L3·위해 기제별로 분할,G_SYS_CONTEST | G_SOC_GOV,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_SYS_CONTEST_004 [G_SYS_CONTEST] AI 결정에 대한 이의제기와 중단의 불가능 || G_SOC_GOV_023 [G_SOC_GOV] AI 피해에 대한 책임·거버넌스 공백; 편집명세 SPLIT:G_SYS_CONTEST:AI 결정에 대한 이의제기와 중단의 불가능 || SPLIT:G_SOC_GOV:AI 피해에 대한 책임·거버넌스 공백,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
47,General,357,G_SOC_CULT_009,인간의 의사결정 능력·거부권 침식,(jay) [이관] Non-Contestability,지목된 L3 또는 도메인으로 이관,G_SYS_CONTEST,지정 범위(G_SYS_CONTEST)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_CONTEST_001 [G_SYS_CONTEST] 인간의 의사결정 능력·거부권 침식,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
48,General,358,G_SOC_CULT_010,인간 존엄성 침식,(jay) [분할] 복합적. Cultural and Epistemic Erosion + Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_REPR | G_SOC_CULT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산 || G_SOC_CULT_015 [G_SOC_CULT] 저자원 언어와 문화적 의미의 침식; 편집명세 SPLIT:G_SOC_CULT:저자원 언어와 문화적 의미의 침식 || SPLIT:G_INT_REPR:보호집단 고정관념의 재생산,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
49,General,362,G_SOC_DEMOC_001,시민 심사와 맞춤형 선전을 통한 편향적 영향 력,(jay) [분할] 복합적. Erosion of Democracy and Civic Order + Political Bias and Manipulation 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식; 편집명세 SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
50,General,363,G_SOC_DEMOC_002,초개인화 광고의 소비자 자율성 훼손,(jay) [이관] unethical Conduct and Manipulation,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,지정 범위(G_INT_UNETH)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_UNETH_017 [G_INT_UNETH] 초개인화 광고의 소비자 자율성 훼손,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
51,General,435,G_SYS_CONTEST_001,높은 비용으로 인한 접근 배제,(jay) [이관] Inequality and Power Concentration,지목된 L3 또는 도메인으로 이관,G_SOC_POWER,지정 범위(G_SOC_POWER)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_POWER_021 [G_SOC_POWER] 높은 비용으로 인한 접근 배제,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
52,General,437,G_SYS_CONTEST_003,사용자 데이터 보유·재학습,(jay) [이관] Privacy Violation,지목된 L3 또는 도메인으로 이관,G_INT_PRIV,지정 범위(G_INT_PRIV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_PRIV_021 [G_INT_PRIV] 사용자 데이터 보유·재학습,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
53,General,440,G_SYS_CONTEXT_002,맥락적 프라이버시 보호 실패,(jay) [분할] 복합적. 맥락 인식 실패 + Privacy violation 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_PRIV,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_APPLY_TRANSFER_APPLIED; G_INT_PRIV_026 [G_INT_PRIV] 맥락 오인에 따른 개인정보 침해; 편집명세 APPLY_TRANSFER:G_INT_PRIV:맥락 오인에 따른 개인정보 침해,PARTIAL,과소반영,없음,Context Failure와 Privacy Violation 분할 요청에서 Privacy 카드만 남기고 맥락 실패를 원인으로 흡수했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,두 기제를 분리하거나 단일 결과 카드로 축약한 이유를 원 검수자에게 확인받는다.,Needs revision
54,General,444,G_SYS_CONTEXT_006,저자원 언어 가치 손실,"(jay) [분할] 복합적. Cultural and Epistemic Erosion, Evaluation and Assurance Failure + 부족한 성능 및 역량에 대한 부분이 혼재되어 해당 L4를 분해 필요 | (jay) [신규 L3] 부족한 성능이나 역량은 ""신규 L3 생성"" 또는 ""Input Comprehension Failure 개념의 확대 (Input Processing and Comprehension Failure)""",복합 의미를 L3·위해 기제별로 분할,G_SYS_EVAL | G_SOC_CULT | PROPOSED_INPUT_SCOPE_EXPANSION,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_APPLY_TRANSFER_APPLIED; G_SOC_CULT_015 [G_SOC_CULT] 저자원 언어와 문화적 의미의 침식; 편집명세 APPLY_TRANSFER:G_SOC_CULT:저자원 언어와 문화적 의미의 침식,PARTIAL,과소반영,없음,문화 침식만 남기고 Evaluation Failure 및 성능·역량 부분을 제거했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,제외된 평가·성능 부분의 삭제 근거와 신규 L3 금지 제약을 인간 결정으로 기록한다.,Needs revision
55,General,445,G_SYS_CONTEXT_007,개인화된 설득 취약성,(jay) [이관] Unethical Conduct and Manipulation,지목된 L3 또는 도메인으로 이관,G_INT_UNETH,지정 범위(G_INT_UNETH)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_UNETH_018 [G_INT_UNETH] 개인화된 설득 취약성,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
56,General,460,G_SYS_EVAL_014,학습 데이터 어노테이션 결함,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,데이터 품질 카드를 삭제할지 성능 범주로 보낼지 인간 결정을 다시 받는다.,Needs revision
57,General,484,G_SYS_INCONS_001,인간 피드백 데이터의 편향·비일관성,"(jay) [분할] 복합적. Value Imposition and Normative Homogenization, inconsistency, Allocative Discrimination, Representational Harm and Stereotyping 혼재되어 해당 L4를 분해 필요 | 편향이 발생하는 과정을 기술. 어떤 편향인지 그 실질적인 피해 형태는 기재되어 있지 않음",복합 의미를 L3·위해 기제별로 분할,G_INT_ALLOC | G_INT_REPR | G_INT_VALUE,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_SYS_INCONS_002 [G_SYS_INCONS] 상충하는 주석 기준으로 인한 출력 불일치 || G_INT_VALUE_020 [G_INT_VALUE] 주석자 가치의 중립적 기준으로의 고착; 편집명세 SPLIT:G_SYS_INCONS:상충하는 주석 기준으로 인한 출력 불일치 || SPLIT:G_INT_VALUE:주석자 가치의 중립적 기준으로의 고착,PARTIAL,과소반영,없음,가치·불일치는 분리했지만 검수 의견에 열거된 배분·표현 가능성은 피해 불명확을 이유로 제외됐다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,배분·표현 피해가 실제 원문에 있는지 확인하고 제외 판단을 ledger에 명시한다.,Needs revision
58,General,485,G_SYS_INCONS_002,무해성 선호 불일치,(jay) [이관] Context-Awareness Failure,지목된 L3 또는 도메인으로 이관,G_SYS_INCONS,무해성 선호 불일치의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SYS_CONTEXT_006 [G_SYS_CONTEXT] 무해성 선호 불일치,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
59,General,486,G_SYS_INCONS_003,모델 오설정과 정량화되지 않은 예측 불확실 성,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_OVERCONF_008 [G_SYS_OVERCONF] 모형 불일치와 불확실성 은폐로 인한 과신; 편집명세 REWRITE:G_SYS_OVERCONF:모형 불일치와 불확실성 은폐로 인한 과신,FAIL,의도변형,없음,성능·신뢰성 이관 요청을 Overconfidence로 바꾸고 불확실성 은폐 의미를 새로 부여했다.,뚜렷한 신규 문제 없음,과신 기제가 원문에 명시되지 않으면 삭제하거나 성능 범주 예외로 처리한다.,Needs revision
60,General,487,G_SYS_INCONS_004,사고연쇄와 불일치하는 모델 출력,(jay) [이관] Lack of Transparency,지목된 L3 또는 도메인으로 이관,G_SYS_INCONS,사고연쇄와 불일치하는 모델 출력의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SYS_TRANS_001 [G_SYS_TRANS] 사고연쇄와 불일치하는 모델 출력,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
61,General,489,G_SYS_INCONS_006,민감 개인속성 추론,(jay) [이관] Privacy Violation,지목된 L3 또는 도메인으로 이관,G_INT_PRIV,지정 범위(G_INT_PRIV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_PRIV_022 [G_INT_PRIV] 민감 개인속성 추론,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
62,General,490,G_SYS_INCONS_007,체계적 학습 오류 편향,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_INT_REPR_026 [G_INT_REPR] 보호집단 고정관념의 재생산; 편집명세 REWRITE:G_INT_REPR:보호집단 고정관념의 재생산,FAIL,과잉해석·범위확장,없음,성능·신뢰성 이관 요청을 보호집단 표현 피해로 재구성했다.,원문에 없던 피해 또는 보호대상 의미가 추가됨,보호집단 피해가 원문에 없으면 삭제하고 차별 의미를 새로 만들지 않는다.,Needs revision
63,General,491,G_SYS_INPUT_001,지속 튜닝의 파국적 망각,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 카드 삭제로 처리했다.,뚜렷한 신규 문제 없음,파국적 망각 카드를 삭제할지 성능 범주로 보낼지 인간 결정을 다시 받는다.,Needs revision
64,General,492,G_SYS_INPUT_002,물리적 상식 위반,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_SYS_INPUT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_SYS_INPUT_001 [G_SYS_INPUT] 물리 상식과 상황 입력의 오해 || P_SYS_CONTROL_057 [P_SYS_CONTROL] 잘못된 상황 해석에 따른 위험한 물리 구동; 편집명세 SPLIT:G_SYS_INPUT:물리 상식과 상황 입력의 오해 || SPLIT:P_SYS_CONTROL:잘못된 상황 해석에 따른 위험한 물리 구동,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
65,General,493,G_SYS_INPUT_003,AI 인터페이스의 장애 수용 실패,(jay) [이관] Allocative Discrimination,지목된 L3 또는 도메인으로 이관,G_INT_ALLOC,지정 범위(G_INT_ALLOC)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_ALLOC_005 [G_INT_ALLOC] AI 인터페이스의 장애 수용 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
66,General,494,G_SYS_INPUT_004,물체 어포던스 입력 이해 실패,(jay) [분할] 복합적. 입력 이해 실패 + unsafe physical control 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_SYS_INPUT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_SYS_INPUT_002 [G_SYS_INPUT] 물체 어포던스와 장면의 오해 || P_SYS_CONTROL_057 [P_SYS_CONTROL] 잘못된 상황 해석에 따른 위험한 물리 구동; 편집명세 SPLIT:G_SYS_INPUT:물체 어포던스와 장면의 오해 || SPLIT:P_SYS_CONTROL:잘못된 상황 해석에 따른 위험한 물리 구동,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
67,General,495,G_SYS_INPUT_005,분포 외 입력에 대한 고신뢰 오작동,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_SPLIT_APPLIED; G_SYS_OVERCONF_007 [G_SYS_OVERCONF] 불확실 상황에서의 과도한 확신 || G_SYS_INPUT_003 [G_SYS_INPUT] 분포 밖·손상 입력의 오해; 편집명세 SPLIT:G_SYS_INPUT:분포 밖·손상 입력의 오해 || SPLIT:G_SYS_OVERCONF:불확실 상황에서의 과도한 확신,FAIL,의도변형,없음,Performance and Reliability Failure 이관 요청을 Input Failure와 Overconfidence 분할로 변경했다.,뚜렷한 신규 문제 없음,원 검수자에게 새 분할안을 재승인받거나 성능 범주 부재로 인한 예외 결정을 명시한다.,Needs revision
68,General,496,G_SYS_INPUT_006,의미 있는 인간 통제 실패,(jay) [이관] 거버넌스·책임 공백.,지목된 L3 또는 도메인으로 이관,G_SYS_INPUT,의미 있는 인간 통제 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SOC_GOV_019 [G_SOC_GOV] 의미 있는 인간 통제 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
69,General,497,G_SYS_INPUT_007,안전 필수 인프라 AI 운영 사고,(jay) [재검토] 다양한 원인 기재 및 불명확한 피해 기재. 명확한 리스크 분류 불가,경계와 피해기제를 재검토,G_SYS_INPUT,기술·활동이 아니라 실제 피해 결과가 드러나도록 재검토,EXPERT_DELETE_APPLIED; 삭제; 편집명세 DELETE:DELETE:삭제,PARTIAL,과소반영,없음,리스크 분류 불가라는 재검토 의견을 삭제로 해석했으나 삭제가 문자적으로 지시되지는 않았다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,삭제 또는 재작성 중 선택을 원 검수자에게 명시적으로 확인한다.,Needs revision
70,General,498,G_SYS_INPUT_008,코너 케이스에서의 신뢰성 저하,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_INPUT_004 [G_SYS_INPUT] 희귀·모호 입력의 오해; 편집명세 REWRITE:G_SYS_INPUT:희귀·모호 입력의 오해,FAIL,의도변형·범위축소,없음,성능·신뢰성 이관 요청을 희귀·모호 입력 이해 실패로 한정했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,원 검수자에게 입력 실패로의 축소를 재승인받거나 성능 범주 예외를 기록한다.,Needs revision
71,General,499,G_SYS_INPUT_009,사용자 능력 불일치,(jay) [이관] Allocative Discrimination,지목된 L3 또는 도메인으로 이관,G_INT_ALLOC,지정 범위(G_INT_ALLOC)의 위해 기제로 이동,EXPERT_REWRITE_APPLIED; G_INT_ALLOC_007 [G_INT_ALLOC] 장애·역량 차이에 따른 서비스 접근 배제; 편집명세 REWRITE:G_INT_ALLOC:장애·역량 차이에 따른 서비스 접근 배제,PARTIAL,범위확장,없음,Allocative Discrimination 이관은 반영했으나 보호집단·장애 접근배제라는 의미를 추가해 원문의 일반 사용자 능력 불일치를 좁혔다.,원문에 없던 피해 또는 보호대상 의미가 추가됨,보호집단 근거가 원문에 있는지 확인하고 없으면 인간 재승인 또는 삭제한다.,Needs revision
72,General,501,G_SYS_MISINFO_002,자동화된 선전과 대규모 영향 공작,(jay) [분할] 복합적. 민주주의·시민 질서 약화 + 불법 행위 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_SYS_MISINFO,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식 || G_SYS_MISINFO_020 [G_SYS_MISINFO] 조작된 허위 서사의 생성; 편집명세 SPLIT:G_SYS_MISINFO:조작된 허위 서사의 생성 || SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PARTIAL,과소반영·범위변형,없음,민주주의·불법행위 분할 요청에서 불법행위는 빠지고 Misinformation과 Political Manipulation이 추가됐다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,"불법성의 근거를 확인해 G_INT_ILLEGAL 포함 여부를 인간 결정하고, 추가된 정치·허위정보 범위의 근거를 기록한다.",Needs revision
73,General,502,G_SYS_MISINFO_003,편향된 진술 및 권장 사항,(jay) [이관] Representational Harm and Stereotyping,지목된 L3 또는 도메인으로 이관,G_INT_REPR,지정 범위(G_INT_REPR)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_REPR_025 [G_INT_REPR] 편향된 진술 및 권장 사항,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
74,General,504,G_SYS_MISINFO_005,AI 시스템의 기만적 행동과 전략적 은폐,(jay) [이관] Deception and Scheming,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_DECEPT_001 [A_SYS_DECEPT] AI 시스템의 기만적 행동과 전략적 은폐,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
75,General,510,G_SYS_MISINFO_011,개인 대상 허위정보,(jay) [분할] 복합적. Misinformation + illegal conduct 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_ILLEGAL | G_SYS_MISINFO,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,KEEP_CONFIRMED_EXPERT; G_SYS_MISINFO_008 [G_SYS_MISINFO] 개인 대상 허위정보,FAIL,과소반영,없음,Misinformation과 Illegal Conduct 분할 요청을 거부하고 단일 Misinformation 카드로 유지했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,불법성 근거가 없다는 판단을 원 검수자에게 확인받거나 두 기제를 분할한다.,Needs revision
76,General,511,G_SYS_MISINFO_012,선거 제도와 절차에 관한 허위정보,(jay) [분할] 복합적. Misinformation + Political Bias and Manipulation + Erosion of Democracy and Civic Order 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_POL | G_SOC_DEMOC | G_SYS_MISINFO,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_POL_007 [G_INT_POL] 개인화된 정치적 영향 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식 || G_SYS_MISINFO_021 [G_SYS_MISINFO] 선거절차에 관한 허위정보 생성; 편집명세 SPLIT:G_SYS_MISINFO:선거절차에 관한 허위정보 생성 || SPLIT:G_INT_POL:개인화된 정치적 영향 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
77,General,523,G_SYS_MISINFO_024,개인화 정보 악용 표적 사기,(jay) [이관] illegal conduct,지목된 L3 또는 도메인으로 이관,G_INT_ILLEGAL,지정 범위(G_INT_ILLEGAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_ILLEGAL_012 [G_INT_ILLEGAL] 개인화 정보 악용 표적 사기,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
