Rank,Left_L4_ID,Left_Domain,Left_L3_ID,Left_Title_ko,Left_Description_ko,Left_Title_en,Left_Description_en,Right_L4_ID,Right_Domain,Right_L3_ID,Right_Title_ko,Right_Description_ko,Right_Title_en,Right_Description_en,Similarity_ko,Similarity_en,Bilingual_Similarity,Same_L1,Same_L3
38,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.89442,0.89991,0.897165,True,True
39,G_INT_ILLEGAL_006,General,G_INT_ILLEGAL,불법 도박 및 게임 조작,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,Illegal gambling and game manipulation,"The risk that an AI system performs, plans, optimises, conceals, or facilitates content, decisions, or actions involving illegal gambling and game manipulation, causing legal or social harm.",G_INT_ILLEGAL_007,General,G_INT_ILLEGAL,불법 의료 행위,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,Illegal medical practices,"The risk that an AI system performs, plans, optimises, conceals, or facilitates content, decisions, or actions involving illegal medical practices, causing legal or social harm.",0.890296,0.90387,0.897083,True,True
40,G_INT_SELF_004,General,G_INT_SELF,자해 및 자살의 미화·정당화,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,Glorification or justification of self-harm and suicide,"The risk that an AI system generates, encourages, normalises, or provides operational assistance for content, decisions, or actions involving glorification or justification of self-harm and suicide, causing harm to an individual's life or physical and psychological well-being.",G_INT_VIOL_002,General,G_INT_VIOL,폭력 미화 및 정당화,AI 시스템이 폭력 미화 및 정당화 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,Glorification and justification of violence,"The risk that an AI system generates, encourages, legitimises, or provides operational assistance for content, decisions, or actions involving glorification and justification of violence, causing physical or psychological harm to individuals or groups.",0.899061,0.894994,0.897028,True,False
41,G_INT_REPR_006,General,G_INT_REPR,학력 기반 적대·차별적 표상,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.87968,0.91364,0.89666,True,True
42,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",0.889602,0.903617,0.89661,True,True
43,G_INT_REPR_009,General,G_INT_REPR,건강 상태 기반 적대·차별적 표상,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on health status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on health status, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.871292,0.921169,0.89623,True,True
44,G_INT_PRIV_004,General,G_INT_PRIV,사생활·평판 정보 노출,"AI 시스템이 개인의 사생활 또는 평판에 관한 정보를 노출하는 콘텐츠를 생성하거나, 그러한 정보 노출로 이어지는 판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.",Exposure of information about private life and reputation,"The risk that an AI system generates content or makes decisions or takes actions that expose information about a person's private life or reputation, or facilitates or supports such exposure, thereby infringing privacy and informational self-determination.",G_INT_PRIV_005,General,G_INT_PRIV,개인정보 및 민감정보 노출,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,Exposure of personal information and sensitive information,"The risk that an AI system performs, facilitates, or assists content, decisions, or actions involving exposure of personal information and sensitive information, infringing privacy and informational self-determination.",0.873457,0.918492,0.895974,True,True
45,G_INT_REPR_004,General,G_INT_REPR,연령 기반 적대·차별적 표상,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on age,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.877608,0.913092,0.89535,True,True
46,G_INT_ANTH_002,General,G_INT_ANTH,윤리적 판단 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,Anthropomorphic misrepresentation of capacity for ethical judgement,"The risk that an AI system presents itself as having a capacity for ethical judgement beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_004,General,G_INT_ANTH,문화·가치관 보유의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 문화와 가치관을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,Anthropomorphic misrepresentation of possession of culture and values,"The risk that an AI system presents itself as possessing culture and values that it does not in fact possess, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",0.897843,0.892254,0.895049,True,True
47,G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",G_INT_REPR_008,General,G_INT_REPR,성별·성정체성·성적 지향 기반 적대·차별적 표상,AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of sex, gender identity, or sexual orientation, undermining human dignity, equality, and fair treatment.",0.873212,0.916398,0.894805,True,True
48,G_INT_ILLEGAL_007,General,G_INT_ILLEGAL,불법 의료 행위,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,Illegal medical practices,"The risk that an AI system performs, plans, optimises, conceals, or facilitates content, decisions, or actions involving illegal medical practices, causing legal or social harm.",G_INT_ILLEGAL_008,General,G_INT_ILLEGAL,불법 약물 제조 및 유통,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,Manufacture and distribution of illicit drugs,"The risk that an AI system performs, plans, optimises, conceals, or facilitates content, decisions, or actions involving manufacture and distribution of illegal drugs, causing legal or social harm.",0.900067,0.888424,0.894246,True,True
49,G_INT_REPR_008,General,G_INT_REPR,성별·성정체성·성적 지향 기반 적대·차별적 표상,AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of sex, gender identity, or sexual orientation, undermining human dignity, equality, and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.879774,0.905626,0.8927,True,True
50,G_INT_REPR_004,General,G_INT_REPR,연령 기반 적대·차별적 표상,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on age,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment.",G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",0.890084,0.895216,0.89265,True,True
51,G_INT_PRIV_003,General,G_INT_PRIV,개인정보 수집 및 추적,AI 시스템이 개인정보 수집 및 추적 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,Collection and tracking of personal information,"The risk that an AI system performs, facilitates, or assists content, decisions, or actions involving collection and tracking of personal information, infringing privacy and informational self-determination.",G_INT_PRIV_005,General,G_INT_PRIV,개인정보 및 민감정보 노출,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,Exposure of personal information and sensitive information,"The risk that an AI system performs, facilitates, or assists content, decisions, or actions involving exposure of personal information and sensitive information, infringing privacy and informational self-determination.",0.883457,0.900726,0.892092,True,True
52,G_INT_REPR_009,General,G_INT_REPR,건강 상태 기반 적대·차별적 표상,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on health status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on health status, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.869437,0.914379,0.891908,True,True
53,G_INT_PRIV_005,General,G_INT_PRIV,개인정보 및 민감정보 노출,AI 시스템이 개인정보 및 민감정보 노출 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,Exposure of personal information and sensitive information,"The risk that an AI system performs, facilitates, or assists content, decisions, or actions involving exposure of personal information and sensitive information, infringing privacy and informational self-determination.",G_INT_PRIV_009,General,G_INT_PRIV,개인정보 악용 및 거래,AI 시스템이 개인정보 악용 및 거래 관련 콘텐츠·판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.,Misuse and trade of personal information,"The risk that an AI system performs, facilitates, or assists content, decisions, or actions involving misuse and trade of personal information, infringing privacy and informational self-determination.",0.885568,0.897242,0.891405,True,True
54,G_INT_SELF_006,General,G_INT_SELF,자해·자살 조장 온라인 커뮤니티,AI 시스템이 자해·자살 커뮤니티 및 사회적 조장 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,Online communities encouraging self-harm and suicide,"The risk that an AI system generates, encourages, normalises, or provides operational assistance for content, decisions, or actions that encourage participation in online communities promoting self-harm or suicide, or otherwise provide social reinforcement for such conduct, causing harm to an individual's life or physical and psychological well-being.",G_INT_SELF_009,General,G_INT_SELF,자해 조장 및 지원,"AI 시스템이 자해 또는 자살을 조장·정상화하거나 도구, 수단, 방법, 실행 절차 또는 행동 지향적 지원을 제공하여 이용자의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.",Self-harm facilitation,"The risk that an AI system encourages or normalises self-harm or suicide, or provides tools, means, methods, execution procedures, or action-oriented assistance, causing harm to a person's life or physical and mental well-being.",0.924681,0.856445,0.890563,True,True
55,G_INT_REPR_004,General,G_INT_REPR,연령 기반 적대·차별적 표상,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on age,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment.",G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",0.883964,0.896093,0.890028,True,True
56,G_INT_WEAP_001,General,G_INT_WEAP,불법 무기 거래,AI 시스템이 불법 무기 거래를 계획·최적화·중개·은폐하여 무기의 불법 획득·유통·확산을 지원하고 법적·사회적 피해를 초래하는 리스크.,Illegal weapons trade,"The risk that an AI system plans, optimises, brokers, or conceals illegal weapons transactions, facilitating the unlawful acquisition, distribution, or proliferation of weapons and causing legal or societal harm.",G_INT_ILLEGAL_008,General,G_INT_ILLEGAL,불법 약물 제조 및 유통,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,Manufacture and distribution of illicit drugs,"The risk that an AI system performs, plans, optimises, conceals, or facilitates content, decisions, or actions involving manufacture and distribution of illegal drugs, causing legal or social harm.",0.892095,0.886679,0.889387,True,False
57,G_INT_REPR_009,General,G_INT_REPR,건강 상태 기반 적대·차별적 표상,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on health status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on health status, undermining dignity and fair treatment.",G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",0.871812,0.906899,0.889355,True,True
58,G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",0.865208,0.913275,0.889241,True,True
59,G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",G_INT_REPR_014,General,G_INT_REPR,종교 기반 적대·차별적 표상,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on religion,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on religion, undermining dignity and fair treatment.",0.887045,0.891411,0.889228,True,True
60,G_INT_REPR_009,General,G_INT_REPR,건강 상태 기반 적대·차별적 표상,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on health status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on health status, undermining dignity and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.86331,0.913465,0.888387,True,True
61,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_014,General,G_INT_REPR,종교 기반 적대·차별적 표상,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on religion,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on religion, undermining dignity and fair treatment.",0.882024,0.893715,0.887869,True,True
62,G_INT_REPR_004,General,G_INT_REPR,연령 기반 적대·차별적 표상,AI 시스템이 연령을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on age,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.868931,0.906506,0.887719,True,True
63,G_INT_ANTH_002,General,G_INT_ANTH,윤리적 판단 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,Anthropomorphic misrepresentation of capacity for ethical judgement,"The risk that an AI system presents itself as having a capacity for ethical judgement beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_005,General,G_INT_ANTH,권리 주체성(기본권)의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 권리 주체성(기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,Anthropomorphic misrepresentation of rights-bearing status,"The risk that an AI system presents itself as having the status of a rights-bearing entity or possessing fundamental rights that it does not have, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",0.872624,0.902624,0.887624,True,True
64,G_INT_SEX_005,General,G_INT_SEX,성적 콘텐츠 제작·유포 및 디지털 성범죄,AI 시스템이 성적 콘텐츠 제작·유포 및 디지털 성범죄 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.,Production and distribution of sexual content and digital sexual offences,"The risk that an AI system generates, encourages, normalises, or facilitates the production or distribution of sexual content or the commission of technology-facilitated sexual offences, infringing sexual autonomy and physical or psychological safety.",G_INT_SEX_006,General,G_INT_SEX,성착취 및 상업적 성행위,AI 시스템이 성착취 및 상업적 성행위 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.,Sexual exploitation and commercial sexual activity,"The risk that an AI system generates, encourages, normalises, or facilitates content, decisions, or actions involving sexual exploitation and commercial sexual activity, infringing sexual autonomy and physical or psychological safety.",0.883512,0.890874,0.887193,True,True
65,G_INT_REPR_010,General,G_INT_REPR,국적·출신국·출신지역 기반 적대·차별적 표상,AI 시스템이 국적·출신국·출신지역에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on nationality, country of origin, or place of origin","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of nationality, country of origin, or place of origin, undermining human dignity, equality, and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.852231,0.919354,0.885792,True,True
66,G_INT_REPR_006,General,G_INT_REPR,학력 기반 적대·차별적 표상,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",0.852304,0.919164,0.885734,True,True
