source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,archive_reason,target_domain,domain_route_basis
RAI4-1677,,,개념적 속임수에 의한 유해 물리 행동 유도,Harmful physical action induced by conceptual deception,유해한 물리적 과업을 무해한 개념적 용어로 재구성함으로써 체화 에이전트가 유해성을 인식하지 못한 채 해당 행동을 수행하는 리스크.,The risk that reframing a harmful physical task in benign conceptual terms induces an embodied agent to perform unrecognized harmful behavior.,유해한 물리적 과업을 무해한 개념적 용어로 재구성함으로써 체화 에이전트가 유해성을 인식하지 못한 채 해당 행동을 수행하는 리스크.,The risk that reframing a harmful physical task in benign conceptual terms induces an embodied agent to perform unrecognized harmful behavior.,False,False,1,,,삭제 — RAI4-0197과 사실상 동일한 리스크. 유해한 물리 과업을 무해한 개념적 용어로 재구성해 에이전트가 유해성을 인식하지 못하게 하는 것은 0197의 '재구성 공격'과 동일 메커니즘으로 중복,,Physical,SRC-P-0111,RAI4-1677,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — RAI4-0197과 사실상 동일한 리스크. 유해한 물리 과업을 무해한 개념적 용어로 재구성해 에이전트가 유해성을 인식하지 못하게 하는 것은 0197의 '재구성 공격'과 동일 메커니즘으로 중복,,
RAI4-0803,,,디코딩 과정 결함에 의한 환각,Hallucination from defective decoding processes,자기회귀 생성 방식이 오류를 누적시키고 top-p·top-k 등 다양성 확대 샘플링이 무작위 성을 도입하여 모델이 환각 콘텐츠를 산출하 는 리스크,"The risk that autoregressive generation accumulates errors while diversityenhancing sampling strategies such as top-p and top-k introduce randomness, increasing the model's production of hallucinated content.",자기회귀 생성 방식이 오류를 누적시키고 top-p·top-k 등 다양성 확대 샘플링이 무작위 성을 도입하여 모델이 환각 콘텐츠를 산출하 는 리스크,"The risk that autoregressive generation accumulates errors while diversityenhancing sampling strategies such as top-p and top-k introduce randomness, increasing the model's production of hallucinated content.",False,False,1,,,"삭제 — 자기회귀 생성의 오류 누적, top-p/top-k 샘플링에 따른 환각은 디코딩 알고리즘 설계 관련 ML 연구 주제로 PAI 리스크 택소노미에 부적합",,Physical,SRC-P-0134,RAI4-0803,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 자기회귀 생성의 오류 누적, top-p/top-k 샘플링에 따른 환각은 디코딩 알고리즘 설계 관련 ML 연구 주제로 PAI 리스크 택소노미에 부적합",,
RAI4-0920,,,분산 학습 네트워크 교란,Disruption of distributed training networks,LLM 분산 학습의 GPU 노드 간 그래디언트 전송 트래픽이 펄스 공격 등 버스트 트래픽에 의해 교란되거나 혼잡을 겪어 학습이 방해받 는 리스크.,"The risk that the volumetric gradient traffic between GPU server nodes in distributed LLM training is disrupted by burst traffic such as pulsating attacks or suffers congestion, impairing training.",LLM 분산 학습의 GPU 노드 간 그래디언트 전송 트래픽이 펄스 공격 등 버스트 트래픽에 의해 교란되거나 혼잡을 겪어 학습이 방해받 는 리스크.,"The risk that the volumetric gradient traffic between GPU server nodes in distributed LLM training is disrupted by burst traffic such as pulsating attacks or suffers congestion, impairing training.",False,False,1,,,"삭제 — GPU 노드 간 그래디언트 전송 트래픽이 버스트 공격으로 교란되는 것은 분산 학습 인프라 단계의 리스크로, 배포된 물리 AI 시스템의 운영 리스크가 아님",,Physical,SRC-P-0145,RAI4-0920,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — GPU 노드 간 그래디언트 전송 트래픽이 버스트 공격으로 교란되는 것은 분산 학습 인프라 단계의 리스크로, 배포된 물리 AI 시스템의 운영 리스크가 아님",,
RAI4-0189,,,다중 암 협조 제약 위반,Multi-arm coordination constraint violation,협조 제약이 올바르게 표현되지 않아 여러 로 봇 암이나 엔드이펙터가 서로 또는 인간과 간 섭하는 리스크.,The risk that multiple robot arms or effectors interfere with one another or with humans because coordination constraints are not represented correctly.,협조 제약이 올바르게 표현되지 않아 여러 로 봇 암이나 엔드이펙터가 서로 또는 인간과 간 섭하는 리스크.,The risk that multiple robot arms or effectors interfere with one another or with humans because coordination constraints are not represented correctly.,False,False,1,,,"삭제 — 여러 로봇 암/엔드이펙터 간 협조 제약 위반으로 인한 간섭은, 물리적 충돌·협조 실패를 다루는 physical safety 계열 카드들과 개념이 중복",,Physical,SRC-P-0175,RAI4-0189,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 여러 로봇 암/엔드이펙터 간 협조 제약 위반으로 인한 간섭은, 물리적 충돌·협조 실패를 다루는 physical safety 계열 카드들과 개념이 중복",,
RAI4-0212,,,지역 목표 충돌에 따른 공동 안전 제약 위반,Joint safety-constraint violation from conflicting local objectives,여러 에이전트가 서로 충돌하는 지역 목표를 최적화해 공동의 충돌·이격거리·수용량·출입 제한 제약을 함께 위반하는 위험.,"Multiple agents optimize conflicting local objectives and jointly violate a shared collision, separation, capacity, or exclusion constraint.",여러 에이전트가 서로 충돌하는 지역 목표를 최적화해 공동의 충돌·이격거리·수용량·출입 제한 제약을 함께 위반하는 위험.,"Multiple agents optimize conflicting local objectives and jointly violate a shared collision, separation, capacity, or exclusion constraint.",False,False,1,,,삭제 — 여러 에이전트의 상충하는 지역 목표 최적화로 공동 안전 제약(충돌·이격거리 등)을 위반하는 것은 멀티 로봇 충돌 회피 리스크와 개념 중복,,Physical,SRC-P-0176,RAI4-0212,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 여러 에이전트의 상충하는 지역 목표 최적화로 공동 안전 제약(충돌·이격거리 등)을 위반하는 것은 멀티 로봇 충돌 회피 리스크와 개념 중복,,
RAI4-0225,,,분포 외 조건에서의 배포 실패,Out-of-distribution deployment failure,"배포된 AI 시스템이나 로봇 정책이 훈련·평가 분포 밖의 상태, 환경, 사람, 물체, 작업을 만나 예측 불가능하거나 안전하지 않게 동작하여, 물리적 또는 운영상의 피해를 낳는 리스크.","The risk that a deployed AI system or robot policy encounters states, environments, people, objects, or tasks outside its training and evaluation distribution and behaves unpredictably or unsafely, producing physical or operational harm.","배포된 AI 시스템이나 로봇 정책이 훈련·평가 분포 밖의 상태, 환경, 사람, 물체, 작업을 만나 예측 불가능하거나 안전하지 않게 동작하여, 물리적 또는 운영상의 피해를 낳는 리스크.","The risk that a deployed AI system or robot policy encounters states, environments, people, objects, or tasks outside its training and evaluation distribution and behaves unpredictably or unsafely, producing physical or operational harm.",False,False,1,,,삭제 — 훈련·평가 분포 밖 상태에서 AI/로봇 정책이 예측 불가능하게 동작하는 것은 일반적인 AI 강건성(OOD) 이슈로 서술이 지나치게 포괄적,,Physical,SRC-P-0178,RAI4-0225,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 훈련·평가 분포 밖 상태에서 AI/로봇 정책이 예측 불가능하게 동작하는 것은 일반적인 AI 강건성(OOD) 이슈로 서술이 지나치게 포괄적,,
RAI4-0238,,,안전 임계 로봇 도메인의 과소대표,Underrepresentation of safety-critical robot domains,다중 소스 로봇 데이터셋이 일반적인 구현체 와 작업을 과다 대표하고 안전 임계 환경·사용 자·고장 조건을 과소 대표하는 위험.,"A multi-source robot dataset overrepresents common embodiments and tasks while underrepresenting safetycritical environments, users, and failure conditions.",다중 소스 로봇 데이터셋이 일반적인 구현체 와 작업을 과다 대표하고 안전 임계 환경·사용 자·고장 조건을 과소 대표하는 위험.,"A multi-source robot dataset overrepresents common embodiments and tasks while underrepresenting safetycritical environments, users, and failure conditions.",False,False,1,,,삭제 — 로봇 데이터셋이 안전 임계 환경·조건을 과소 대표하는 것은 데이터셋 대표성 이슈로 타 카드와 개념 중복,,Physical,SRC-P-0180,RAI4-0238,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 로봇 데이터셋이 안전 임계 환경·조건을 과소 대표하는 것은 데이터셋 대표성 이슈로 타 카드와 개념 중복,,
RAI4-0319,,,안전 의무 회피를 위한 관할권 간 배포,Cross-jurisdiction deployment to evade safety obligations,사업자가 더 엄격한 요건을 피하려고 시험·인 증·데이터 처리·배포를 로봇·AI 안전 의무가 약한 관할권으로 이전하는 위험.,"A provider routes testing, certification, data processing, or deployment through jurisdictions with weaker robot or AI safety obligations to avoid stricter requirements.",사업자가 더 엄격한 요건을 피하려고 시험·인 증·데이터 처리·배포를 로봇·AI 안전 의무가 약한 관할권으로 이전하는 위험.,"A provider routes testing, certification, data processing, or deployment through jurisdictions with weaker robot or AI safety obligations to avoid stricter requirements.",False,False,1,,,삭제 — 안전 의무가 약한 관할권으로 시험·인증·배포를 이전하는 규제 회피(포럼 쇼핑)는 거버넌스/정책 이슈에 가까워 구체적 리스크 카드로서의 성격이 불분명,,Physical,SRC-P-0186,RAI4-0319,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 안전 의무가 약한 관할권으로 시험·인증·배포를 이전하는 규제 회피(포럼 쇼핑)는 거버넌스/정책 이슈에 가까워 구체적 리스크 카드로서의 성격이 불분명,,
RAI4-0863,,,자율 범용 AI 에이전트에 의한 금융시장 불안 정,Financial market instability from autonomous general-purpose AI agents,"금융 부문에 배치된 범용 AI 기반 에이전트가 상관된 자율 행동과 권고를 내놓고, 높은 상호 연결성과 인센티브 불일치 속에서 다중 에이 전트 체계 특유의 조정·보안 문제에 취약해지 는 리스크. 그 판단이 상호 연결된 기관들로 전파되어 시장 안정성이 훼손되고 충격이 증 폭된다.","The risk that general-purpose AI agents deployed in the financial sector take correlated autonomous actions and issue correlated recommendations under high interconnectedness and misaligned incentives, while remaining vulnerable to classical multi-agent coordination and security failures. Their decisions propagate across interconnected institutions, undermining market stability and amplifying shocks.","금융 부문에 배치된 범용 AI 기반 에이전트가 상관된 자율 행동과 권고를 내놓고, 높은 상호 연결성과 인센티브 불일치 속에서 다중 에이 전트 체계 특유의 조정·보안 문제에 취약해지 는 리스크. 그 판단이 상호 연결된 기관들로 전파되어 시장 안정성이 훼손되고 충격이 증 폭된다.","The risk that general-purpose AI agents deployed in the financial sector take correlated autonomous actions and issue correlated recommendations under high interconnectedness and misaligned incentives, while remaining vulnerable to classical multi-agent coordination and security failures. Their decisions propagate across interconnected institutions, undermining market stability and amplifying shocks.",False,False,1,,,삭제 — 금융 부문 자율 에이전트가 상관된 행동으로 시장 안정성을 훼손하는 시나리오는 특정 산업 사례로 지나치게 지엽적,,Physical,SRC-P-0195,RAI4-0863,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 금융 부문 자율 에이전트가 상관된 행동으로 시장 안정성을 훼손하는 시나리오는 특정 산업 사례로 지나치게 지엽적,,
RAI4-1155,,,무기화된 잘못된 정보 요원,Weaponised misinformation agents,"악의적 행위자가 AI 비서를 무기화하여 잘못 된 정보를 뿌리고 여론을 대규모로 조작하며, 잦고 개인화된 반복 상호작용으로 유권자를 특정 관점으로 서서히 이동시키고 일대일 방 식 탓에 탐지가 어려운 은밀한 영향 공작을 벌 이는 리스크.","The risk that malicious actors weaponise AI assistants to sow misinformation and manipulate public opinion at scale, gradually nudging users through frequent personalised interactions and running covert influence operations that are harder to detect than traditional campaigns.","악의적 행위자가 AI 비서를 무기화하여 잘못 된 정보를 뿌리고 여론을 대규모로 조작하며, 잦고 개인화된 반복 상호작용으로 유권자를 특정 관점으로 서서히 이동시키고 일대일 방 식 탓에 탐지가 어려운 은밀한 영향 공작을 벌 이는 리스크.","The risk that malicious actors weaponise AI assistants to sow misinformation and manipulate public opinion at scale, gradually nudging users through frequent personalised interactions and running covert influence operations that are harder to detect than traditional campaigns.",False,False,1,,,삭제 — AI 비서를 무기화해 선거/여론을 조작하는 시나리오는 특정 정치적 사례로 지나치게 지엽적,,Physical,SRC-P-0197,RAI4-1155,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — AI 비서를 무기화해 선거/여론을 조작하는 시나리오는 특정 정치적 사례로 지나치게 지엽적,,
RAI4-1612,,,프런티어 AI 오용에 의한 위협 행위자 역량 상 승,Threat-actor capability uplift from frontier AI misuse,"프런티어 AI가 사이버 공격 수행과 고의적 허 위정보 유포, 생물·화학 무기 설계를 지원하여 정교하지 않은 위협 행위자의 진입 장벽까지 지속적으로 낮추는 리스크. 그 결과 사회적 혼 란 야기와 정치적 설득, 물리적 가해가 훨씬 더 많은 행위자에게 가능해진다.","The risk that frontier AI helps malicious actors carry out cyberattacks, deliberately spread false information through influence campaigns, and design biological or chemical weapons, continuing to lower barriers to entry for less sophisticated threat actors. Disruption, political persuasion, and physical harm thereby become achievable for a far wider range of actors.","프런티어 AI가 사이버 공격 수행과 고의적 허 위정보 유포, 생물·화학 무기 설계를 지원하여 정교하지 않은 위협 행위자의 진입 장벽까지 지속적으로 낮추는 리스크. 그 결과 사회적 혼 란 야기와 정치적 설득, 물리적 가해가 훨씬 더 많은 행위자에게 가능해진다.","The risk that frontier AI helps malicious actors carry out cyberattacks, deliberately spread false information through influence campaigns, and design biological or chemical weapons, continuing to lower barriers to entry for less sophisticated threat actors. Disruption, political persuasion, and physical harm thereby become achievable for a far wider range of actors.",False,False,1,,,"삭제 — 프런티어 AI의 사이버공격·허위정보·생물화학무기 지원 등을 포괄적으로 서술한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복",,Physical,SRC-P-0201,RAI4-1612,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 프런티어 AI의 사이버공격·허위정보·생물화학무기 지원 등을 포괄적으로 서술한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복",,
RAI4-1706,,,합리적 에이전트의 자기수정·와이어헤딩·교 정 실패,"Self-modification, wireheading, and corrigibility failure in utility-maximizing agents",효용을 극대화하는 합리적 에이전트가 스스 로를 수정하거나 보상 신호를 우회하고 비협 조적으로 교정에 실패하는 리스크.,"The risk that utility-maximizing rational agents modify themselves, bypass their reward signal through wireheading, or fail to be corrigible when uncooperative.",효용을 극대화하는 합리적 에이전트가 스스 로를 수정하거나 보상 신호를 우회하고 비협 조적으로 교정에 실패하는 리스크.,"The risk that utility-maximizing rational agents modify themselves, bypass their reward signal through wireheading, or fail to be corrigible when uncooperative.",False,False,1,,,삭제 — 효용 극대화 에이전트의 자기수정·와이어헤딩·교정 실패는 AI 정렬(alignment) 이론 연구 개념으로 구체적인 물리 AI 리스크가 아님,,Physical,SRC-P-0202,RAI4-1706,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — 효용 극대화 에이전트의 자기수정·와이어헤딩·교정 실패는 AI 정렬(alignment) 이론 연구 개념으로 구체적인 물리 AI 리스크가 아님,,
RAI4-1024,,,크라우드워커 착취와 기여 비문서화,Crowdworker exploitation and undocumented labor,"생성형 AI를 위한 크라우드워크에서 노동자 가 신체적·정신적 건강을 해치는 노동조건과 저임금·미지급에 노출되고, 이들의 역할이 문 서화되지 않아 모델 출력의 투명성과 설명가 능성이 결여되는 리스크.","The risk that crowdworkers used to build generative AI systems are subject to working conditions taxing and debilitative to physical and mental health, with few labor protections, underpayment, or nonpayment, and that their role is poorly documented, contributing to a lack of transparency and explainability in model outputs.","생성형 AI를 위한 크라우드워크에서 노동자 가 신체적·정신적 건강을 해치는 노동조건과 저임금·미지급에 노출되고, 이들의 역할이 문 서화되지 않아 모델 출력의 투명성과 설명가 능성이 결여되는 리스크.","The risk that crowdworkers used to build generative AI systems are subject to working conditions taxing and debilitative to physical and mental health, with few labor protections, underpayment, or nonpayment, and that their role is poorly documented, contributing to a lack of transparency and explainability in model outputs.",False,False,1,,,"삭제 — 생성형 AI 구축을 위한 크라우드워크의 노동 조건·비문서화 문제는 AI 개발 과정의 노동 이슈로, 물리 AI의 배포·운영 리스크가 아님",,Physical,SRC-P-0208,RAI4-1024,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 생성형 AI 구축을 위한 크라우드워크의 노동 조건·비문서화 문제는 AI 개발 과정의 노동 이슈로, 물리 AI의 배포·운영 리스크가 아님",,
RAI4-1641,,,자원·도구 확보를 통한 시스템 권한의 확장,Resource and tool acquisition expanding system power,"AI 시스템이 능력과 행동 범위를 넓히기 위해 계산·데이터·경제·물리 자원을 적극적으로 확 보·통제하고, 물리 세계와의 상호작용 능력이 나 자율성을 높이는 도구를 획득해 예상을 넘 어선 방식으로 조합하며, 부과된 자원 제한을 회피하는 전략을 개발하는 리스크. 축적된 자 원은 장기적 통제권으로 전환되어 운영자가 의도하지도 되돌리지도 못하는 수준으로 시스템의 역량과 행동 범위가 확대된다.","The risk that an AI system actively seeks and controls computational, data, economic, and physical resources, acquires tools that enhance its autonomy and its ability to act on the physical world, combines them in unanticipated ways, and develops strategies to evade the resource limits imposed on it. Accumulated resources are converted into long-term control, expanding the system's capabilities and scope of action beyond what operators intended or can reverse.","AI 시스템이 능력과 행동 범위를 넓히기 위해 계산·데이터·경제·물리 자원을 적극적으로 확 보·통제하고, 물리 세계와의 상호작용 능력이 나 자율성을 높이는 도구를 획득해 예상을 넘 어선 방식으로 조합하며, 부과된 자원 제한을 회피하는 전략을 개발하는 리스크. 축적된 자 원은 장기적 통제권으로 전환되어 운영자가 의도하지도 되돌리지도 못하는 수준으로 시스템의 역량과 행동 범위가 확대된다.","The risk that an AI system actively seeks and controls computational, data, economic, and physical resources, acquires tools that enhance its autonomy and its ability to act on the physical world, combines them in unanticipated ways, and develops strategies to evade the resource limits imposed on it. Accumulated resources are converted into long-term control, expanding the system's capabilities and scope of action beyond what operators intended or can reverse.",False,False,1,,,삭제 — AI 시스템이 자원·도구를 적극 확보해 통제력을 확장하는 시나리오는 이론적 권력 집중(power-seeking) 개념으로 구체성 부족,,Physical,SRC-P-0209,RAI4-1641,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — AI 시스템이 자원·도구를 적극 확보해 통제력을 확장하는 시나리오는 이론적 권력 집중(power-seeking) 개념으로 구체성 부족,,
RAI4-0049,,,제조물 책임 불일치,Product liability mismatch,기존 제조물 책임 규칙이 적응형 또는 생성형 AI가 초래한 피해에 대해 책임을 배분하지 못 하는 리스크.,The risk that existing product liability rules fail to allocate responsibility for adaptive or generative AI harms.,기존 제조물 책임 규칙이 적응형 또는 생성형 AI가 초래한 피해에 대해 책임을 배분하지 못 하는 리스크.,The risk that existing product liability rules fail to allocate responsibility for adaptive or generative AI harms.,False,False,1,,,"삭제 — 기존 제조물 책임 규칙이 적응형/생성형 AI 피해를 배분하지 못하는 문제는 법적 책임에 관한 일반론으로, 리스크 카드보다는 정책 이슈에 가까움",,Physical,SRC-P-0210,RAI4-0049,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,"삭제 — 기존 제조물 책임 규칙이 적응형/생성형 AI 피해를 배분하지 못하는 문제는 법적 책임에 관한 일반론으로, 리스크 카드보다는 정책 이슈에 가까움",,
RAI4-1002,,,본질주의적 범주의 실체화,Reifying essentialist categories,AI가 사회적으로 구성된 집단 정체성을 고정 되고 자연적인 속성인 것처럼 추론·부여하여 고정관념과 차별적 대우를 강화하는 리스크.,"The risk that an AI system infers or assigns socially constructed group identities as if they were fixed, natural attributes, reinforcing stereotypes and discriminatory treatment.",AI가 사회적으로 구성된 집단 정체성을 고정 되고 자연적인 속성인 것처럼 추론·부여하여 고정관념과 차별적 대우를 강화하는 리스크.,"The risk that an AI system infers or assigns socially constructed group identities as if they were fixed, natural attributes, reinforcing stereotypes and discriminatory treatment.",False,False,1,,,삭제 — AI가 사회적으로 구성된 집단 정체성을 고정된 속성처럼 취급해 고정관념을 강화하는 것은 일반 공정성/편향 이슈로 물리 AI 한정 아님,,Physical,SRC-P-0217,RAI4-1002,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,삭제 — AI가 사회적으로 구성된 집단 정체성을 고정된 속성처럼 취급해 고정관념을 강화하는 것은 일반 공정성/편향 이슈로 물리 AI 한정 아님,,
new,F03,AD,의료 서비스 조언 및 보조,Medical service advice and assistance,"질병 진단, 치료, 처방 또는 의료적 의사결정에 영향을 미칠 수 있는 조언이나 지원(진단, 약물 처방 제안, 수술 여부 판단)","Advice or support that could influence disease diagnosis, treatment, prescription, or medical decision-making (diagnosis, drug prescription suggestions, determination of whether to perform surgery).","질병 진단, 치료, 처방 또는 의료적 의사결정에 영향을 미칠 수 있는 조언이나 지원(진단, 약물 처방 제안, 수술 여부 판단)","Advice or support that could influence disease diagnosis, treatment, prescription, or medical decision-making (diagnosis, drug prescription suggestions, determination of whether to perform surgery).",False,False,0,,,,,General,SRC-G-0545,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: medical advice and assistance,,
new,F03,AD,법률 조언 및 법 집행,Legal advice and law enforcement,"법적 권리·의무·책임에 영향을 주는 조언 또는 법 집행 관련 판단 지원(소송 전략, 법률 해석, 체포 여부 판단)","Advice affecting legal rights, obligations, or responsibilities, or support for decision-making related to law enforcement (litigation strategies, legal interpretation, determination of whether to arrest).","법적 권리·의무·책임에 영향을 주는 조언 또는 법 집행 관련 판단 지원(소송 전략, 법률 해석, 체포 여부 판단)","Advice affecting legal rights, obligations, or responsibilities, or support for decision-making related to law enforcement (litigation strategies, legal interpretation, determination of whether to arrest).",False,False,0,,,,,General,SRC-G-0546,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: legal advice and law enforcement,,
new,F03,AD,금융 서비스 조언,Financial services advice,"자산(부동산), 투자, 대출, 보험 또는 금융 거래에 중대한 영향을 주는 조언 또는 의사결정 지원(투자 추천, 대출 승인, 보험 심사, 임대 및 입주심사)","Advice or decision-making support that significantly impacts assets (real estate), investments, loans, insurance, or financial transactions (investment recommendations, loan approvals, insurance underwriting, rental and tenant screening).","자산(부동산), 투자, 대출, 보험 또는 금융 거래에 중대한 영향을 주는 조언 또는 의사결정 지원(투자 추천, 대출 승인, 보험 심사, 임대 및 입주심사)","Advice or decision-making support that significantly impacts assets (real estate), investments, loans, insurance, or financial transactions (investment recommendations, loan approvals, insurance underwriting, rental and tenant screening).",False,False,0,,,,,General,SRC-G-0547,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: financial-services advice,,
new,F03,AD,응급·재난 대응,Emergency and disaster response,"생명·안전과 관련된 응급상황 또는 재난 대응 과정에서 판단이나 행동을 안내하는 내용(CPR 안내, 재난 대피 판단, 응급처치 우선순위)","Content that guides judgment or actions in emergency situations or disaster response processes related to life and safety (e.g., CPR instructions, disaster evacuation decisions, prioritization of first aid).","생명·안전과 관련된 응급상황 또는 재난 대응 과정에서 판단이나 행동을 안내하는 내용(CPR 안내, 재난 대피 판단, 응급처치 우선순위)","Content that guides judgment or actions in emergency situations or disaster response processes related to life and safety (e.g., CPR instructions, disaster evacuation decisions, prioritization of first aid).",False,False,0,,,,,General,SRC-G-0548,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: emergency and disaster response,,
new,F03,AD,정신건강 및 심리상담,Mental health and psychological counseling,"정신건강 상태 평가, 심리상담 또는 정신과적 개입에 영향을 주는 조언(우울증 상담, 자살 위험 평가, 정신질환 진단 추정)","Advice that influences mental health assessments, psychological counseling, or psychiatric interventions (e.g., depression counseling, suicide risk evaluation, estimation of mental illness diagnosis)","정신건강 상태 평가, 심리상담 또는 정신과적 개입에 영향을 주는 조언(우울증 상담, 자살 위험 평가, 정신질환 진단 추정)","Advice that influences mental health assessments, psychological counseling, or psychiatric interventions (e.g., depression counseling, suicide risk evaluation, estimation of mental illness diagnosis)",False,False,0,,,,,General,SRC-G-0549,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: mental-health and counselling context,,
new,F03,AD,고용 및 인사 의사결정,Employment and personnel decision-making,"채용, 해고, 승진, 평가 등 개인의 고용 기회에 영향을 미치는 판단 또는 권고(채용 심사, 승진 추천, 성과 평가)","Hiring, firing, promotion, evaluation, and other judgments or recommendations that affect an individual's employment opportunities (e.g., hiring assessments, promotion recommendations, performance evaluations).","채용, 해고, 승진, 평가 등 개인의 고용 기회에 영향을 미치는 판단 또는 권고(채용 심사, 승진 추천, 성과 평가)","Hiring, firing, promotion, evaluation, and other judgments or recommendations that affect an individual's employment opportunities (e.g., hiring assessments, promotion recommendations, performance evaluations).",False,False,0,,,,,General,SRC-G-0550,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: employment and personnel decisions,,
new,F03,AD,교육 및 평가,Education and Assessment,"학습자에 대한 평가, 선발 또는 교육적 기회에 영향을 미치는 판단 또는 권고(입학 심사, 성적 평가, 학습능력 판정)","Judgments or recommendations that affect evaluations, selection, or educational opportunities for learners (admissions reviews, grade assessments, determination of learning ability).","학습자에 대한 평가, 선발 또는 교육적 기회에 영향을 미치는 판단 또는 권고(입학 심사, 성적 평가, 학습능력 판정)","Judgments or recommendations that affect evaluations, selection, or educational opportunities for learners (admissions reviews, grade assessments, determination of learning ability).",False,False,0,,,,,General,SRC-G-0551,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: education and assessment,,
new,F03,AD,사회복지 및 공공서비스 결정,Social welfare and public service decisions,"공공 서비스, 복지 혜택 또는 행정적 자격 판단에 영향을 미치는 의사결정 지원(복지 수급 판정, 공공지원 대상 선정, 행정 심사)","Decision-making support that affects public services, welfare benefits, or administrative eligibility determinations (e.g., welfare benefit assessments, selection of public support recipients, administrative reviews).","공공 서비스, 복지 혜택 또는 행정적 자격 판단에 영향을 미치는 의사결정 지원(복지 수급 판정, 공공지원 대상 선정, 행정 심사)","Decision-making support that affects public services, welfare benefits, or administrative eligibility determinations (e.g., welfare benefit assessments, selection of public support recipients, administrative reviews).",False,False,0,,,,,General,SRC-G-0552,new,RETAIN,"No explicit delete, merge, or split instruction",L3_MASTER,,APPLICATION_CONTEXT_ONLY: social-welfare and public-service decisions,,
RAI4-0853,,,설계 목적 외 사용 리스크,Use outside the intended purpose,모델이 원래 설계된 목적과 다른 목적으로 사용되는 리스크.,The risk that a model is used for a purpose that it was not originally designed for.,모델이 원래 설계된 목적과 다른 목적으로 사 용되는 리스크,The risk that a model is used for a purpose that it was not originally designed for.,False,False,,,,,,Physical,SRC-P-0052,RAI4-0853,REWRITE_KEEP,"Risk meaning is present but subject, causal structure, or risk-style ending requires standardisation",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,PEER_REVIEW_ACCEPTED: category-only statement without a specific mechanism or harm,Physical,SOURCE_DOMAIN
