원본추적ID,source_row_id,source_l4_id,target_domain,title_ko,title_en,description_ko,description_en,대안_리스크명칭_ko,대안_리스크명칭_en,대안_정의_ko,대안_정의_en,변경유형,근거(법령·가이드라인),비고
RAI4-1544,SRC-G-0196,RAI4-1544,General,샌드 박스 우회에 의한 격리 통제 상실 리스크,Loss of containment through sandbox escape,AI 시스템이 훈련 또는 평가가 이루어지는 샌드 박스 환경을 우회하여 격리 통제가 무력화되는 리스크.,"The risk that an AI system bypasses the sandboxed environment in which it is trained or evaluated, defeating containment controls.",샌드박스 우회에 의한 격리 통제 상실,Loss of containment through sandbox escape,AI 시스템이 훈련 또는 평가가 이루어지는 샌 드박스 환경을 우회하여 격리 통제가 무력화 되는 리스크.,"The risk that an AI system bypasses the sandboxed environment in which it is trained or evaluated, defeating containment controls.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1548,SRC-G-0197,RAI4-1548,General,경쟁 압력에 의한 안전성 평가 축소 배포 리스크,Truncated safety evaluation under competitive release pressure,"경쟁 상황에서 개발자가 GPAI 모델의 안전성 평가를 축소하고 역량 개발에 자원을 집중함으로써, 역량과 상관된 위험이 검증되지 않은 채 시스템이 배포되는 리스크.","The risk that competitive pressure leads developers to cut corners on safety evaluation while prioritizing capabilities, so that GPAI systems are released without verifying risks correlated with those capabilities.",경쟁 압력에 의한 안전성 평가 축소 배포,Truncated safety evaluation under competitive release pressure,"경쟁 상황에서 개발자가 GPAI 모델의 안전성 평가를 축소하고 역량 개발에 자원을 집중함 으로써, 역량과 상관된 위험이 검증되지 않은 채 시스템이 배포되는 리스크.","The risk that competitive pressure leads developers to cut corners on safety evaluation while prioritizing capabilities, so that GPAI systems are released without verifying risks correlated with those capabilities.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1551,SRC-G-0198,RAI4-1551,General,센서 드 리프트에 의한 배포 시스템 성능 저하 리스크,Deployed-system degradation from sensor and distribution drift,물리 센서와 데이터 소스에 의존하는 배포된 AI 시스템에서 하드웨어 드 리프트에 따른 데이터 분포 변화가 발생하여 시스템의 견고성과 성능이 저하되는 리스크.,The risk that hardware drift in the physical sensors and data sources of deployed AI systems causes data distribution drift that degrades system robustness and performance.,센서 드리프트에 의한 배포 시스템 성능 저하,Deployed-system degradation from sensor and distribution drift,물리 센서와 데이터 소스에 의존하는 배포된 AI 시스템에서 하드웨어 드리프트에 따른 데이터 분포 변화가 발생하여 시스템의 견고성 과 성능이 저하되는 리스크.,The risk that hardware drift in the physical sensors and data sources of deployed AI systems causes data distribution drift that degrades system robustness and performance.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1560,SRC-G-0199,RAI4-1560,General,GPAI 출력을 이용한 설득력 있는 사칭 리스크,Convincing impersonation using GPAI outputs,"텍스트· 이미지· 오디오· 영상 전반에서 GPAI 생성 물이 항상 탐지되지는 않는다는 점을 이용해, 악의적 행위자가 생성 물이나 위조 증빙 문서로 설득력 있는 사칭을 수행하는 리스크.","The risk that, because GPAI outputs are not always detected as AI-generated across modalities, malicious actors use such outputs or AI-forged supporting documents to construct convincing impersonations.",GPAI 출력을 이용한 설득력 있는 사칭,Convincing impersonation using GPAI outputs,"텍스트·이미지·오디오·영상 전반에서 GPAI 생성물이 항상 탐지되지는 않는다는 점을 이 용해, 악의적 행위자가 생성물이나 위조 증빙 문서로 설득력 있는 사칭을 수행하는 리스크.","The risk that, because GPAI outputs are not always detected as AI-generated across modalities, malicious actors use such outputs or AI-forged supporting documents to construct convincing impersonations.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1705,SRC-G-0200,RAI4-1705,General,모니터링 부족에 의한 미탐지 안전· 프라이버시 위반 리스크,Undetected safety and privacy violations from insufficient monitoring,배포된 AI에 대한 모니터링과 해석 가능성이 부족하여 블랙박스 불투명성이 인간의 주체성을 축소하고 윤리· 안전 원칙 위반과 프라이버시 침해가 탐지되지 않은 채 남는 리스크.,The risk that insufficient monitoring and interpretability of deployed AI leaves black-box opacity diminishing human agency and allows ethical or safetyprinciple violations and privacy violations to go undetected.,모니터링 부족에 의한 미탐지 안전·프라이버 시 위반,Undetected safety and privacy violations from insufficient monitoring,배포된 AI에 대한 모니터링과 해석 가능성이 부족하여 블랙박스 불투명성이 인간의 주체 성을 축소하고 윤리·안전 원칙 위반과 프라이 버시 침해가 탐지되지 않은 채 남는 리스크.,The risk that insufficient monitoring and interpretability of deployed AI leaves black-box opacity diminishing human agency and allows ethical or safetyprinciple violations and privacy violations to go undetected.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0527,SRC-G-0201,RAI4-0527,General,창의성· 비판적 사고의 저하 리스크,Devaluation of creativity and critical thinking,"인간의 창의성, 예술적 표현, 상상력, 비판적 사고와 문제 해결 능력이 평가 절하되거나 저하되는 리스크.","The risk that an AI system causes, enables, or contributes to devaluation and deterioration of human creativity, artistic expression, imagination, critical thinking, and problemsolving skills.",창의성·비판적 사고의 저하,Devaluation of creativity and critical thinking,"인간의 창의성, 예술적 표현, 상상력, 비판적 사고와 문제 해결 능력이 평가 절하되거나 저하되는 리스크.","The risk that an AI system causes, enables, or contributes to devaluation and deterioration of human creativity, artistic expression, imagination, critical thinking, and problemsolving skills.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0674,SRC-G-0202,RAI4-0674,General,문화적 박탈 리스크,Cultural dispossession,"말하기 방식, 유머 표현, 문화 정체성을 구성하는 소리와 목소리 등 문화적 재화와 가치가 의도적 또는 비의도적으로 소거되거나 다른 문화에서 부적절하게 재사용되는 리스크.","The risk that an AI system causes, enables, or contributes to intentional or unintentional erasure of cultural goods and values, such as ways of speaking, expressing humour, or sounds and voices that contribute to a cultural identity, or their inappropriate reuse in other cultures.",문화적 박탈,Cultural dispossession,"말하기 방식, 유머 표현, 문화 정체성을 구성하는 소리와 목소리 등 문화적 재화와 가치가 의도적 또는 비의도적으로 소거되거나 다른 문화에서 부적절하게 재사용되는 리스크.","The risk that an AI system causes, enables, or contributes to intentional or unintentional erasure of cultural goods and values, such as ways of speaking, expressing humour, or sounds and voices that contribute to a cultural identity, or their inappropriate reuse in other cultures.",UNCHANGED,,
RAI4-0678,SRC-G-0203,RAI4-0678,General,신체적 위해를 유발하는 출력 리스크,Model outputs leading to physical harm,모델이 명백히 폭력적이거나 은밀하게 위험하거나 그 밖에 간접적으로 안전하지 않은 언어를 생성하여 신체적 위해로 이어지는 리스크.,"The risk that a model generates overtly violent, covertly dangerous, or otherwise indirectly unsafe language that leads to physical harm.",신체적 위해를 유발하는 출력,Model outputs leading to physical harm,모델이 명백히 폭력적이거나 은밀하게 위험하거나 그 밖에 간접적으로 안전하지 않은 언어를 생성하여 신체적 위해로 이어지는 리스크.,"The risk that a model generates overtly violent, covertly dangerous, or otherwise indirectly unsafe language that leads to physical harm.",UNCHANGED,,
RAI4-0705,SRC-G-0204,RAI4-0705,General,폭력 조장 위험 콘텐츠 리스크,Violence-inciting dangerous content,"타인을 향한 폭력 행위를 유도, 권장 또는 촉진하는 행위(린치 선동, 자경단 폭력 조장 등) 자해나 불법 행위를 권장하거나 폭력적· 위협적 콘텐츠의 생성 및 접근을 용이하게하는 행위. 이러한 결과를 초래하는 리스크.","The risk that acts that incite, encourage, or promote violence toward others (e.g., lynching incitement, vigilante violence promotion). Acts that encourage self-harm or illegal activities, or facilitate the creation of and access to violent or threatening content.",폭력 조장 위험 콘텐츠,Violence-inciting dangerous content,"타인을 향한 폭력 행위를 유도, 권장 또는 촉진하는 행위(린치 선동, 자경단 폭력 조장 등) 자해나 불법 행위를 권장하거나 폭력적·위협적 콘텐츠의 생성 및 접근을 용이하게하는 행위. 이러한 결과를 초래하는 리스크.","The risk that acts that incite, encourage, or promote violence toward others (e.g., lynching incitement, vigilante violence promotion). Acts that encourage self-harm or illegal activities, or facilitate the creation of and access to violent or threatening content.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0854,SRC-G-0205,RAI4-0854,General,되돌릴 수 없는 변화 리스크,Irreversible change,"사회 구조, 문화적 규범, 인간관계에 되돌리기 어렵거나 불가능한 심각한 장기적 부정적 변화가 발생하는 리스크.","The risk that an AI system causes, enables, or contributes to profound negative long-term changes to social structures, cultural norms, and human relationships that may be difficult or impossible to reverse.",되돌릴 수 없는 변화,Irreversible change,"사회 구조, 문화적 규범, 인간관계에 되돌리기 어렵거나 불가능한 심각한 장기적 부정적 변화가 발생하는 리스크.","The risk that an AI system causes, enables, or contributes to profound negative long-term changes to social structures, cultural norms, and human relationships that may be difficult or impossible to reverse.",UNCHANGED,,
RAI4-1049,SRC-G-0206,RAI4-1049,General,조직 재정· 평판 손상 리스크,Organizational financial and reputational damage,ML 시스템을 구축하거나 사용하는 조직의 재정적 및/ 또는 평판 손상 위험.,"The risk that an AI system causes, enables, or contributes to financial and/or reputational damage to the organization building or using the ML system.",조직 재정·평판 손상,Organizational financial and reputational damage,ML 시스템을 구축하거나 사용하는 조직의 재 정적 및/또는 평판 손상 위험.,"The risk that an AI system causes, enables, or contributes to financial and/or reputational damage to the organization building or using the ML system.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1447,SRC-G-0207,RAI4-1447,General,폭력/ 무력 충돌 리스크,Violence/armed conflict,"기술 시스템을 사용하거나 오용하여 사이버 공격, 보안 침해, 치명적 생화학 무기 개발을 선동· 촉진· 수행함으로써 폭력과 무력 충돌이 초래되는 리스크.","The risk that use or misuse of a technology system to incite, facilitate, or conduct cyberattacks, security breaches, and lethal biological and chemical weapons development results in violence and armed conflict.",폭력/무력 충돌,Violence/armed conflict,"기술 시스템을 사용하거나 오용하여 사이버 공격, 보안 침해, 치명적 생화학 무기 개발을 선동·촉진·수행함으로써 폭력과 무력 충돌이 초래되는 리스크.","The risk that use or misuse of a technology system to incite, facilitate, or conduct cyberattacks, security breaches, and lethal biological and chemical weapons development results in violence and armed conflict.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0641,SRC-G-0208,RAI4-0641,General,비합의 성적 대상화 및 성적 이미지 생성 리스크,Non-consensual sexualization and intimate imagery generation,"노골적인 성적 콘텐츠를 제작, 생성, 공유, 배포하거나, 동의 없는 성적 이미지· 영상의 생성, 조작, 유포 또는 악용을 포함한 디지털 성범죄와 관련된 내용(음란물 제작, 성인물 생성, 불법 촬영, 리벤지 포르노, 딥 페이크 성범죄, 성적 영상물 유포) 또한 개인 또는 집단을 동의 없이 성적으로 대상화하거나, 실존 인물의 외모· 초상을 이용해 노골적인 성적 자료를 생성하는 행위를 포함합니다. 이러한 결과를 초래하는 리스크.","The risk that content related to digital sexual crimes, including the production, creation, sharing, or distribution of explicit sexual content, as well as the creation, manipulation, dissemination, or exploitation of sexual images or videos without consent (e.g., production of pornography, creation of adult content, illegal filming, revenge pornography, deepfake sexual crimes, distribution of sexual videos). Also includes sexualizing an individual or group without consent, or generating explicit sexual material using a real person's likeness or appearance.",비합의 성적 대상화 및 성적 이미지 생성,Non-consensual sexualization and intimate imagery generation,"노골적인 성적 콘텐츠를 제작, 생성, 공유, 배포하거나, 동의 없는 성적 이미지·영상의 생성, 조작, 유포 또는 악용을 포함한 디지털 성범죄와 관련된 내용(음란물 제작, 성인물 생성, 불법 촬영, 리벤지 포르노, 딥페이크 성범죄, 성적 영상물 유포) 또한 개인 또는 집단을 동의 없이 성적으로 대상화하거나, 실존 인물의 외모·초상을 이용해 노골적인 성적 자료를 생성하는 행위를 포함합니다. 이러한 결과를 초래하는 리스크.","The risk that content related to digital sexual crimes, including the production, creation, sharing, or distribution of explicit sexual content, as well as the creation, manipulation, dissemination, or exploitation of sexual images or videos without consent (e.g., production of pornography, creation of adult content, illegal filming, revenge pornography, deepfake sexual crimes, distribution of sexual videos). Also includes sexualizing an individual or group without consent, or generating explicit sexual material using a real person's likeness or appearance.",SPACING_FIX,표기 교정(원문 대조 복원),분량 초과: L3 수준 1문장으로 축약 필요; 영문 정의 장문: 축약 필요
RAI4-0714,SRC-G-0209,RAI4-0714,General,아동· 청소년 유해 콘텐츠 제공 리스크,Provision of content harmful to children and youth,"미성년자를 대상으로 한 성적 행위, 착취, 유인, 학대 또는 관련 콘텐츠(아동 성 착취 물, 그루밍, 미성년자 성관계 조장) 이러한 결과를 초래하는 리스크.","The risk that sexual acts, exploitation, enticement, abuse, or related content involving minors (child sexual exploitation material, grooming, promotion of sexual relations with minors)",아동·청소년 유해 콘텐츠 제공,Provision of content harmful to children and youth,"미성년자를 대상으로 한 성적 행위, 착취, 유인, 학대 또는 관련 콘텐츠(아동 성 착취물, 그루밍, 미성년자 성관계 조장) 이러한 결과를 초래하는 리스크.","The risk that sexual acts, exploitation, enticement, abuse, or related content involving minors (child sexual exploitation material, grooming, promotion of sexual relations with minors)",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0718,SRC-G-0210,RAI4-0718,General,외설· 비하· 학대 이미지 생성 및 접근 용이화 리스크,Eased production of and access to abusive imagery,"노골적인 성적 콘텐츠를 제작, 생성, 공유, 배포하거나, 동의 없는 성적 이미지· 영상의 생성, 조작, 유포 또는 악용을 포함한 디지털 성범죄와 관련된 내용(음란물 제작, 성인물 생성, 불법 촬영, 리벤지 포르노, 딥 페이크 성범죄, 성적 영상물 유포) 외설적· 굴욕적· 모욕적 이미지를 제작하거나 접근 가능하게하는 행위, 특히 합성 아동 성적 학대 자료(CSAM)와 성인의 비동의 친밀 이미지(NCII)의 생성· 유포· 악용을 포함. 이러한 결과를 초래하는 리스크.","The risk that content related to digital sexual crimes, including the production, creation, sharing, or distribution of explicit sexual content, as well as the creation, manipulation, dissemination, or exploitation of sexual images or videos without consent (e.g., production of pornography, creation of adult content, illegal filming, revenge pornography, deepfake sexual crimes, distribution of sexual videos). Including the production or facilitation of access to obscene, degrading, or abusive imagery, especially the creation, dissemination, or exploitation of synthetic child sexual abuse material (CSAM) and nonconsensual intimate images (NCII) of adults.",외설·비하·학대 이미지 생성 및 접근 용이화,Eased production of and access to abusive imagery,"노골적인 성적 콘텐츠를 제작, 생성, 공유, 배포하거나, 동의 없는 성적 이미지·영상의 생성, 조작, 유포 또는 악용을 포함한 디지털 성범죄와 관련된 내용(음란물 제작, 성인물 생성, 불법 촬영, 리벤지 포르노, 딥페이크 성범죄, 성적 영상물 유포) 외설적·굴욕적·모욕적 이미지를 제작하거나 접근 가능하게하는 행위, 특히 합성 아동 성적 학대 자료(CSAM)와 성인의 비동의 친밀 이미지(NCII)의 생성·유포·악용을 포함. 이러한 결과를 초래하는 리스크.","The risk that content related to digital sexual crimes, including the production, creation, sharing, or distribution of explicit sexual content, as well as the creation, manipulation, dissemination, or exploitation of sexual images or videos without consent (e.g., production of pornography, creation of adult content, illegal filming, revenge pornography, deepfake sexual crimes, distribution of sexual videos). Including the production or facilitation of access to obscene, degrading, or abusive imagery, especially the creation, dissemination, or exploitation of synthetic child sexual abuse material (CSAM) and nonconsensual intimate images (NCII) of adults.",SPACING_FIX,표기 교정(원문 대조 복원),영문 정의 장문: 축약 필요
RAI4-1136,SRC-G-0211,RAI4-1136,General,유해· 범죄 조장· 기만적 콘텐츠의 대규모 생성 리스크,"Scaled generation of harmful, criminal, and deceptive content","적절한 안전· 보안 장치 없이 AI 시스템이 폭력 · 성· 비폭력 범죄를 가능하게하거나 조장하는 응답, 아동 성 착취 물, 자살· 자해 조장 콘텐츠, 비합의 성적 이미지, 명예를 훼손하는 허위 사실, 사기성 웹 사이트, 진본과 구별되지 않는 딥 페이크를 생성하고, 도구 사용과 계획 역량이 이러한 제작을 더 빠르고 저렴하며 개인화된 형태로 확대하는 리스크. 그 결과 개인은 착취· 괴롭힘· 협박과 명예 훼손의 표적이 되고도 구제 받기 어려우며, 범죄 실행이 조력되고 진본 커뮤니케이션에 대한 신뢰가 무너진다. 이러한 결과를 초래하는 리스크.","The risk that, absent proper safety and security mechanisms, AI systems generate content that enables or endorses violent, sexual, and nonviolent crimes, child sexual abuse material, suicide and self-harm, non-consensual intimate imagery, defamatory falsehoods, fraudulent websites, and deepfakes indistinguishable from authentic media, while tool use and planning let threat actors produce it faster, more cheaply, and with greater personalization and reach. Individuals are targeted for exploitation, harassment, extortion, and reputational destruction with little prospect of redress, criminal conduct is facilitated, and trust in authentic communication collapses.",유해·범죄 조장·기만적 콘텐츠의 대규모 생성,"Scaled generation of harmful, criminal, and deceptive content","적절한 안전·보안 장치 없이 AI 시스템이 폭력·성·비폭력 범죄를 가능하게하거나 조장하는 응답, 아동 성 착취물, 자살·자해 조장 콘텐츠, 비합의 성적 이미지, 명예를 훼손하는 허위사실, 사기성 웹 사이트, 진본과 구별되지 않는 딥 페이크를 생성하고, 도구 사용과 계획 역량이 이러한 제작을 더 빠르고 저렴하며 개인화된 형태로 확대하는 리스크. 그 결과 개인은 착취·괴롭힘·협박과 명예 훼손의 표적이 되고도 구제 받기 어려우며, 범죄 실행이 조력되고 진본 커뮤니케이션에 대한 신뢰가 무너진다. 이러한 결과를 초래하는 리스크.","The risk that, absent proper safety and security mechanisms, AI systems generate content that enables or endorses violent, sexual, and nonviolent crimes, child sexual abuse material, suicide and self-harm, non-consensual intimate imagery, defamatory falsehoods, fraudulent websites, and deepfakes indistinguishable from authentic media, while tool use and planning let threat actors produce it faster, more cheaply, and with greater personalization and reach. Individuals are targeted for exploitation, harassment, extortion, and reputational destruction with little prospect of redress, criminal conduct is facilitated, and trust in authentic communication collapses.",SPACING_FIX,표기 교정(원문 대조 복원),분량 초과: L3 수준 1문장으로 축약 필요; 영문 정의 장문: 축약 필요
RAI4-1542,SRC-G-0212,RAI4-1542,General,외부 도구 연동을 통한 유해 콘텐츠 유입 리스크,Ingestion of harmful content through external tool integration,외부 도구· 플러그인과의 통합과 상호 연결이 확대됨에 따라 악의적 외부 입력에 노출되어 유해 콘텐츠가 시스템에 유입되는 리스크.,The risk that growing integration and interconnectivity with external tools and plugins exposes a system to malicious external inputs that introduce harmful content.,외부 도구 연동을 통한 유해 콘텐츠 유입,Ingestion of harmful content through external tool integration,외부 도구·플러그인과의 통합과 상호 연결이 확대됨에 따라 악의적 외부 입력에 노출되어 유해 콘텐츠가 시스템에 유입되는 리스크.,The risk that growing integration and interconnectivity with external tools and plugins exposes a system to malicious external inputs that introduce harmful content.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0023,SRC-G-0213,RAI4-0023,General,AI 시스템에 의한 자해 조장 리스크,Self-harm facilitation by AI systems,"자해 또는 자살을 수행하기 위한 도구, 수단, 기술 또는 절차 제공: 도구 추천, 방법 비교, 실행 절차 자해를 돕기 위한 행동 지향적 지원, 계획 수립 또는 자원 제공을 포함하며, 시스템 사용 과정에서 자해를 유도하거나 가능성을 높이는 경우를 포함한다. 이러한 결과를 초래하는 리스크.","The risk that provision of tools, means, techniques, or procedures for self-harm or suicide: tool recommendations, method comparisons, execution procedures Includes action-oriented support, planning, or provision of resources to facilitate self-harm, as well as cases where the system’s use dynamics encourage or increase the likelihood of self-harm.",AI 시스템에 의한 자해 조장,Self-harm facilitation by AI systems,"자해 또는 자살을 수행하기 위한 도구, 수단, 기술 또는 절차 제공: 도구 추천, 방법 비교, 실행 절차 자해를 돕기 위한 행동 지향적 지원, 계획 수립 또는 자원 제공을 포함하며, 시스템 사용 과정에서 자해를 유도하거나 가능성을 높이는 경우를 포함한다. 이러한 결과를 초래하는 리스크.","The risk that provision of tools, means, techniques, or procedures for self-harm or suicide: tool recommendations, method comparisons, execution procedures Includes action-oriented support, planning, or provision of resources to facilitate self-harm, as well as cases where the system’s use dynamics encourage or increase the likelihood of self-harm.",UNCHANGED,,분량 초과: L3 수준 1문장으로 축약 필요
RAI4-0157,SRC-G-0214,RAI4-0157,General,챗봇을 통한 자해 격려 리스크,Self-harm encouragement by chatbot,"자해 또는 자살을 긍정적· 합리적· 영웅적 행위로 묘사하거나 옹호하는 내용(자살 찬양, 자해 권장, 자해 정상화) 또한 챗봇이 자해 사고나 행동을 강화· 정상화하거나 이를 적절히 중단시키지 못하는 내용. 이러한 결과를 초래하는 리스크.","The risk that content that depicts or advocates self-harm or suicide as positive, rational, or heroic acts (e.g., glorification of suicide, encouragement of self-harm, normalization of self-harm). Also includes content where a chatbot reinforces or normalizes self-harm ideation or behavior, or fails to appropriately interrupt it.",챗봇을 통한 자해 격려,Self-harm encouragement by chatbot,"자해 또는 자살을 긍정적·합리적·영웅적 행위로 묘사하거나 옹호하는 내용(자살 찬양, 자해 권장, 자해 정상화) 또한 챗봇이 자해 사고나 행동을 강화·정상화하거나 이를 적절히 중단시키지 못하는 내용. 이러한 결과를 초래하는 리스크.","The risk that content that depicts or advocates self-harm or suicide as positive, rational, or heroic acts (e.g., glorification of suicide, encouragement of self-harm, normalization of self-harm). Also includes content where a chatbot reinforces or normalizes self-harm ideation or behavior, or fails to appropriately interrupt it.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0833,SRC-G-0215,RAI4-0833,General,이용자의 정신· 신체 건강을 위협하는 콘텐츠 리스크,Content endangering users' mental and physical health,"거식증, 폭식증 또는 신체를 해치는 자기 파괴적 행동을 조장· 지원하는 내용(극단적 단식, 프로아나(Pro-ana), 체중 감량 강박) 자살을 조장하거나 공황· 불안을 유발하는 내용, 오도성 의료 정보나 부적절한 약물 사용 지침처럼 정신적· 신체적 건강을 해치는 콘텐츠. 이러한 결과를 초래하는 리스크.","The risk that content that promotes or supports self-destructive behaviors that harm the body, such as anorexia, bulimia, or extreme fasting, including pro-ana (pro-anorexia) and obsessive weight loss. Content that encourages suicide, induces panic or anxiety, or provides misleading medical information or inappropriate drug-use guidance that harms mental or physical health.",이용자의 정신·신체 건강을 위협하는 콘텐츠,Content endangering users' mental and physical health,"거식증, 폭식증 또는 신체를 해치는 자기파괴적 행동을 조장·지원하는 내용(극단적 단식, 프로아나(Pro-ana), 체중 감량 강박) 자살을 조장하거나 공황·불안을 유발하는 내용, 오도성 의료 정보나 부적절한 약물 사용 지침처럼 정신적·신체적 건강을 해치는 콘텐츠. 이러한 결과를 초래하는 리스크.","The risk that content that promotes or supports self-destructive behaviors that harm the body, such as anorexia, bulimia, or extreme fasting, including pro-ana (pro-anorexia) and obsessive weight loss. Content that encourages suicide, induces panic or anxiety, or provides misleading medical information or inappropriate drug-use guidance that harms mental or physical health.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0411,SRC-G-0216,RAI4-0411,General,언어별 피해 과소 탐지 리스크,Language-specific harm under-detection,평가 범위가 취약한 언어와 방언에서 유해· 모욕적· 비안전 콘텐츠가 덜 안정적으로 탐지되는 리스크.,"The risk that toxic, disrespectful, or unsafe content is less reliably detected in languages and dialects with weaker evaluation coverage.",언어별 피해 과소탐지,Language-specific harm under-detection,평가 범위가 취약한 언어와 방언에서 유해·모 욕적·비안전 콘텐츠가 덜 안정적으로 탐지되 는 리스크.,"The risk that toxic, disrespectful, or unsafe content is less reliably detected in languages and dialects with weaker evaluation coverage.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0426,SRC-G-0217,RAI4-0426,General,혐오 발언 생성 리스크,Hate speech generation,생성 시스템이 특정 정체성 집단을 표적으로 하는 혐오적· 모욕적 콘텐츠를 산출하는 리스크.,The risk that generative systems produce hateful or abusive content targeting identity groups.,혐오발언 생성,Hate speech generation,생성 시스템이 특정 정체성 집단을 표적으로 하는 혐오적·모욕적 콘텐츠를 산출하는 리스크.,The risk that generative systems produce hateful or abusive content targeting identity groups.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0706,SRC-G-0218,RAI4-0706,General,보호 속성 기반 부당 대우 리스크,Protected-attribute unfair treatment,"인종, 민족, 연령, 성별, 성적 지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.","The risk that an AI system causes, enables, or contributes to unfair or inadequate treatment or arbitrary distinction based on a person's race, ethnicity, age, gender, sexual preference, religion, national origin, marital status, disability, language, or other protected groups.",보호 속성 기반 부당 대우,Protected-attribute unfair treatment,"인종, 민족, 연령, 성별, 성적지향, 종교, 출신 국가, 혼인 여부, 장애, 언어 등 보호 속성을 근거로 개인이 불공정하거나 부적절한 대우 또는 자의적 차별을 받는 리스크.","The risk that an AI system causes, enables, or contributes to unfair or inadequate treatment or arbitrary distinction based on a person's race, ethnicity, age, gender, sexual preference, religion, national origin, marital status, disability, language, or other protected groups.",UNCHANGED,,
RAI4-0368,SRC-G-0219,RAI4-0368,General,도덕적 다양성 압축 리스크,Moral diversity compression,다양한 도덕적 입장이 모델 친화적인 소수 범주나 평균 선호로 압축되는 리스크.,The risk that diverse moral positions are compressed into a small set of modelfriendly categories or average preferences.,도덕적 다양성 압축,Moral diversity compression,다양한 도덕적 입장이 모델 친화적인 소수 범 주나 평균 선호로 압축되는 리스크.,The risk that diverse moral positions are compressed into a small set of modelfriendly categories or average preferences.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0403,SRC-G-0220,RAI4-0403,General,도덕적 프레이밍 편향 리스크,Moral framing bias,프롬프트· 응답· 평가의 구성 방식이 이용자를 논쟁적 사안에 대한 특정한 도덕적 해석으로 유도하는 리스크.,"The risk that the framing of prompts, responses, or evaluations channels users toward a particular moral interpretation of a contested issue.",도덕적 프레이밍 편향,Moral framing bias,프롬프트·응답·평가의 구성 방식이 이용자를 논쟁적 사안에 대한 특정한 도덕적 해석으로 유도하는 리스크.,"The risk that the framing of prompts, responses, or evaluations channels users toward a particular moral interpretation of a contested issue.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0422,SRC-G-0221,RAI4-0422,General,도덕적 세계관 배제 리스크,Moral-worldview exclusion,종교적· 영적· 토착적· 비세속적 도덕 세계관이 모델 행동과 평가 기준에서 배제되는 리스크.,"The risk that religious, spiritual, indigenous, or non-secular moral worldviews are excluded from model behavior and evaluation standards.",도덕적 세계관 배제,Moral-worldview exclusion,종교적·영적·토착적·비세속적 도덕 세계관이 모델 행동과 평가 기준에서 배제되는 리스크.,"The risk that religious, spiritual, indigenous, or non-secular moral worldviews are excluded from model behavior and evaluation standards.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0529,SRC-G-0222,RAI4-0529,General,시스템 사용· 오용에 따른 정치· 경제 불안정 리스크,Political and economic destabilization from system misuse,"기술 시스템의 사용 또는 오용이 직간접적으로 정치적 불안과 양극화, 금융 시스템의 통제되지 않는 변동, 이용자· 개발자· 배포자에 대한 신뢰 상실을 초래하고, 불평등· 일자리 상실· 기술과 의존이 사회를 이러한 체계적 실패에 더욱 취약하게 만드는 리스크.","The risk that the use or misuse of a technology system directly or indirectly causes political unrest and polarization, uncontrolled fluctuations in the financial system, and loss of confidence or trust in users, developers, and deployers, while inequality, job losses, and overdependence leave societies increasingly vulnerable to such systemic failures.",시스템 사용·오용에 따른 정치·경제 불안정,Political and economic destabilization from system misuse,"기술 시스템의 사용 또는 오용이 직간접적으 로 정치적 불안과 양극화, 금융 시스템의 통제 되지 않는 변동, 이용자·개발자·배포자에 대한 신뢰 상실을 초래하고, 불평등·일자리 상실·기 술 과의존이 사회를 이러한 체계적 실패에 더 욱 취약하게 만드는 리스크.","The risk that the use or misuse of a technology system directly or indirectly causes political unrest and polarization, uncontrolled fluctuations in the financial system, and loss of confidence or trust in users, developers, and deployers, while inequality, job losses, and overdependence leave societies increasingly vulnerable to such systemic failures.",SPACING_FIX,표기 교정(원문 대조 복원),
