source_l4_id,facet,act_type,title_ko,title_en,description_ko,description_en,original_description_ko,original_description_en,human_edit_ko_used,human_edit_en_used,human_audit_description,human_audit_l3_mapping,human_audit_duplicate,instruction_prompt,coverage_change,source_domain,source_row_id,source_l4_ids,transformation_action,transformation_rationale,terminology_sources,l3_candidate_hint,target_domain,domain_route_basis,definition_l3_anchor_id,definition_l3_anchor_score,definition_grounding_action
RAI4-0619,,,은밀한 행동 조작,Covert behavioral manipulation,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 기술시스템이넛지, 다크 패턴, 기타 불투명한 기법으로 이용자의 신념과 행동을 은밀히 변경하여 프라이버시 침식, 중독, 불안과 고통 등을 초래하는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which a technology system covertly alters user beliefs and behaviour using nudging, dark patterns, or other opaque techniques, resulting in potential erosion of privacy, addiction, anxiety, and distress.","기술 시스템이 넛지, 다크 패턴, 기타 불투명 한 기법으로 이용자의 신념과 행동을 은밀히 변경하여 프라이버시 침식, 중독, 불안과 고통 등을 초래하는 리스크","The risk that a technology system covertly alters user beliefs and behaviour using nudging, dark patterns, or other opaque techniques, resulting in potential erosion of privacy, addiction, anxiety, and distress.",False,False,,,,,,General,SRC-G-0273,RAI4-0619,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_INT_UNETH,0.759996,L3_MASTER_AI_REWRITE
RAI4-0721,,,유해·오염 학습 데이터에 의한 출력 훼손,Output corruption from harmful and poisoned training data,"학습 데이터에 허위·편파·권리 침해 콘텐츠 등 불법적이거나 유해한 정보가 포함되거나 공격자에 의해 오염됨으로써, 모델이 불법·악의적·극단적 콘텐츠를 출력하고 정확성과 신뢰성이 저하되는 리스크.","The risk that training data containing illegal or harmful information such as false, biased, or IPR-infringing content, or poisoned through tampering and error injection by attackers, causes the model to output harmful content and degrades its accuracy and reliability.","학습 데이터에 허위·편파·권리침해 콘텐츠 등 불법적이거나 유해한 정보가 포함되거나 공 격자에 의해 오염됨으로써, 모델이 불법·악의 적·극단적 콘텐츠를 출력하고 정확성과 신뢰 성이 저하되는 리스크","The risk that training data containing illegal or harmful information such as false, biased, or IPR-infringing content, or poisoned through tampering and error injection by attackers, causes the model to output harmful content and degrades its accuracy and reliability.",False,False,,,,,,General,SRC-G-0274,RAI4-0721,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SYS_SECADV,0.697484,L3_MASTER_VALIDATED
RAI4-0733,,,학습 데이터 내 기밀정보 포함과 출력 노출,Confidential information in training data disclosed through outputs,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 기밀 정보가 학습·튜닝데이터나프롬프트의 일부로 포함된 뒤 생성 출력에서 그대로 재현되는 리스크. 이러한 유출은 보호되어야할 영업 정보와 개인 정보를 권한 없는 이에게 노출시키고 비밀 유지 의무를 위반하는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which confidential information is incorporated into training data, tuning data, or prompts and is subsequently reproduced in generated outputs. Such leakage exposes protected business and personal information to unauthorized parties and breaches confidentiality obligations.",기밀정보가 학습·튜닝 데이터나 프롬프트의 일부로 포함된 뒤 생성 출력에서 그대로 재현되는 리스크. 이러한 유출은 보호되어야 할 영 업 정보와 개인정보를 권한 없는 이에게 노출 시키고 비밀유지 의무를 위반한다.,"The risk that confidential information is incorporated into training data, tuning data, or prompts and is subsequently reproduced in generated outputs. Such leakage exposes protected business and personal information to unauthorized parties and breaches confidentiality obligations.",False,False,,,,,,General,SRC-G-0275,RAI4-0733,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_POLICY,0.748798,L3_MASTER_AI_REWRITE
RAI4-0753,,,학습 데이터 추출 공격,Training data extraction attack,공격자가 모델로부터 학습 데이터셋에 존재하는 텍스트 기록을 추출해 내는 리스크.,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which an attacker extracts the text records that exist in the training dataset.",공격자가 모델로부터 학습 데이터셋에 존재하는 텍스트 기록을 추출해 내는 리스크,The risk that an attacker extracts the text records that exist in the training dataset.,False,False,,,,,,General,SRC-G-0276,RAI4-0753,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_POLICY,0.657139,L3_MASTER_AI_REWRITE
RAI4-0760,,,프롬프트 및 학습 데이터에 기인한 개인정보 노출,Personal data exposure through prompt and training data,"학습·미세조정데이터나프롬프트에 포함된 개인 정보와 기밀 정보가 모델 출력을 통해 공개되는 리스크로, 개인 정보를 담은 프롬 프 트가 학습 과정에서 기억된 유사한 정보를 이끌어 내는 경우를 포함한다. 다른 목적으로 수집된 데이터의 당사자는 비인가 공개와 오용에 노출되는 리스크.","The risk that personal and confidential data contained in training, fine-tuning, or prompt inputs is disclosed through model outputs, including when a prompt primed with personal information elicits similar records memorized during training. Individuals whose data was collected for another purpose are thereby exposed to unauthorized disclosure and misuse.","학습·미세조정 데이터나 프롬프트에 포함된 개인정보와 기밀정보가 모델 출력을 통해 공 개되는 리스크로, 개인정보를 담은 프롬프트 가 학습 과정에서 기억된 유사한 정보를 이끌 어내는 경우를 포함한다. 다른 목적으로 수집된 데이터의 당사자는 비인가 공개와 오용에 노출된다.","The risk that personal and confidential data contained in training, fine-tuning, or prompt inputs is disclosed through model outputs, including when a prompt primed with personal information elicits similar records memorized during training. Individuals whose data was collected for another purpose are thereby exposed to unauthorized disclosure and misuse.",False,False,,,,,,General,SRC-G-0277,RAI4-0760,REWRITE_KEEP|PEER_REVIEW,분량 초과: L3 수준 1문장으로 축약 필요,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,G_INT_PRIV,General,SOURCE_DOMAIN,G_INT_PRIV,0.692293,L3_MASTER_VALIDATED
RAI4-0788,,,인스트럭션 튜닝 포이즈닝,Instruction-tuning poisoning,"명령과 목표 출력 쌍으로 모델을 조정하는 인스 트럭 션 튜닝 단계에서 적은 수의 오염 표본만으로 모델이 오염될 수 있고, 익명 크라우드 소싱으로 수집된 데이터셋이 이를 조장하며 기존 데이터 오염 공격보다 탐지가 어려운 리스크.","The risk that AI models are poisoned during instruction tuning with pairs of instructions and desired outputs, where a lower number of compromised samples suffices, anonymous crowdsourcing of tuning datasets further contributes, and detection is harder than for traditional data poisoning attacks.","명령과 목표 출력 쌍으로 모델을 조정하는 인 스트럭션 튜닝 단계에서 적은 수의 오염 표본 만으로 모델이 오염될 수 있고, 익명 크라우드 소싱으로 수집된 데이터셋이 이를 조장하며 기존 데이터 오염 공격보다 탐지가 어려운 리스크","The risk that AI models are poisoned during instruction tuning with pairs of instructions and desired outputs, where a lower number of compromised samples suffices, anonymous crowdsourcing of tuning datasets further contributes, and detection is harder than for traditional data poisoning attacks.",False,False,,,,,,General,SRC-G-0278,RAI4-0788,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SYS_SECADV,0.604879,L3_MASTER_VALIDATED
RAI4-1173,,,역할극 지시 악용,Role-play instruction exploitation,"공격자가입력프롬프트에서 모델에 과격 주의자나 인종 차별 주의자처럼 위험한 집단과 연관된 역할 속성을 부여하고 지시를 내려, 지시에 지나치게 충실한 모델이 그 인물의 말투로 안전하지 않은 콘텐츠를 산출하는 리스크.","The risk that attackers specify a model's role attribute within the input prompt, tying it to potentially risky groups such as radicals or racial discriminators, so that the overly faithful model outputs unsafe content in the style of that character.","공격자가 입력 프롬프트에서 모델에 과격주 의자나 인종차별주의자처럼 위험한 집단과 연관된 역할 속성을 부여하고 지시를 내려, 지 시에 지나치게 충실한 모델이 그 인물의 말투 로 안전하지 않은 콘텐츠를 산출하는 리스크.","The risk that attackers specify a model's role attribute within the input prompt, tying it to potentially risky groups such as radicals or racial discriminators, so that the overly faithful model outputs unsafe content in the style of that character.",False,False,,,,,,General,SRC-G-0279,RAI4-1173,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SYS_OEXT,0.660613,L3_MASTER_VALIDATED
RAI4-1494,,,악의적 미세조정에 의한 안전장치 무력화,Safeguard compromise through malicious fine-tuning,악의적 행위자가 공개 가중치 AI 모델을 저비용으로 미세 조정하여 안전 장치와 사용 제한을 우회하고 유해한 출력을 생성하도록 만드는 리스크.,The risk that malicious actors fine-tune an open-weight AI model at low cost to bypass safeguards and use restrictions and elicit harmful outputs.,가중치가 공개된 모델이 원래 훈련 비용에 비 해 훨씬 적은 시간과 비용으로 악의적 행위자 에 의해 유해한 활동용으로 미세조정되는 리스크.,"The risk that models with publicly available weights are fine-tuned for harmful activities by bad actors using significantly fewer resources, in time and money, than the original training cost.",False,False,,,,,,General,SRC-G-0280,RAI4-1494,REWRITE_KEEP|PEER_REVIEW|L3_MASTER_SCOPE_REWRITE,"Definition narrowed to the subject, mechanism, and adverse outcome of the immutable L3 master",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,G_SYS_SECADV,General,SOURCE_DOMAIN,G_SYS_SECADV,0.745744,L3_MASTER_VALIDATED
RAI4-1508,,,가이드라인 오염,Guideline contamination,데이터셋의 수집·주석·사용에 관한 지침이 모델에 노출되고 그 지침에 포함된 명시적 데이터-레이블 쌍이 해당 과업에 대한 모델의 역량을 향상시키는 리스크.,"The risk that instructions for the collection, annotation, or use of a dataset are exposed to the model, with explicit data-label pairs contained in those instructions improving the model's capabilities for the task.",데이터셋의 수집·주석·사용에 관한 지침이 모델에 노출되고 그 지침에 포함된 명시적 데이 터-레이블 쌍이 해당 과업에 대한 모델의 역 량을 향상시키는 리스크.,"The risk that instructions for the collection, annotation, or use of a dataset are exposed to the model, with explicit data-label pairs contained in those instructions improving the model's capabilities for the task.",False,False,,,,,,General,SRC-G-0281,RAI4-1508,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,G_SYS_EVAL,General,SOURCE_DOMAIN,G_SYS_EVAL,0.607313,L3_MASTER_VALIDATED
RAI4-1564,,,약물 발견 모델 오용에 의한 독소 식별·개발,Dangerous toxin identification through misuse of drug-discovery models,"약물-표적 친화성 예측 등 약물 발견에 쓰이는 모델이 위험한 독소를 식별하거나 개발하는 데 사용되며, 훈련 데이터에 위험 단백질·바이러스 정보가 포함될 경우 우려가 커지는 리스크.","The risk that models used for drug discovery, such as drug-target affinity predictors, are used to identify or develop dangerous toxins, a concern heightened when training data includes information on hazardous proteins and viruses.","약물-표적 친화성 예측 등 약물 발견에 쓰이 는 모델이 위험한 독소를 식별하거나 개발하 는 데 사용되며, 훈련 데이터에 위험 단백질·바이러스 정보가 포함될 경우 우려가 커지는 리스크.","The risk that models used for drug discovery, such as drug-target affinity predictors, are used to identify or develop dangerous toxins, a concern heightened when training data includes information on hazardous proteins and viruses.",False,False,,,,,,General,SRC-G-0282,RAI4-1564,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,G_INT_WEAP,General,SOURCE_DOMAIN,G_INT_WEAP,0.600158,L3_MASTER_VALIDATED
RAI4-1687,,,월드모델 표현·훈련 데이터 오염,World-model representation and trainingdata poisoning,"월드 모델의 훈련 데이터나 잠재 표현이 적대적으로 손상되어 특정 조건에서만 안전하지 않은 역학을 활성화하는 백 도어 트리거가 삽입되며, 자기 지도 사전 학습 단계에서 부호화된 결함은 다운 스트림에서 교정될 수 없는 리스크.","The risk that an AI system causes, enables, or contributes to adversarial corruption of world-model training data or latent representations, including backdoor triggers that activate unsafe dynamics only under specific conditions, where defects encoded in self-supervised pretraining (the ""Foundry Problem"") cannot be remediated downstream.","월드 모델의 훈련 데이터나 잠재 표현이 적대적으로 손상되어 특정 조건에서만 안전하지 않은 역학을 활성화하는 백도어 트리거가 삽입되며, 자기지도 사전학습 단계에서 부호화된 결함은 다운스트림에서 교정될 수 없는 리스크.","The risk of adversarial corruption of world-model training data or latent representations, including backdoor triggers that activate unsafe dynamics only under specific conditions, where defects encoded in self-supervised pretraining (the ""Foundry Problem"") cannot be remediated downstream.",False,False,,,,,,General,SRC-G-0283,RAI4-1687,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SYS_SECADV,0.667953,L3_MASTER_VALIDATED
RAI4-0356,,,배터리 화재 및 유해 폐기물,Battery fire and hazardous end-of-life waste,대규모 피지컬 AI 군 집에서 에너지 시스템과 폐기 절차가 제대로 관리되지 않아 배터리 열 폭주·유해 물질 누출·부적절한 폐기가 증가하는 리스크.,"The risk that large physical AI fleets increase battery thermal-runaway, hazardous-material leakage, and unsafe disposal when energy systems and endof-life handling are inadequately controlled.",대규모 피지컬 AI 군집에서 에너지 시스템과 폐기 절차가 제대로 관리되지 않아 배터리 열 폭주·유해물질 누출·부적절한 폐기가 증가하 는 리스크.,"The risk that large physical AI fleets increase battery thermal-runaway, hazardous-material leakage, and unsafe disposal when energy systems and endof-life handling are inadequately controlled.",False,False,,,,L3 영문 수정: Energy Consumption and Environmental > Energy Consumption and Environmental Impact,,General,SRC-G-0284,RAI4-0356,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.725718,L3_MASTER_VALIDATED
RAI4-0360,,,산업 공정 피해,Industrial process damage,제조·건설·광업·에너지 시설의 피지컬 AI가 잘못된제 어로 장비 손상·공정 오염·구조 불안정 또는 환경 사고를 유발하는 위험.,"The risk that physical AI in manufacturing, construction, mining, or energy facilities may damage equipment, contaminate processes, or trigger cascading operational failures.",제조·건설·광업·에너지 시설의 피지컬 AI가 잘 못된 제어로 장비 손상·공정 오염·구조 불안정 또는 환경 사고를 유발하는 위험.,"Physical AI in manufacturing, construction, mining, or energy facilities may damage equipment, contaminate processes, or trigger cascading operational failures.",False,False,,,,,,General,SRC-G-0285,RAI4-0360,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ECON,0.73488,L3_MASTER_VALIDATED
RAI4-0502,,,인명·재산·환경 직접 피해,"Direct harms from AI to people, property, and environment","AI 시스템의 개발·운영·사용·오작동이 신체적·심리적 상해, 금전적 손실과 재산 피해, 중요 인프라의 중단·손상, 동물 등 비인간 존재에 대한 피해, 하드웨어 수명 주기 전반의 자연 환경 오염·자원 고갈에 이르는 실제 피해를 발생시키는 리스크. 의인화와 과신, 조작 등 인간 AI 상호 작용에서 창발하는 피해도 시스템 실패·오용과 함께 이러한 피해에 기여하는 리스크.","The risk that the development, operation, use, or malfunction of AI systems produces realized harm, injuring people physically or psychologically, causing financial loss and property damage, disrupting critical infrastructure, harming animals and other non-human entities, and polluting or depleting the natural environment across the hardware lifecycle. Harmful human-AI configurations, from anthropomorphization and over-trust to manipulation, contribute to these harms alongside system failure and misuse.","AI 시스템의 개발·운영·사용·오작동이 신체적·심리적 상해, 금전적 손실과 재산 피해, 중요 인프라의 중단·손상, 동물 등 비인간 존재에 대한 피해, 하드웨어 수명주기 전반의 자연환 경 오염·자원 고갈에 이르는 실제 피해를 발생 시키는 리스크. 의인화와 과신, 조작 등 인간AI 상호작용에서 창발하는 피해도 시스템 실 패·오용과 함께 이러한 피해에 기여한다.","The risk that the development, operation, use, or malfunction of AI systems produces realized harm, injuring people physically or psychologically, causing financial loss and property damage, disrupting critical infrastructure, harming animals and other non-human entities, and polluting or depleting the natural environment across the hardware lifecycle. Harmful human-AI configurations, from anthropomorphization and over-trust to manipulation, contribute to these harms alongside system failure and misuse.",False,False,,,,,,General,SRC-G-0286,RAI4-0502,REWRITE_KEEP|PEER_REVIEW|TITLE_TERMINOLOGY_NORMALISATION,Formulaic AI involvement removed from the risk title; the harm or failure is named using an immutable-L3-compatible term family documented by authoritative institutions,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.799922,L3_MASTER_VALIDATED
RAI4-0504,,,에너지 병목 및 공급 부족,Energy bottlenecks and shortages,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 과도한 에너지 사용이 지역 사회·조직·기업에 에너지 병목과 공급 부족을 초래하는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which excessive energy use results in energy bottlenecks and shortages for communities, organisations, and businesses.",과도한 에너지 사용이 지역사회·조직·기업에 에너지 병목과 공급 부족을 초래하는 리스크.,"The risk that excessive energy use results in energy bottlenecks and shortages for communities, organisations, and businesses.",False,False,,,,,,General,SRC-G-0287,RAI4-0504,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SOC_ENV,0.67297,L3_MASTER_AI_REWRITE
RAI4-0798,,,생태계 과부하,Overburdening ecosystems,AI 개입이 없을 것으로 기대되는 창작물 공모·채용 지원 등 생태계에 AI 생성물이 대량 유입되어 필터링·신뢰 메커니즘에 과부하를 일으키는 리스크.,"The risk that mass AI-generated submissions pollute ecosystems expected to be free of AI involvement, such as creative submission portals and job application channels, overburdening their filtering and trust mechanisms.",AI 개입이 없을 것으로 기대되는 창작물 공모·채용 지원 등 생태계에 AI 생성물이 대량 유입되어 필터링·신뢰 메커니즘에 과부하를 일으키는 리스크.,"Mass AI-generated submissions pollute ecosystems expected to be free of AI involvement, such as creative submission portals and job application channels, overburdening their filtering and trust mechanisms.",False,False,,,,,,General,SRC-G-0288,RAI4-0798,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.754446,L3_MASTER_VALIDATED
RAI4-0799,,,공유 정보 생태계의 오염과 질 저하,Degradation of the shared information ecosystem,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 생성 도구가 산출한 허위·환각·저품질 콘텐츠와 인물·사건에 대한 사실적 허위 묘사가 최초 이용자를 넘어 유포되어 공개적으로 이용 가능한 정보가 오염되는 리스크. 사람들은 그에 근거해 부정확한 인식과 결정에 이르고, 나아가 정확한 정보에 대한 신뢰마저 잃는다로 인해 구체적인 위해가 발생하는 리스크.","The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which false, hallucinated, low-quality, or realistically fabricated depictions of people and events produced by generative tools circulate beyond the end user and contaminate publicly available information. People form inaccurate perceptions and decisions on that basis and lose trust even in accurate information.","생성 도구가 산출한 허위·환각·저품질 콘텐츠 와 인물·사건에 대한 사실적 허위 묘사가 최초 이용자를 넘어 유포되어 공개적으로 이용 가 능한 정보가 오염되는 리스크. 사람들은 그에 근거해 부정확한 인식과 결정에 이르고, 나아 가 정확한 정보에 대한 신뢰마저 잃는다.","The risk that false, hallucinated, lowquality, or realistically fabricated depictions of people and events produced by generative tools circulate beyond the end user and contaminate publicly available information. People form inaccurate perceptions and decisions on that basis and lose trust even in accurate information.",False,False,,,,,,General,SRC-G-0289,RAI4-0799,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SYS_MISINFO,0.74645,L3_MASTER_AI_REWRITE
RAI4-0926,,,에너지·지연 오버헤드 공격,Energy-latency overhead attacks,정교하게 설계된 스펀지 예제로 AI 시스템의 에너지 소비를 극대화하는 오버 헤드(에너지 지연) 공격이 LLM 연동 플랫폼을 위협하는 리스크.,"The risk that overhead, or energy-latency, attacks using carefully crafted sponge examples maximize energy consumption in an AI system, threatening platforms integrated with LLMs.",정교하게 설계된 스펀지 예제로 AI 시스템의 에너지 소비를 극대화하는 오버헤드(에너지지연) 공격이 LLM 연동 플랫폼을 위협하는 리스크.,"The risk that overhead, or energy-latency, attacks using carefully crafted sponge examples maximize energy consumption in an AI system, threatening platforms integrated with LLMs.",False,False,,,,,,General,SRC-G-0290,RAI4-0926,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.666033,L3_MASTER_VALIDATED
RAI4-0950,,,지속불가능한 자원 사용,Unsustainable resource use,생성 모델의 막대한 전력·냉각수·희귀 금속 하드웨어 수요가 지속 불가능한 방식의 자원 채굴과 사용을 유발하여 환경 피해를 초래하는 리스크.,"The risk that generative models' substantial demands for electricity, cooling water, and rare-metal hardware drive resource extraction and utilization in unsustainable ways, causing environmental harm.",생성 모델의 막대한 전력·냉각수·희귀금속 하 드웨어 수요가 지속불가능한 방식의 자원 채 굴과 사용을 유발하여 환경 피해를 초래하는 리스크.,"The risk that generative models' substantial demands for electricity, cooling water, and rare-metal hardware drive resource extraction and utilization in unsustainable ways, causing environmental harm.",False,False,,,,,,General,SRC-G-0291,RAI4-0950,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.765833,L3_MASTER_VALIDATED
RAI4-0996,,,원자재 수요에 의한 자원 고갈,Resource depletion from raw material demand,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정이 이러한 장치의 생산 공정이 니켈·코발트·리튬 등 원자재를 대량으로 요구하여 지구가 머지않아 충분한 양을 공급하지 못하게되는 리스크.,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which the production process of these devices requires raw materials such as nickel, cobalt, and lithium in quantities the Earth may soon no longer be able to sustain.",이러한 장치의 생산 공정이 니켈·코발트·리튬 등 원자재를 대량으로 요구하여 지구가 머지 않아 충분한 양을 공급하지 못하게되는 리스크.,"The risk that the production process of these devices requires raw materials such as nickel, cobalt, and lithium in quantities the Earth may soon no longer be able to sustain.",False,False,,,,,,General,SRC-G-0292,RAI4-0996,REWRITE_KEEP|PEER_REVIEW|L3_AI_GROUNDING,"Bilingual definition grounded in an explicit AI technology, causal mechanism, and immutable L3 scope",L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT|L3_MASTER,,General,SOURCE_DOMAIN,G_SOC_ENV,0.668577,L3_MASTER_AI_REWRITE
RAI4-1015,,,광범위한 사회·환경적 부정 영향,Broad societal and environmental adverse impacts,"AI가 노동력 대체, 정신 건강 악화, 딥페이크 등 조작 기술 문제와 함께 자원 부담·학습 탄소 배출 등 환경 발자국을 통해 사회와 환경에 광범위한 부정적 영향을 미치는 리스크.","The risk that AI produces broad adverse effects on society and the environment, including labor displacement, mental health impacts, harms from manipulative technologies like deepfakes, and an environmental footprint of resource strain and training-related carbon emissions.","AI가 노동력 대체, 정신건강 악화, 딥페이크 등 조작 기술 문제와 함께 자원 부담·학습 탄 소 배출 등 환경 발자국을 통해 사회와 환경에 광범위한 부정적 영향을 미치는 리스크.","The risk that AI produces broad adverse effects on society and the environment, including labor displacement, mental health impacts, harms from manipulative technologies like deepfakes, and an environmental footprint of resource strain and training-related carbon emissions.",False,False,,,,,,General,SRC-G-0293,RAI4-1015,REWRITE_KEEP|PEER_REVIEW,Peer-review spacing restoration,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.798197,L3_MASTER_VALIDATED
RAI4-1064,,,언어모델 학습·운영에 따른 환경 피해,Environmental harm from training and operating language models,"대규모 언어 모델의 학습·운영 에너지 수요와 탄소 배출, 데이터 센터 냉각용 담수 소비, 데이터 센터와 칩·기기 제작에 필요한 귀금속 등 자원 소모, 그리고 관련 애플리케이션의 2차 배출과 그것이 유발하는 행동 변화가 상당한 환경 비용을 발생시키는 리스크. 그 부담은 자원 고갈과 오염의 형태로 생태계와 지역 사회에 전가되는 리스크.","The risk that the energy demand and carbon emissions of training and operating large language models, the freshwater consumed to cool data centres, the metals and materials required to build facilities, chips, and devices, and the secondary emissions and behavioural changes driven by model-based applications impose substantial environmental costs. Ecosystems and communities bear the resulting depletion and pollution.","대규모 언어모델의 학습·운영 에너지 수요와 탄소 배출, 데이터센터 냉각용 담수 소비, 데이터센터와 칩·기기 제작에 필요한 귀금속 등 자원 소모, 그리고 관련 애플리케이션의 2차 배출과 그것이 유발하는 행동 변화가 상당한 환경 비용을 발생시키는 리스크. 그 부담은 자 원 고갈과 오염의 형태로 생태계와 지역사회 에 전가된다.","The risk that the energy demand and carbon emissions of training and operating large language models, the freshwater consumed to cool data centres, the metals and materials required to build facilities, chips, and devices, and the secondary emissions and behavioural changes driven by model-based applications impose substantial environmental costs. Ecosystems and communities bear the resulting depletion and pollution.",False,False,,,,,,General,SRC-G-0294,RAI4-1064,REWRITE_KEEP|PEER_REVIEW,분량 초과: L3 수준 1문장으로 축약 필요; 영문 정의 장문: 축약 필요,L3_MASTER|NIST_AI_RMF|OECD_AI_PRINCIPLES|KOREA_AI_BASIC_ACT,,General,SOURCE_DOMAIN,G_SOC_ENV,0.777984,L3_MASTER_VALIDATED
