l4_id,label_ko,old_l3,new_l3,scope,method
RAI4-1004,경제적 손실,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0986,자율 에이전트에 대한 책임 귀속 공백,RAI3-G-SOC-06,RAI3-A-SOC-06,A,keyword_heuristic
RAI4-1275,도덕적 책임 격차,RAI3-G-SOC-06,RAI3-P-SOC-06,P,keyword_heuristic
RAI4-2383,피지컬 AI의 인구집단 차별 행동,RAI3-G-SOC-05,RAI3-P-SOC-05,P,keyword_heuristic
RAI4-0355,전환 지원 없는 물리 노동 대체,RAI3-G-SOC-02,RAI3-P-SOC-02,P,keyword_heuristic
RAI4-0319,안전 의무 회피를 위한 관할권 간 배포,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-2390,의인화 로봇에 대한 과신과 감독 축소,RAI3-G-SOC-08,RAI3-P-SOC-08,P,keyword_heuristic
RAI4-2391,로봇 안전 규범의 검증 기준 공백,RAI3-G-SOC-10,RAI3-P-SOC-10,P,keyword_heuristic
RAI4-0720,편견과 과소표현으로 인한 위험,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2398,AI 관계 몰입에 따른 성장 기회 상실,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-2116,AI 대화 상대에 대한 정서적 의존,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0308,준사회적 애착을 이용한 사용자 조종,RAI3-G-SOC-08,RAI3-P-SOC-08,P,keyword_heuristic
RAI4-1154,창발적 접근 위험,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2401,AI 거래에 의한 금융시장 불안정 증폭,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-2402,AI 자원과 이익의 소수 집중,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-2403,AI 감독 체계의 실효성 상실,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0798,생태계 과부하,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2405,AI 공급망 노동 착취에 의한 불평등 고착,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2406,데이터 노동자의 노동조건 침해,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
RAI4-2407,AI를 이용한 대규모 심리 조작,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2408,추천 상호작용에 의한 편향 증폭,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0702,콘텐츠 조정 알고리즘의 편향적 억압,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0842,추천 알고리즘에 의한 온라인 양극화 심화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0871,개인화를 통한 조작,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1143,감정적 의존 악용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1397,권력과 통제를 추구하는 목표 획득,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0098,정책-실무 분리,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2418,업무 자동화에 따른 고용·임금 악화,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0514,일자리에 미치는 영향,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-2419,AI 확산 속도에 따른 사회 적응 실패,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2420,AI 자동화에 의한 노동 대체와 실업,RAI3-G-SOC-02,RAI3-P-SOC-02,P,keyword_heuristic
RAI4-0521,광범위 과업 자동화 충격,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0846,정보 신뢰 저하에 따른 집단 의사결정 약화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0847,설득 도구 확산에 의한 인식론적 분절화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1661,자본편중·시장집중·접근격차에 의한 불평등 심화,RAI3-G-SOC-03,RAI3-G-SOC-03,G,keyword_heuristic
