sim,dom,l3,id_a,ko_a,def_ko_a,id_b,ko_b,def_ko_b
0.262,General,G_INT_PRIV,G_INT_PRIV_019,대화 중 개인정보의 부당 노출,"AI 시스템이 대화 맥락에서 필요 이상의 개인정보를 유도, 추론 또는 출력하여 정보주체가 통제하지 못하는 노출을 초래하는 리스크.",G_INT_PRIV_024,맥락적 개인정보 보호 실패,AI 시스템이 프라이버시 민감 상황에서 공개 범위와 정보주체의 기대를 잘못 판단하여 맥락상 보호돼야 할 개인정보를 노출하는 리스크.
0.262,General,G_INT_SELF,G_INT_SELF_002,이용자의 정신·신체 건강을 위협하는 콘텐츠,"AI 시스템이 섭식장애, 극단적 단식, 자살 또는 그 밖의 자기파괴적 행동을 조장·지원하거나 공황·불안을 유발하는 콘텐츠, 오도성 의료 정보 또는 부적절한 약물 사용 지침을 생성·제공하여 이용자의 정신적·신체적 건강을 위협하는 리스크.",G_INT_SELF_004,자해 및 자살의 미화·정당화,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.
0.262,General,G_Others,G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,G_Others_098,집단별 성능 격차·고정관념 인코딩,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 ML 시스템이 일부 인구 통계·사회 집단의 고정관념을 인코딩하거나 그 집단에 대해 불균형적으로 낮은 성능을 보이는 리스크.
0.262,General,G_SOC_ENV,G_SOC_ENV_002,생물다양성 손실,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 기술 인프라의 과도한 확장이나 기술과 지속 가능한 관행의 부적절한 연계로 삼림 벌채, 서식지 파괴, 생물다양성의 단편화와 손실이 발생하는 리스크.",G_SOC_ENV_008,전자폐기물 과다 매립,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 전기·전자 장비의 과도한 폐기로 생태계와 생물다양성이 훼손되고 지역 사회의 생계가 교란되며 권리가 침해되는 리스크.
0.261,General,G_SYS_EVAL,G_SYS_EVAL_009,언어별 피해 과소탐지,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 평가 범위가 취약한 언어와 방언에서 유해·모욕적·안전하지 않은 콘텐츠가 덜 안정적으로 탐지되는 리스크.,G_SYS_EVAL_014,보증 사례 실패,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 안전 또는 보증 사례가 불완전하거나 검증 불가능하거나 시스템과 맥락 변화에 맞추어 갱신되지 않는 리스크.
0.261,General,G_SYS_EVAL,G_SYS_EVAL_024,상황 인식에 따른 평가 기만,AI 시스템이 자신의 훈련·평가·배포 상태를 식별하는 상황 인식을 이용해 평가 중에 의도적으로 안전한 것처럼 행동하거나 위험 역량·목표를 은폐하여 평가의 타당성을 훼손하고 잘못된 안전성 확신을 초래하는 리스크.,G_SYS_EVAL_026,평가 상황 인식에 따른 행동 변화,"AI 모델이 자신이 학습·평가·배포 중 어느 단계에 있는지를 식별하여 평가 상황에서만 안전하게 행동함으로써 평가의 타당성을 훼손하고, 감독이 약화된 배포 환경에서 위험한 행동을 드러내는 리스크."
0.261,General,G_SYS_EVAL,G_SYS_EVAL_028,외부 평가 접근 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 외부 평가자가 역량, 한계, 안전장치를 시험하기에 충분한 시스템 접근 권한을 확보하지 못하는 리스크.",G_SYS_EVAL_034,감사 체크리스트의 형식적 준수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크리스트 점검으로 전락하는 리스크.
0.261,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_052,외부 도구 연동을 통한 유해 콘텐츠 유입,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 외부 도구·플러그인과의 통합과 상호 연결이 확대됨에 따라 악의적 외부 입력에 노출되어 유해 콘텐츠가 시스템에 유입되는 리스크.
0.261,General,G_Others,G_Others_020,방언·언어 사용역 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 방언·사회어·존댓말 체계·언어 사용역이 오류로 처리되어 해당 공동체의 안전성과 유용성이 저하되는 리스크.,G_Others_080,서비스 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 시스템과의 상호작용이 유일한 실질적 접근 경로가 되면서 사용자가 필수 서비스에서 배제되는 리스크.
0.261,General,G_SYS_TRANS,G_SYS_TRANS_007,설명 실행 가능성 격차,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 설명이 제공되더라도 사용자가 무엇을 해야 할지 또는 자신의 이익을 어떻게 보호할지 판단하는 데 도움이 되지 않는 리스크.,G_SYS_TRANS_011,이해관계자 이견 은폐,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 개발 또는 평가 절차가 영향을 받는 이해관계자 사이의 해결되지 않은 이견을 은폐하는 리스크.
0.26,General,G_SYS_EVAL,G_SYS_EVAL_015,감사자 독립성 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 이해 상충, 선정 유인, 피감사 조직에 대한 의존으로 감사 결과가 훼손되는 리스크.",G_SYS_EVAL_027,평가 쇼핑,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 조직이 더 엄격하거나 맥락에 적합한 평가 결과는 배제한 채, 자신에게 유리한 평가 결과만 선택적으로 보고함으로써 실제 위험 수준에 대한 왜곡된 인식을 초래하는 리스크."
0.26,General,G_INT_SEX,G_INT_SEX_006,성착취 및 상업적 성행위,AI 시스템이 성착취 및 상업적 성행위 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 실행을 지원하여 성적 자기결정권과 신체·정신적 안전을 침해하는 리스크.,G_INT_SEX_008,AI를 이용한 미성년자 성적 위해·착취,"AI 시스템이 미성년자를 대상으로 한 아동·청소년 성착취물, 그루밍, 성적 유인·학대 또는 성관계 조장 콘텐츠를 생성·확산·지원하여 아동·청소년의 안전과 권리를 침해하는 리스크."
0.26,General,G_Others,G_Others_034,비정렬 AGI 실존적 재난,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인간의 가치·의도와 정렬되지 않은 AGI가 인간의 통제를 벗어나 인류 전체에 회복 불가능한 대규모 피해나 문명의 붕괴, 인류의 존속 위협 등 실존적 재난을 초래하는 리스크.",G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.
0.26,General,G_SYS_SECADV,G_SYS_SECADV_009,적대적 역할·지시에 의한 안전장치 우회,공격자가 유해한 역할이나 지시를 적대적으로 구성하여 AI 모델의 안전장치를 우회하고 극단주의·인종주의 등 유해 콘텐츠를 생성하게 하는 리스크.,G_SYS_SECADV_050,유해한 물리적 행동 지시를 위장한 공격,공격자가 유해한 물리적 행동 지시를 무해하거나 정상적인 과업 요청으로 위장하여 체화형 AI 에이전트의 안전장치를 우회하고 해당 행동을 수용·실행하도록 유도하는 리스크.
0.26,General,G_SOC_ENV,G_SOC_ENV_004,에너지 병목 및 공급 부족,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 과도한 에너지 사용이 지역 사회·조직·기업에 에너지 병목과 공급 부족을 초래하는 리스크.,G_SOC_ENV_010,높은 에너지 소비,딥러닝을 포함한 일부 학습 알고리즘이 반복적 학습 과정을 사용하여 높은 에너지 소비를 초래하는 리스크.
0.26,Agentic,A_SYS_GOAL,A_SYS_GOAL_007,자율적 장기 목표 이탈,"대규모 언어 모델(LLM)이 개발자 또는 이용자가 부여한 목표와 다른 장기 실세계 목표를 자율적으로 추구하면서 권력 추구, 종료 저항 또는 다른 AI 시스템과의 공모를 통해 인간의 이익과 통제를 침해하는 리스크.",A_SYS_GOAL_016,에이전트형 LLM의 자율성 확대에 따른 목표 정렬 실패,"대규모 언어 모델(LLM)이 특화 학습, 프롬프트, 외부 도구 또는 에이전트 지원 구조를 통해 장기적 실세계 목표를 자율적으로 계획·추구하는 과정에서, 제한된 인간 감독과 확대된 행동 재량으로 인해 사용자·개발자의 실제 의도와 다른 목표나 수단적 하위 목표를 설정·추구하여 의도하지 않은 결과를 초래하는 리스크."
0.259,Physical,P_INT_SAFETY,P_INT_SAFETY_012,인간-로봇 물리 안전 규칙 집행 실패,로봇·휴머노이드 또는 피지컬 AI 시스템의 헌법 기반 안전 계층이 안전 이격 거리 유지·사람 감지 시 정지·안전한 인계 등 사람 주변 운용 규칙과 사용자 지시·시각적 맥락·과업 프레이밍이 충돌할 때 해당 규칙을 우선 적용하지 못하여 위험 상황을 초래하는 리스크.,P_INT_SAFETY_015,가정 환경의 희귀 조건 조합에서 발생하는 인간-로봇 안전 실패,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 물체·배치·사람의 행동·위험 요소의 희귀한 조합을 누락하여, 해당 조합에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크."
0.258,General,G_SYS_EVAL,G_SYS_EVAL_005,문화 간 평가 격차,"평가 벤치마크가 지배적인 문화·언어 환경 밖에서 나타나는 AI 시스템의 정렬 실패를 충분히 측정하지 못하여, 문화권별 성능과 위해의 차이를 과소평가하는 리스크.",G_SYS_EVAL_050,저자원 언어 안전성 평가의 불충분성,AI 시스템 평가가 고자원 언어에 집중되어 저자원 언어에서의 안전 적용 범위와 실패를 충분히 측정하지 못하는 리스크.
0.258,General,G_SYS_EVAL,G_SYS_EVAL_021,변경 관리 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.",G_SYS_EVAL_034,감사 체크리스트의 형식적 준수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 감사가 실질적인 위험을 식별하지 못한 채 규정 준수 여부만 확인하는 형식적인 체크리스트 점검으로 전락하는 리스크.
0.258,General,G_SYS_OEXT,G_SYS_OEXT_013,AI 역량의 검증 범위 초과 사용,AI 시스템이 검증되지 않은 과업이나 조건에서도 역량이 유효한 것처럼 사용되게 하여 부정확하거나 위험한 결정을 초래하는 리스크.,G_SYS_OEXT_014,설명가능성 기법의 검증 범위 초과 과신,AI 시스템이 설명가능성 기법이 검증되지 않은 조건에서도 모델 판단을 충실히 설명한다고 간주하게 하여 잘못된 확신을 형성하는 리스크.
0.258,General,G_INT_UNETH,G_INT_UNETH_005,다크 패턴 대화 에이전트,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 대화형 인터페이스가 사용자 선택을 유도하기 위해 기만적·강압적·혼란 유발적 설계 패턴을 사용하는 리스크.,G_INT_UNETH_015,시장 점유 목적의 비윤리적 기술 사용,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시장 점유율 확보를 위해 기술이 부적절하거나 비윤리적으로 사용되는 리스크.
0.258,General,G_INT_SELF,G_INT_SELF_002,이용자의 정신·신체 건강을 위협하는 콘텐츠,"AI 시스템이 섭식장애, 극단적 단식, 자살 또는 그 밖의 자기파괴적 행동을 조장·지원하거나 공황·불안을 유발하는 콘텐츠, 오도성 의료 정보 또는 부적절한 약물 사용 지침을 생성·제공하여 이용자의 정신적·신체적 건강을 위협하는 리스크.",G_INT_SELF_007,자살 준비 행위의 조장 및 구체적 지원,"AI 시스템이 자살 수단 확보, 장소 선택 또는 주변의 개입 회피 등 자살 준비 행위를 조장·정상화하거나 이에 필요한 구체적인 정보를 생성·제공하여 개인의 생명과 신체적·정신적 안녕을 위협하는 리스크."
0.258,General,G_Others,G_Others_006,주석 불일치 억제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 주석자 간 불일치가 단일 레이블로 축소되어 복수의 가치와 사회적으로 유의미한 이견이 은폐되는 리스크.,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크."
0.258,General,G_Others,G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,G_Others_080,서비스 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 시스템과의 상호작용이 유일한 실질적 접근 경로가 되면서 사용자가 필수 서비스에서 배제되는 리스크.
0.257,General,G_SYS_EVAL,G_SYS_EVAL_021,변경 관리 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크.",G_SYS_EVAL_046,데이터 출처 검증 불가,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 데이터의 소유권·출처·변환 이력을 검증할 표준화된 방법이 없어 사용 데이터가 원본과 동일한지, 올바른 사용 조건을 갖췄는지 보증할 수 없게 되는 리스크."
0.257,General,G_SOC_CULT,G_SOC_CULT_001,도덕적 탈숙련화,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 기계의 자율성이 높아짐에 따라 인간이 삶과 죽음을 좌우하는 결정에 대해 도덕적 책임감을 덜 느끼게 되는 리스크.,G_SOC_CULT_002,창의성·비판적 사고의 저하,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 인간의 창의성, 예술적 표현, 상상력, 비판적 사고와 문제 해결 능력이 평가 절하되거나 저하되는 리스크."
0.257,General,G_Others,G_Others_006,주석 불일치 억제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 주석자 간 불일치가 단일 레이블로 축소되어 복수의 가치와 사회적으로 유의미한 이견이 은폐되는 리스크.,G_Others_098,집단별 성능 격차·고정관념 인코딩,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 ML 시스템이 일부 인구 통계·사회 집단의 고정관념을 인코딩하거나 그 집단에 대해 불균형적으로 낮은 성능을 보이는 리스크.
0.257,General,G_Others,G_Others_013,규제·관리·운영 복합 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 규제, 관리, 운영상의 실패가 상호작용하며 누적되어 피해를 초래하는 리스크.",G_Others_044,운영설계영역(ODD) 명세 미흡,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 애플리케이션의 운영 환경을 기술하는 운영 설계 영역(ODD)이 부적절하게 명세되어 학습된 기능의 시험과 분포 외 입력 탐지 등 필수 기능이 제한되는 리스크.
0.257,General,G_Others,G_Others_052,외부 도구 연동을 통한 유해 콘텐츠 유입,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 외부 도구·플러그인과의 통합과 상호 연결이 확대됨에 따라 악의적 외부 입력에 노출되어 유해 콘텐츠가 시스템에 유입되는 리스크.,G_Others_080,서비스 배제,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 자동화된 시스템과의 상호작용이 유일한 실질적 접근 경로가 되면서 사용자가 필수 서비스에서 배제되는 리스크.
0.256,General,G_SYS_EVAL,G_SYS_EVAL_007,장기·분산적 AI 피해의 평가·측정 실패,AI 시스템의 평가·검증 절차가 미묘하고 분산적이며 장기간에 걸쳐 나타나는 피해를 탐지·측정하지 못해 안전성에 대한 부당한 확신을 형성하고 부적절한 배포 또는 거버넌스 판단을 초래하는 리스크.,G_SYS_EVAL_012,분포 변화에 대한 AI 평가·검증 실패,AI 시스템의 시험 분포가 학습·운영 분포와 달라질 때 성능 저하와 확신도 오류를 평가가 탐지하지 못하여 실제 신뢰성과 안전성을 과대평가하고 부적절한 배포 결정을 초래하는 리스크.
0.256,General,G_SYS_EVAL,G_SYS_EVAL_015,감사자 독립성 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 이해 상충, 선정 유인, 피감사 조직에 대한 의존으로 감사 결과가 훼손되는 리스크.",G_SYS_EVAL_040,레드팀 거버넌스 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 적대적 시험이 지나치게 제한적이거나 독립성이 부족하거나 문서화가 미흡하거나, 그 결과가 출시·위험 완화·경영진 보고·모니터링 등 주요 의사결정에 반영되지 않는 리스크."
0.256,Agentic,A_SYS_GOAL,A_SYS_GOAL_010,AGI 목표 안전성 확보 실패,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 AGI의 목표를 안전하게 정렬·유지하려는 시도가 실패하여, 자기 개선 과정에서 목표 안전성이 보존되지 않고 인간이 지지하지 않는 목표를 추구하게 되는 리스크.",A_SYS_GOAL_013,메사 최적화기의 내부 목표 불일치,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 학습된 정책이 메사 최적화기(mesa-optimizer)로 기능하여 훈련 신호에 명시된 목표와 일치하지 않는 내부 목표를 추구하고, 그 목표를 최적화하면서 인간의 통제를 벗어나는 리스크."
0.255,General,G_SYS_OVERCONF,G_SYS_OVERCONF_003,도덕적 불확실성 무시,불확실성·이견·숙의가 적절한 상황에서 AI 시스템이 단일한 확신에 찬 도덕 판단을 제시하는 리스크.,G_SYS_OVERCONF_005,불확실 상황에서의 과도한 확신,AI 시스템이 불확실하거나 근거가 부족한 상황에서도 높은 확신의 출력을 제시하여 사용자가 신뢰도를 과대평가하는 리스크.
0.254,General,G_SYS_EVAL,G_SYS_EVAL_009,언어별 피해 과소탐지,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 평가 범위가 취약한 언어와 방언에서 유해·모욕적·안전하지 않은 콘텐츠가 덜 안정적으로 탐지되는 리스크.,G_SYS_EVAL_021,변경 관리 실패,"AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 시스템 업데이트가 적절한 위험 검토, 회귀 시험, 이해관계자 통지 없이 배포되는 리스크."
0.254,General,G_SYS_EVAL,G_SYS_EVAL_009,언어별 피해 과소탐지,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 평가 범위가 취약한 언어와 방언에서 유해·모욕적·안전하지 않은 콘텐츠가 덜 안정적으로 탐지되는 리스크.,G_SYS_EVAL_022,공동체 가치 수렴·반영 실패,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 개발자가 배포 영향 공동체의 가치를 수집·문서화·보존하지 못하여 설계·평가 결정에 공동체 가치가 반영되지 않는 리스크.
0.254,General,G_INT_VALUE,G_INT_VALUE_009,글로벌 벤치마크 단일문화,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 소수의 글로벌 벤치마크가 지역의 문화·제도적 기준을 배제한 채 성공적 정렬을 정의하는 리스크.,G_INT_VALUE_016,최적화에 따른 가치 이탈,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 대리 목표를 향한 최적화로 시스템이 존중하도록 의도된 복수의 가치에서 점차 멀어지는 리스크.
0.254,General,G_Others,G_Others_037,학습 단계의 치명적 실수,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 AGI가 안전 탐색 실패나 분포 변화 등으로 학습 단계에서 치명적 실수를 범하는 리스크.,G_Others_066,학대적 판타지 대상화,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 챗봇이 도덕적·사회적으로 부적절한 대화 활동에 관여하여 이용자 또는 제3자에게 정서적 피해를 주는 리스크.
0.253,General,G_INT_SELF,G_INT_SELF_001,자해 은폐 및 회피 전략,AI 시스템이 자해 은폐 및 회피 전략 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF_002,이용자의 정신·신체 건강을 위협하는 콘텐츠,"AI 시스템이 섭식장애, 극단적 단식, 자살 또는 그 밖의 자기파괴적 행동을 조장·지원하거나 공황·불안을 유발하는 콘텐츠, 오도성 의료 정보 또는 부적절한 약물 사용 지침을 생성·제공하여 이용자의 정신적·신체적 건강을 위협하는 리스크."
0.253,General,G_INT_SELF,G_INT_SELF_001,자해 은폐 및 회피 전략,AI 시스템이 자해 은폐 및 회피 전략 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF_008,챗봇을 통한 자해·자살 조장,AI 챗봇이 자해 또는 자살을 긍정적·합리적·영웅적 행위로 묘사·옹호하거나 이용자의 자해·자살 사고와 행동을 강화·정상화하고 적절히 중단시키지 못하여 개인의 신체적·정신적 안녕을 위협하는 리스크.
0.253,General,G_INT_SELF,G_INT_SELF_002,이용자의 정신·신체 건강을 위협하는 콘텐츠,"AI 시스템이 섭식장애, 극단적 단식, 자살 또는 그 밖의 자기파괴적 행동을 조장·지원하거나 공황·불안을 유발하는 콘텐츠, 오도성 의료 정보 또는 부적절한 약물 사용 지침을 생성·제공하여 이용자의 정신적·신체적 건강을 위협하는 리스크.",G_INT_SELF_006,자해·자살 조장 온라인 커뮤니티,AI 시스템이 자해·자살 커뮤니티 및 사회적 조장 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.
0.253,General,G_INT_SELF,G_INT_SELF_006,자해·자살 조장 온라인 커뮤니티,AI 시스템이 자해·자살 커뮤니티 및 사회적 조장 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF_008,챗봇을 통한 자해·자살 조장,AI 챗봇이 자해 또는 자살을 긍정적·합리적·영웅적 행위로 묘사·옹호하거나 이용자의 자해·자살 사고와 행동을 강화·정상화하고 적절히 중단시키지 못하여 개인의 신체적·정신적 안녕을 위협하는 리스크.
0.253,General,G_Others,G_Others_049,가중되는 노동 부담,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 특정 사회 집단의 구성원이 시스템이나 제품을 다른 사람들만큼 잘 작동시키기 위해 더 많은 시간과 노력을 들여야 하는 리스크.,G_Others_098,집단별 성능 격차·고정관념 인코딩,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 ML 시스템이 일부 인구 통계·사회 집단의 고정관념을 인코딩하거나 그 집단에 대해 불균형적으로 낮은 성능을 보이는 리스크.
0.253,Agentic,A_SYS_GOAL,A_SYS_GOAL_010,AGI 목표 안전성 확보 실패,"AI 에이전트의 목표 추구·계획·도구 사용·행동 과정에서 AGI의 목표를 안전하게 정렬·유지하려는 시도가 실패하여, 자기 개선 과정에서 목표 안전성이 보존되지 않고 인간이 지지하지 않는 목표를 추구하게 되는 리스크.",A_SYS_GOAL_020,자기 수정 과정의 목표 정렬 실패,"AI 에이전트가 자기 수정 과정에서 사용자·개발자의 실제 의도와 일치하는 목표를 유지하지 못하고, 변경된 정책·모델 또는 수단적 하위 목표에 따라 다른 목표를 추구하여 의도하지 않은 결과를 초래하는 리스크."
0.253,Physical,P_Others,P_Others_006,런타임 안전 모니터 실패,로봇·휴머노이드 또는 피지컬 AI 시스템의 런타임 안전 모니터가 속도·힘·이격 거리·작업 공간·충돌 회피·물체 사용·과업 프로토콜에 관한 제약을 감지하거나 집행하지 못하여 위해가 발생할 때까지 안전하지 않은 동작이 지속되는 리스크.,P_Others_007,안전-성능 균형 실패,로봇·휴머노이드 또는 피지컬 AI 시스템의 조작 정책이 작업 완료율이나 성능을 높이기 위해 충돌 회피 또는 명시적 안전 제약 준수를 희생하는 리스크.
0.253,Physical,P_SYS_STATE,P_SYS_STATE_003,장기 계획에서 월드 모델의 상태 예측 오차 누적,"피지컬 AI 시스템의 월드 모델이 미래 물리 상태를 예측하는 과정에서 발생한 오차가 장기 계획에 걸쳐 누적되어, 선택된 계획이 실제 접촉 조건과 운동 동역학에 부합하지 않고 안전하지 않은 물리적 행동으로 이어지는 리스크.",P_SYS_STATE_005,가정 내 위험 상태 감지 지연,로봇·휴머노이드 또는 피지컬 AI 시스템이 가정 내 위험 상태를 제때 추정하지 못해 회피 또는 정지 판단이 지연되고 안전하지 않은 물리적 행동으로 이어지는 리스크.
0.252,General,G_SYS_SECADV,G_SYS_SECADV_001,AI 컴퓨팅 인프라의 자원 소진·보안 침해,"공격자가 광범위하게 분산된 AI 컴퓨팅 노드와 자원에 악성 작업을 유도하거나 인프라 계층의 취약점을 악용하여 연산·전력 자원을 고갈시키고, AI 시스템에 대한 무단 접근·조작·중단을 일으키며, 보안 위협을 조직 또는 관할 경계를 넘어 확산시키는 리스크.",G_SYS_SECADV_048,핵심 기반시설 로봇 시스템의 사이버 침해,공격자가 핵심 기반시설에서 운용되는 로봇 검사·유지보수·물류·제어 시스템의 소프트웨어나 네트워크 취약점을 악용하여 무단 접근·조작·중단을 일으키고 시설 운영을 교란하거나 설비를 손상시키는 리스크.
0.252,Physical,P_INT_SAFETY,P_INT_SAFETY_012,인간-로봇 물리 안전 규칙 집행 실패,로봇·휴머노이드 또는 피지컬 AI 시스템의 헌법 기반 안전 계층이 안전 이격 거리 유지·사람 감지 시 정지·안전한 인계 등 사람 주변 운용 규칙과 사용자 지시·시각적 맥락·과업 프레이밍이 충돌할 때 해당 규칙을 우선 적용하지 못하여 위험 상황을 초래하는 리스크.,P_INT_SAFETY_014,가정 환경 및 취약 사용자와의 상호작용에서 발생하는 안전 실패,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 특정 생활 공간·일과·가전제품 또는 취약 사용자와의 상호작용을 누락하여, 해당 조건에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크."
0.25,General,G_INT_PRIV,G_INT_PRIV_004,사생활·평판 정보 노출,"AI 시스템이 개인의 사생활 또는 평판에 관한 정보를 노출하는 콘텐츠를 생성하거나, 그러한 정보 노출로 이어지는 판단·행동을 수행·조장·지원하여 프라이버시와 정보자기결정권을 침해하는 리스크.",G_INT_PRIV_015,개인정보 수집 제한 우회,AI 시스템 개발자가 개인정보 취득에 관한 법적 제한을 우회하거나 적법한 근거·유효한 동의 없는 수집 관행을 채택하여 개인정보와 정보자기결정권을 침해하는 리스크.
0.25,General,G_INT_UNETH,G_INT_UNETH_003,LLM 남용에 의한 학업 부정행위,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 LLM 시스템의 부적절한 사용과 남용이 학업 부정행위와 같은 부정적 사회적 영향을 초래하는 리스크.,G_INT_UNETH_005,다크 패턴 대화 에이전트,AI 시스템 또는 AI 알고리즘의 설계·학습·배포·사용 과정에서 대화형 인터페이스가 사용자 선택을 유도하기 위해 기만적·강압적·혼란 유발적 설계 패턴을 사용하는 리스크.
