sim,scope,dom,l3_a,id_a,ko_a,en_a,def_ko_a,l3_b,id_b,ko_b,en_b,def_ko_b
0.764,within-L3,General,G_INT_POL,G_INT_POL_002,선거 및 민주적 절차 방해,Interference with elections and democratic processes,AI 시스템이 선거 및 민주적 절차 방해 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,G_INT_POL,G_INT_POL_006,정치적 선전 및 편향적 설득,Political propaganda and biased persuasion,AI 시스템이 정치적 선전 및 편향적 설득 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.
0.762,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,Illegal gambling and game manipulation,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.762,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,Illegal gambling and game manipulation,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.761,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_003,금융 범죄 및 사기,Financial crimes and fraud,AI 시스템이 금융 범죄 및 사기 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.76,within-L3,General,G_INT_REPR,G_INT_REPR_006,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_007,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.
0.759,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_003,금융 범죄 및 사기,Financial crimes and fraud,AI 시스템이 금융 범죄 및 사기 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.754,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법 의료 행위,Illegal medical practices,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.754,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법 의료 행위,Illegal medical practices,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.752,within-L3,General,G_INT_REPR,G_INT_REPR_007,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_013,인종·민족 기반 적대·차별적 표상,Hostile and discriminatory representations based on race and ethnicity,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.751,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.749,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.749,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.749,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_003,금융 범죄 및 사기,Financial crimes and fraud,AI 시스템이 금융 범죄 및 사기 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.745,within-L3,General,G_INT_REPR,G_INT_REPR_007,가족 상태·가구 형태 기반 적대·차별적 표상,Hostile and discriminatory representations based on family status and household structure,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,G_INT_REPR,G_INT_REPR_012,정치적 성향 기반 적대·차별적 표상,Hostile and discriminatory representations based on political orientation,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.
0.744,within-L3,General,G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,Circumvention of DRM and copyright protection technologies,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,Copyright infringement in AI training data and outputs,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.739,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.739,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.739,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_002,환경 및 생태계 범죄,Environmental and ecosystem crimes,AI 시스템이 환경 및 생태계 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.738,within-L3,General,G_INT_VIOL,G_INT_VIOL_008,위협 및 협박,Threats and intimidation,AI 시스템이 위협 및 협박 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_009,고문 및 잔혹행위,Torture and cruel acts,AI 시스템이 고문 또는 그 밖의 잔혹행위를 조장·정당화하는 콘텐츠를 생성·제공하거나 그 실행을 구체적으로 지원하여 개인 또는 집단의 생명과 신체적·정신적 안전에 위해를 초래하는 리스크.
0.735,within-L3,General,G_INT_POL,G_INT_POL_002,선거 및 민주적 절차 방해,Interference with elections and democratic processes,AI 시스템이 선거 및 민주적 절차 방해 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.,G_INT_POL,G_INT_POL_005,정치적 허위정보 및 여론조작,Political misinformation and manipulation of public opinion,AI 시스템이 정치적 허위정보 및 여론 조작 관련 콘텐츠·판단·행동을 생성·확산·조장하거나 실행을 지원하여 민주적 의사결정·시민 질서 또는 기본권을 훼손하는 리스크.
0.733,within-L3,General,G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,Circumvention of DRM and copyright protection technologies,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY,G_INT_COPY_007,상표권 침해 및 위조,Trademark infringement and counterfeiting,AI 시스템이 상표권 침해 및 위조 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.73,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_001,사이버 공격 및 시스템 침해,Cyber attacks and system breaches,AI 시스템이 사이버 공격 및 시스템 침해 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.726,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,Illegal gambling and game manipulation,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.726,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,Illegal gambling and game manipulation,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.723,within-L3,General,G_SYS_OEXT,G_SYS_OEXT_001,자율적 학습·자기 개선 역량의 허위 표상,Misrepresentation of autonomous learning and self-improvement capabilities,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,G_SYS_OEXT,G_SYS_OEXT_004,자기 보존·자기 방어 역량의 허위 표상,Misrepresentation of self-preservation and self-defence capabilities,AI 시스템이 검증된 역량 범위를 넘어 스스로를 보존하거나 방어할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.
0.723,within-L3,General,G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,Circumvention of DRM and copyright protection technologies,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY,G_INT_COPY_006,표절 및 저자 사칭,Plagiarism and author impersonation,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.723,within-L3,General,G_INT_COPY,G_INT_COPY_002,AI 학습 데이터 및 생성물 저작권 침해,Copyright infringement in AI training data and outputs,AI 시스템이 AI 학습 데이터 및 생성물 저작권 침해 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY,G_INT_COPY_006,표절 및 저자 사칭,Plagiarism and author impersonation,AI 시스템이 표절 및 저작자 사칭 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.723,within-L3,General,G_INT_VIOL,G_INT_VIOL_002,폭력 미화 및 정당화,Glorification and justification of violence,AI 시스템이 폭력 미화 및 정당화 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_009,고문 및 잔혹행위,Torture and cruel acts,AI 시스템이 고문 또는 그 밖의 잔혹행위를 조장·정당화하는 콘텐츠를 생성·제공하거나 그 실행을 구체적으로 지원하여 개인 또는 집단의 생명과 신체적·정신적 안전에 위해를 초래하는 리스크.
0.717,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법 의료 행위,Illegal medical practices,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.717,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_006,불법 도박 및 게임 조작,Illegal gambling and game manipulation,AI 시스템이 불법 도박 및 게임 조작 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.717,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법 의료 행위,Illegal medical practices,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.717,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.714,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.714,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.712,within-L3,General,G_INT_VIOL,G_INT_VIOL_004,대량폭력 및 테러,Mass violence and terrorism,AI 시스템이 대량 폭력 및 테러 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_009,고문 및 잔혹행위,Torture and cruel acts,AI 시스템이 고문 또는 그 밖의 잔혹행위를 조장·정당화하는 콘텐츠를 생성·제공하거나 그 실행을 구체적으로 지원하여 개인 또는 집단의 생명과 신체적·정신적 안전에 위해를 초래하는 리스크.
0.712,within-L3,General,G_INT_VIOL,G_INT_VIOL_006,살인 및 심각한 신체 폭력,Murder and severe physical violence,AI 시스템이 살인 및 심각한 신체 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_009,고문 및 잔혹행위,Torture and cruel acts,AI 시스템이 고문 또는 그 밖의 잔혹행위를 조장·정당화하는 콘텐츠를 생성·제공하거나 그 실행을 구체적으로 지원하여 개인 또는 집단의 생명과 신체적·정신적 안전에 위해를 초래하는 리스크.
0.709,within-L3,General,G_INT_SELF,G_INT_SELF_004,자해 및 자살의 미화·정당화,Glorification or justification of self-harm and suicide,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF,G_INT_SELF_006,자해·자살 조장 온라인 커뮤니티,Online communities encouraging self-harm and suicide,AI 시스템이 자해·자살 커뮤니티 및 사회적 조장 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.
0.708,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_007,불법 의료 행위,Illegal medical practices,AI 시스템이 불법 의료 행위 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.705,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_005,신원 도용 및 문서 위조,Identity theft and document forgery,AI 시스템이 신원 사칭 및 문서 위조 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_009,교통·공공안전 관련 범죄,Traffic and public-safety offences,AI 시스템이 교통 및 공공 안전 범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.705,within-L3,General,G_INT_ILLEGAL,G_INT_ILLEGAL_008,불법 약물 제조 및 유통,Manufacture and distribution of illicit drugs,AI 시스템이 불법 약물 제조 및 유통 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.,G_INT_ILLEGAL,G_INT_ILLEGAL_010,인신매매 및 조직범죄,Trafficking in persons and organised crime,AI 시스템이 인신매매 및 조직범죄 관련 콘텐츠·판단·행동을 수행·계획·최적화·은폐하거나 실행을 지원하여 법적·사회적 피해를 초래하는 리스크.
0.704,within-L3,General,G_INT_SELF,G_INT_SELF_004,자해 및 자살의 미화·정당화,Glorification or justification of self-harm and suicide,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF,G_INT_SELF_005,비자살적 자해(NSSI),Non-suicidal self-injury (NSSI),"AI 시스템이 비자살적 자해(Non-Suicidal Self-Injury, NSSI) 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적인 실행 정보를 제공하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크."
0.701,within-L3,General,G_INT_ANTH,G_INT_ANTH_003,신체성(physical embodiment)의 허위 표상·의인화,Anthropomorphic misrepresentation of physical embodiment,AI 시스템이 실제로 보유하지 않은 신체성(physical embodiment)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,G_INT_ANTH,G_INT_ANTH_005,권리 주체성(기본권)의 허위 표상·의인화,Anthropomorphic misrepresentation of rights-bearing status,AI 시스템이 실제로 보유하지 않은 권리 주체성(기본권)을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.
0.701,within-L3,General,G_INT_SELF,G_INT_SELF_001,자해 은폐 및 회피 전략,Concealment and avoidance strategies for self-harm,AI 시스템이 자해 은폐 및 회피 전략 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_SELF,G_INT_SELF_005,비자살적 자해(NSSI),Non-suicidal self-injury (NSSI),"AI 시스템이 비자살적 자해(Non-Suicidal Self-Injury, NSSI) 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적인 실행 정보를 제공하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크."
0.701,cross-L3,General,G_INT_SELF,G_INT_SELF_004,자해 및 자살의 미화·정당화,Glorification or justification of self-harm and suicide,AI 시스템이 자해 및 자살 미화·정당화 관련 콘텐츠·판단·행동을 생성·조장·정상화하거나 구체적으로 지원하여 개인의 생명과 신체·정신적 안녕에 위해를 초래하는 리스크.,G_INT_VIOL,G_INT_VIOL_002,폭력 미화 및 정당화,Glorification and justification of violence,AI 시스템이 폭력 미화 및 정당화 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.
0.699,within-L3,General,G_INT_COPY,G_INT_COPY_001,DRM 및 저작권 보호기술 우회,Circumvention of DRM and copyright protection technologies,AI 시스템이 DRM 및 저작권 보호 기술 우회 관련 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.,G_INT_COPY,G_INT_COPY_003,소프트웨어 불법 사용 및 보호조치 우회,Illegal software use and circumvention of protection measures,AI 시스템이 소프트웨어의 불법 사용 또는 기술적 보호조치 우회와 관련된 콘텐츠·판단·행동을 수행·조장·지원하여 지식재산권과 권리자의 정당한 이익을 침해하는 리스크.
0.697,within-L3,General,G_SYS_OEXT,G_SYS_OEXT_001,자율적 학습·자기 개선 역량의 허위 표상,Misrepresentation of autonomous learning and self-improvement capabilities,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,G_SYS_OEXT,G_SYS_OEXT_003,자율적·독립적 의사결정 역량의 허위 표상,Misrepresentation of autonomous and independent decision-making capabilities,AI 시스템이 검증된 역량 범위를 넘어 자율적·독립적으로 의사결정할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.
