Register_ID,판정,반영결과_요약,소실사항
HR2-0778,PARTIAL,'(유지)' 의견은 반영되었으나 최종 카드(CONTROL_036)는 원 제목의 '열·전력 쓰로틀링' 기제 대신 '연산·메모리 고갈'로 정의가 대체되어 열·전력이라는 구체적 기제가 소실됨(기존 지적과 일치).,부하 시 발열·전력 제한이라는 구체적 물리적 기제가 최종 정의에서 연산·메모리 자원 고갈로 치환되어 소실됨
HR2-0779,APPLIED,'(유지)' 의견대로 GOV_039 카드가 원형 유지됨.,
HR2-0780,APPLIED,'(유지)' 의견대로 CONTROL_046 카드가 원형 유지됨.,
HR2-0781,APPLIED,'(유지)' 의견대로 CONTROL_047 카드가 원형 유지됨.,
HR2-0782,APPLIED,'(유지)' 의견대로 PRIV_031 카드가 원형 유지됨.,
HR2-0783,APPLIED,'(유지)' 의견대로 CONTROL_025에 흡수되어 원격조작 시연 학습 취지 유지됨.,
HR2-0784,APPLIED,'(유지)' 의견대로 CONTROL_050 카드가 원형 유지됨.,
HR2-0785,APPLIED,'(유지)' 의견대로 CONTROL_052 카드가 원형 유지됨.,
HR2-0786,APPLIED,'(유지)' 의견대로 CONTROL_006에 흡수되어 형태 간 기술 전이 취지 유지됨.,
HR2-0787,APPLIED,'(유지)' 의견대로 CONTROL_054 카드가 원형 유지됨.,
HR2-0788,APPLIED,'(유지)' 의견대로 CONTROL_055 카드가 원형 유지됨.,
HR2-0789,APPLIED,'(유지)' 의견대로 CONTROL_056 카드가 원형 유지됨.,
HR2-0790,APPLIED,'(유지)' 의견대로 CONTROL_055에 흡수되어 시뮬-현실 보행 불안정 취지 유지됨.,
HR2-0791,APPLIED,'(유지)' 의견대로 HARDWARE_003 카드가 원형 유지됨.,
HR2-0792,APPLIED,'(유지)' 의견대로 HARDWARE_002 카드가 원형 유지됨.,
HR2-0793,APPLIED,'(유지)' 의견대로 EVAL_031 카드가 원형 유지됨.,
HR2-0794,APPLIED,'(유지)' 의견대로 CONTROL_036 카드가 원형 유지됨.,
HR2-0795,APPLIED,'(유지)' 의견대로 EVAL_051 카드가 원형 유지됨.,
HR2-0796,APPLIED,'(jw) 제거' 의견대로 실제 DELETE 처리되어 반영됨.,
HR2-0797,APPLIED,'(유지)' 의견대로 STATE_001 카드가 원형 유지됨.,
HR2-0798,APPLIED,'(유지)' 의견대로 STATE_003 카드가 원형 유지됨.,
HR2-0799,APPLIED,"'General 영역 이동, 적합한 L3 매핑' 의견대로 GOV_009(거버넌스)로 이관 반영됨.",
HR2-0800,APPLIED,'(유지)' 의견대로 STATE_004 카드가 원형 유지됨.,
HR2-0801,APPLIED,'(유지)' 의견대로 STATE_005 카드가 원형 유지됨.,
HR2-0802,APPLIED,'(유지)' 의견대로 PRIV_018 카드가 원형 유지됨.,
HR2-0803,APPLIED,'(유지)' 의견대로 STATE_006 카드가 원형 유지됨.,
HR2-0804,APPLIED,'(유지)' 의견대로 STATE_007 카드가 원형 유지됨.,
HR2-0805,APPLIED,'(유지)' 의견대로 STATE_008 카드가 원형 유지됨.,
HR2-0806,APPLIED,'(유지)' 의견대로 STATE_009 카드가 원형 유지됨.,
HR2-0807,APPLIED,'(유지)' 의견대로 STATE_010 카드가 원형 유지됨.,
HR2-0808,APPLIED,'(유지)' 의견대로 STATE_001에 흡수되어 장기 예측 편차 누적 취지 유지됨.,
