Register_ID,판정,반영결과_요약,누락사항
HR2-0740,APPLIED,G_SYS_EVAL_044(배포 전 물리적 안전 시험 미흡)로 이관됨(지정한 물리 안전 L3 대신 평가·보증 L3 채택).,
HR2-0741,APPLIED,의견대로 P_INT_SAFETY_018(시연 학습의 안전 맥락 누락)로 이관됨.,
HR2-0742,APPLIED,의견대로 P_SYS_CONTROL_034(네트워크 분리와 군집 비동기화)로 이관됨.,
HR2-0743,APPLIED,의견대로 P_INT_SAFETY_019(공공 공간 통행 방해·접근성 배제)로 이관됨.,
HR2-0744,APPLIED,의견대로 P_SYS_CONTROL_043(안전-성능 균형 실패)로 이관됨.,
HR2-0745,APPLIED,의견대로 P_INT_SAFETY_015(시뮬레이션-실세계 전이 과정의 인간-로봇 안전 실패)로 이관됨.,
HR2-0746,APPLIED,의견대로 P_INT_SAFETY_022(피지컬 AI 기반 직장 감시)로 이관됨.,
HR2-0747,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_058(적대적 감각 교란에 따른 안전하지 않은 행동)로 존치됨.,
HR2-0748,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_001(알고리즘 설계 실패)로 존치됨.,
HR2-0749,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_003(제어 판단·제어권 전환 실패에 따른 자율주행 충돌)로 존치됨.,
HR2-0750,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_004(자율 로봇의 물리적 침입·절도)로 존치됨.,
HR2-0751,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_SECADV_011(백도어 트리거에 의한 위험한 로봇 행동)로 존치됨.,
HR2-0752,APPLIED,의견대로 P_INT_SAFETY_002(아동의 과신·모방에 따른 위험한 로봇 상호작용)로 이관됨.,
HR2-0753,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_007(통신 단절 및 제어 링크 손실)로 존치됨.,
HR2-0754,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_040(실시간 지연 및 동기화 실패)로 존치됨.,
HR2-0755,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_006(명령의 구현체별 하드웨어 한계 초과)로 존치됨.,
HR2-0756,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_024(휴머노이드 힘 한계 초과)로 존치됨.,
HR2-0757,APPLIED,의견대로 G_SOC_ECON_002(전환 지원 없는 물리 노동 대체)로 이관됨.,
HR2-0758,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_015(엔드 이펙터 속도 초과)로 존치됨.,
HR2-0759,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_018(정밀 운동 제어 불안정성)로 존치됨.,
HR2-0760,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_019(금지 대상 충돌)로 존치됨.,
HR2-0761,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_024(휴머노이드 힘 한계 초과)로 존치됨.,
HR2-0762,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_006(명령의 구현체별 하드웨어 한계 초과)로 존치됨.,
HR2-0763,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_022(언어·행동 출력 불일치에 따른 유해 물리적 행동)로 존치됨.,
HR2-0764,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_024(휴머노이드 힘 한계 초과)로 존치됨.,
HR2-0765,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)로 존치됨.,
HR2-0766,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_038(로봇 오작동에 의한 물리적 상해)로 존치됨.,
HR2-0767,APPLIED,의견대로 G_SOC_GOV_026(로봇 거버넌스 명세의 안전 규칙 누락)로 이관됨.,
HR2-0768,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_033(동작 재매핑의 안전 실패)로 존치됨.,
HR2-0769,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_035(보조 로봇의 비동의 신체 개입)로 존치됨.,
HR2-0770,APPLIED,의견대로 G_SYS_EVAL_058(인지·추론 지연의 급증)로 이관됨.,
HR2-0771,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_038(로봇 오작동에 의한 물리적 상해)로 존치됨.,
HR2-0772,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_039(조기 물체 해제)로 존치됨.,
HR2-0773,APPLIED,유지 의견대로 내용이 보존되어 G_INT_PRIV_024(친밀 공간 로봇의 프라이버시 침해적 정보 수집)로 존치됨.,
HR2-0774,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_040(실시간 지연 및 동기화 실패)로 존치됨.,
HR2-0775,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_040(실시간 지연 및 동기화 실패)로 존치됨.,
HR2-0776,APPLIED,유지 의견대로 내용이 보존되어 P_INT_SAFETY_020(취약 사용자 특성에 맞지 않는 안전 한계)로 존치됨.,
HR2-0777,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_044(원격 조작 휴머노이드의 자율 안전 우선 제어 실패)로 존치됨.,
HR2-0778,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_036(온디바이스 연산·메모리 고갈)로 존치됨.,
HR2-0779,APPLIED,유지 의견대로 내용이 보존되어 G_SOC_GOV_039(물리적 위해 완화 책임 미지정)로 존치됨.,
HR2-0780,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_046(가정 조작의 단계별 오차 미수정)로 존치됨.,
HR2-0781,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_047(휴머노이드 조작 데이터셋에서의 오픈 월드 조건 과소대표)로 존치됨.,
HR2-0782,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_048(이동형 로봇 감시를 통한 일방적 작업장 통제)로 존치됨.,
HR2-0783,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_025(의도·어포던스 오해에 따른 휴머노이드 모방 제어 실패)로 존치됨.,
HR2-0784,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_050(이동형 양팔 로봇의 안전하지 않은 조작)로 존치됨.,
HR2-0785,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_052(위험한 로봇 작업 계획에 따른 물리 제어 실패)로 존치됨.,
HR2-0786,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_006(명령의 구현체별 하드웨어 한계 초과)로 존치됨.,
HR2-0787,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_054(안전하지 않은 궤적 생성)로 존치됨.,
HR2-0788,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_055(배포 조건 간 휴머노이드 행동 불안정)로 존치됨.,
HR2-0789,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_056(VLA 조작 제약 위반)로 존치됨.,
HR2-0790,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_055(배포 조건 간 휴머노이드 행동 불안정)로 존치됨.,
HR2-0791,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_HARDWARE_003(하드웨어 결함에 따른 의도하지 않은 동작 변화)로 존치됨.,
HR2-0792,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_HARDWARE_002(하드웨어 결함에 의한 실행 오류)로 존치됨.,
HR2-0793,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_EVAL_031(배포 후 변경에 대한 안전 재평가 실패)로 존치됨.,
HR2-0794,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_CONTROL_036(온디바이스 연산·메모리 고갈)로 존치됨.,
HR2-0795,APPLIED,유지 의견대로 내용이 보존되어 G_SYS_EVAL_051(미세조정에 따른 모델 안전성 열화)로 존치됨.,
HR2-0796,APPLIED,의견대로 삭제되어 최종 분류에서 제외됨.,
HR2-0797,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_001(장기 계획에서 월드 모델의 상태 예측 오차 누적)로 존치됨.,
HR2-0798,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_003(접촉 집약적 조작에서의 힘 감지 실패)로 존치됨.,
HR2-0799,APPLIED,의견대로 G_SOC_GOV_009(피지컬 AI 사고 보고·조사 미흡)로 이관됨.,
HR2-0800,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_004(가정 내 위험 상태 감지 지연)로 존치됨.,
HR2-0801,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_005(분포 이탈 입력에서의 월드 모델 오출력 악용)로 존치됨.,
HR2-0802,APPLIED,유지 의견대로 내용이 보존되어 G_INT_PRIV_018(피지컬 AI의 사적 공간 침해와 지속적 민감정보 수집)로 존치됨.,
HR2-0803,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_006(위치 추정 누적 오차)로 존치됨.,
HR2-0804,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_007(잠재 상태 압축에 따른 안전 임계 정보 손실)로 존치됨.,
HR2-0805,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_008(다중 센서 융합 상충)로 존치됨.,
HR2-0806,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_009(가림에 의한 충돌)로 존치됨.,
HR2-0807,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_010(적대적 학습의 강건 과적합)로 존치됨.,
HR2-0808,APPLIED,유지 의견대로 내용이 보존되어 P_SYS_STATE_001(장기 계획에서 월드 모델의 상태 예측 오차 누적)로 존치됨.,
