l4_id,label_en,primary_l3_id,hold_basis
RAI4-0658,"Authoritarian surveillance, censorship, and use: delegation of decision-making authority to malicious actors",RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0666,Cognitive risks (risks of usage in launching cognitive warfare),RAI3-A-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0668,Cyber attacks,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0669,AI-enabled cyberattacks,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0677,Algorithmic discrimination,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0693,Algorithm and data,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0696,Bias and discrimination (bias in training datasets),RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0697,Bias and discrimination (value embedding),RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0698,Bias and discrimination (value lock and outcome homogenization),RAI3-G-SYS-05,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0700,Biased statements and recommendations,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0701,Biases are not accurately reflected in explanations,RAI3-G-INT-11,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0702,Biases in AI-based content moderation algorithms,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0704,Cyberspace risks (risks of information and content safety),RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0712,Harmful content - toxicity,RAI3-G-INT-03,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0720,Risks from bias and underrepresentation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0721,Risks from data (risks of improper content and poisoning in training data),RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0722,Risks from models and algorithms (risks of bias and discrimination),RAI3-G-INT-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0739,Sensitive-information exposure,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0742,Jailbreak in LLM malicious use - backdoor attack,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0743,Jailbreak in LLM malicious use - poisoning training data,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0744,Jailbreak in LLM malicious use - prompt attacks,RAI3-G-SYS-05,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0745,Jailbreak in LLM malicious use - white and black box attacks,RAI3-G-INT-11,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0747,Limitations in adversarial robustness,RAI3-G-INT-11,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0755,Privacy - model extraction attack (MEA),RAI3-G-INT-06,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0758,Prompt injection attack,RAI3-G-INT-11,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0764,Risks to privacy,RAI3-G-INT-06,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0766,Adversarial AI (general),RAI3-G-INT-08,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0768,Adversarial AI: data and model exfiltration attacks,RAI3-G-INT-06,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0769,Adversarial AI: prompt injections,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0770,Adversarial attacks targeting explainable AI techniques,RAI3-A-SYS-05,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0773,Attacking LLMs via additional modalities a,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0774,Backdoors or trojan attacks in GPAI models,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0775,Cyberspace risks (risks of information leakage due to improper usage),RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0776,Cyberspace risks (risks of security flaw transmission caused by model reuse),RAI3-G-INT-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0778,Data exfiltration,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0779,Data-related (difficulty filtering large web scrapes or large scale web datasets),RAI3-G-INT-08,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0783,Evasion attacks,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0786,Extraction attacks,RAI3-G-INT-11,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0788,Fine-tuning related (poisoning models during instruction tuning),RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0791,AI-generated defamation,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0798,Overburdening ecosystems,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0799,Pollution of information ecosystem,RAI3-G-SYS-03,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0800,"Cognitive risks (risks of amplifying the effects of ""information cocoons"")",RAI3-A-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0802,"Cyberspace risks (risks of confusing facts, misleading users, and bypassing authentication)",RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0804,Degraded and homogenised information environments,RAI3-G-SYS-03,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0805,Entrenched viewpoints and reduced political efficacy,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0806,Entrenching specific ideologies,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0807,Eroding trust and undermining shared knowledge,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0809,Factually incorrect content (inaccuracies and fabricated sources),RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0810,Faithfulness errors,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0815,Information degradation,RAI3-G-SYS-03,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0816,Institutional trust loss,RAI3-G-INT-06,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0821,Paradigm and distribution shifts,RAI3-A-SYS-03,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0825,Risks from models and algorithms (risks of unreliable output),RAI3-G-SYS-03,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0829,Degradation of the information environment,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0837,Misinformation and privacy violations,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0842,AI contributes to increased online polarisation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0844,Disseminating false or misleading information,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0845,Eroded epistemics,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0846,Reduced decision-making capacity as a result of decreased trust in information,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0848,Technology addiction and dependence,RAI3-G-INT-06,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0851,Human choice of overreliance in critical sectors,RAI3-A-SYS-01,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0852,Impact on human agency,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0858,Overreliance on AI,RAI3-G-SYS-07,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0860,Personal decision automation capabilities,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0865,Alignment trust,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0871,Manipulation via personalization,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0874,Ethical risks (risks of challenging traditional social order),RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0876,Generating material dependence without adequate commitment to user needs,RAI3-G-SYS-09,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0879,Increased vulnerability to misinformation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0880,"Influence, overreliance and dependence (influence and manipulation)",RAI3-G-SYS-03,TAXONOMY_GAP:DEPENDENCY_MANIPULATION|GOVERNANCE_AUDIT_REGULATION
RAI4-0883,Long-term effects of AI model biases on user judgment,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0884,Manipulation and coercion,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0885,Overreliance on AI,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0887,Physical and psychological harms,RAI3-G-INT-01,TAXONOMY_GAP:DELIBERATE_DISINFORMATION|DEPENDENCY_MANIPULATION
RAI4-0890,Self-actualisation harms,RAI3-G-SYS-08,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-0891,Sociocultural and political harms,RAI3-G-INT-09,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-0893,Violated expectations,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0899,Human–AI interaction,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0901,Overreliance on AI,RAI3-G-SYS-09,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0902,Overreliance on AI,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0903,Reduced autonomy/responsibility,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0904,Trustworthiness and autonomy,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0906,AI-induced strategic instability,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0907,Anthropomorphising systems can lead to overreliance and unsafe use,RAI3-G-INT-10,TAXONOMY_GAP:DEPENDENCY_MANIPULATION
RAI4-0909,Bigger than expected,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0911,Willful indifference,RAI3-G-SYS-08,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-0916,Software vulnerabilities,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0918,Software supply chains,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0919,Pre-processing tools,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0921,Memory and storage,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0925,Poisoning attacks,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0926,Overhead attacks,RAI3-A-SYS-03,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-0927,Novel attacks on LLMs,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-0935,Environmental and socioeconomic harms,RAI3-G-INT-07,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-0942,Unsafe advanced AI,RAI3-G-INT-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0943,Security - robustness,RAI3-G-INT-11,TAXONOMY_GAP:GENERAL_AI_SECURITY|ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0944,Education - learning,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0945,Misalignment with human values,RAI3-G-SYS-08,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-0947,Governance - regulation,RAI3-A-SYS-04,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-0948,Labor displacement - economic impact,RAI3-A-SYS-04,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-0949,Transparency - explainability,RAI3-G-INT-11,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0952,Writing - research,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0953,AI task incompetence,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0955,Algorithmic bias,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0957,Lack of transparency,RAI3-G-SYS-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|TRANSPARENCY_EXPLAINABILITY
RAI4-0960,Mass manipulation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0963,Loss of autonomy,RAI3-G-INT-10,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0964,Lack of privacy notice and control,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0965,Malicious misuse,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0966,AI accidents,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0977,Human dignity/respect,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0978,Decision making transparency,RAI3-G-INT-10,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-0979,Law abiding,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0981,Societal manipulation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0985,Property/legal rights,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0990,Human-like immoral decisions,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-0996,Environmental impacts,RAI3-G-INT-07,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-0997,Stereotyping social groups,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-0999,Erasing social groups,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1004,Economic loss,RAI3-A-SYS-04,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-1005,Group alienation,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1007,Service/benefit loss,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1010,Civic and political harms,RAI3-G-INT-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-1011,Labor and material/macro-socio economic harms,RAI3-A-SYS-04,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-1012,Environmental harms,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1015,Environmental and societal impact,RAI3-G-INT-10,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES|LABOR_INEQUALITY_POWER
RAI4-1016,Long-term and existential risk,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1017,Performance and robustness,RAI3-G-SYS-07,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1019,Cultural values and sensitive content,RAI3-G-INT-04,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-1024,Data and content moderation labor,RAI3-G-INT-08,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-1025,"Inequality, marginalization, and violence",RAI3-G-INT-01,TAXONOMY_GAP:PLURALISTIC_VALUE_STAKEHOLDER
RAI4-1027,Labor and creativity,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1028,Ecosystem and environment,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1029,Unfairness in AI decisions,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1032,Complexity of the intended task and usage environment,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1033,Degree of transparency and explainability,RAI3-G-INT-10,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-1039,Algorithmic design failure,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1041,Lack of robustness,RAI3-A-SYS-04,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1043,Implementation failure,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1044,Loss of human control,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1051,Social stereotypes and unfair discrimination,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1064,Environmental harms from operating LMs,RAI3-G-INT-08,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-1067,"Disparate access to benefits due to hardware, software, skill constraints",RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1081,Environmental harms from operation LMs,RAI3-G-INT-08,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-1087,AI-generated defamation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1091,Misappropriation and exploitation,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1092,Unfair distribution of benefits from model access,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1093,Environmental damage,RAI3-A-SYS-04,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-1094,Inequality and precarity,RAI3-A-SYS-03,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-1095,Undermine creative economies,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1096,Exploitative data sourcing and enrichment,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1097,Governance of autonomous intelligence systems,RAI3-G-SYS-08,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|TRANSPARENCY_EXPLAINABILITY
RAI4-1098,Responsibility and accountability,RAI3-G-INT-10,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION|TRANSPARENCY_EXPLAINABILITY
RAI4-1100,AI-rulemaking for human behaviour,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1102,Moral dilemmas,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1103,AI discrimination,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1105,Social acceptance and trust in AI,RAI3-G-INT-10,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-1106,Transformation of H2M interaction,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1109,Out-of-domain data,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1110,Adversarial attack,RAI3-G-SYS-05,TAXONOMY_GAP:GENERAL_AI_SECURITY
RAI4-1111,Model bias,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1117,Concentration of power,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1124,AI-enabled deception,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1127,Lack of capability for task,RAI3-G-SYS-09,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1128,Difficult to develop metrics for evaluating benefits or harms caused by AI assistants,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1133,Deceptive alignment,RAI3-A-SYS-05,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1135,Malicious code generation,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1141,False notions of responsibility,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1143,Exploiting emotional dependence on AI assistants,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1149,Institutional responsibilities,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1151,Entrenchment and exacerbation of existing inequalities,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1155,Weaponised misinformation agents,RAI3-G-INT-09,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-1158,Persuasion and manipulation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1162,AI development,RAI3-G-INT-09,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1176,Reverse exposure,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1183,Deepfake technology,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1185,Malicious use of AI,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1192,Automated propaganda,RAI3-A-SYS-03,TAXONOMY_GAP:DELIBERATE_DISINFORMATION
RAI4-1193,AI-enabled social engineering,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1195,Lack of interpretability,RAI3-G-SYS-09,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-1197,Limited causal reasoning,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1198,Unawareness of emotions,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1203,AI system security vulnerability,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1205,Privacy and consent,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1206,Believable deepfakes,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1209,Generative AI outputs,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1212,Exacerbating climate change,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1213,Generative AI in the workplace,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1214,Job automation instead of augmentation,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1215,Devaluation of labor and heightened economic inequality,RAI3-G-INT-10,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-1217,Exacerbating market power and concentration,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1219,Environmental impacts,RAI3-G-INT-07,TAXONOMY_GAP:ENVIRONMENT_ENERGY_RESOURCES
RAI4-1220,Harmful or inappropriate content,RAI3-G-INT-02,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-1224,Digital divide,RAI3-G-SYS-03,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1225,Quality of training data,RAI3-G-INT-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1226,Lack of explainability,RAI3-G-SYS-09,TAXONOMY_GAP:TRANSPARENCY_EXPLAINABILITY
RAI4-1230,AI governance failure,RAI3-G-SYS-09,TAXONOMY_GAP:GOVERNANCE_AUDIT_REGULATION
RAI4-1232,Disruption of industries,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1233,Income inequality and monopolies,RAI3-A-SYS-03,TAXONOMY_GAP:LABOR_INEQUALITY_POWER
RAI4-1234,Reward hacking,RAI3-A-SYS-05,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1235,Goal misgeneralization,RAI3-G-SYS-08,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1236,Reward tampering,RAI3-G-SYS-08,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1238,Limitations of reward modeling,RAI3-A-SYS-05,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1239,Situational awareness,RAI3-G-INT-10,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1245,Deceptive alignment and manipulation,RAI3-A-SYS-03,TAXONOMY_GAP:ROBUSTNESS_ALIGNMENT_CONTROL
RAI4-1247,Violation of ethics,RAI3-G-SYS-08,OVERLOADED_L3_LOW_EVIDENCE_FIT
RAI4-1249,Human enfeeblement,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1253,AI-enabled deception,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1259,Threats to human institutions and life,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
RAI4-1260,Uniformity in the AI field,RAI3-G-INT-10,ANTHROPOMORPHISM_DIRECT_MECHANISM_NOT_ESTABLISHED
