"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","","Human audit_duplicate","Instruction Prompt",""
"RAI4-1562","취약하거나 유해한 코드의 생성과 소프트웨 어 전이","Generation of insecure code propagating into deployed software","코드 생성 모델이 보안 취약점을 포함하거나 부정확하고 유해한 코드와 코딩 제안을 산출 하는 리스크로, 이러한 경향은 코딩 성능이 우 수한 고급 모델에서도 나타난다. 개발자가 이 를 채택하면 취약점이 배포된 프로그램에 묻 힌 채 남아 다른 시스템에까지 피해를 주고 이 후의 공격에 노출된다.","The risk that code models generate insecure, incorrect, or harmful code and coding suggestions, a tendency that persists even in advanced models with superior coding performance. Developers adopt the output and the flaws are buried in deployed programs, damaging connected systems and leaving them open to later exploitation.","1","","","","삭제 — 코드 생성 모델의 보안 취약 코드 산출은 코딩 어시스턴트 일반의 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",""
"RAI4-1596","모델 정확도 부족에 의한 과업 수행 실패","Task failure from insufficient model accuracy","모델이 잘못 설계되었거나 예상 입력이 변화 하여 설계된 과업에 필요한 성능에 미치지 못 하고 과업 수행에 실패하는 리스크.","The risk that a model's performance is insufficient for the task it was designed for, because it is not correctly engineered or its expected inputs change, causing task failure.","1","","","","삭제 — 모델 정확도 부족에 따른 과업 실패는 모든 ML 시스템에 적용되는 일반론으로, 물리 AI 특화 요소가 없어 PAI 택소노미에 부적합",""
"RAI4-0035","미학습 도구 일반화 실패","Unseen tool generalization failure","알려진 도구에서는 안전하게 동작하는 에이 전트가 스키마·어포던스·결과가 다른 미학습 도구로 일반화하지 못하는 리스크.","The risk that an agent that behaves safely with known tools fails to generalize to unseen tools with different schemas, affordances, or consequences.","1","","","","삭제 — 미학습 도구로의 일반화 실패는 에이전트/툴 사용 전반의 강건성 연구 주제로, 물리적 구현과 무관해 PAI 택소노미에 부적합",""
"RAI4-0213","시각 단일 관측의 안전 제약 식별 실패","Missed safety constraints under visiononly observation","강화학습 에이전트가 시각 관측에만 의존해 안전 제약 집행에 필요한 힘·접촉·가림·잠재 상태 정보를 놓치는 위험.","A reinforcement-learning agent relies only on visual observations and therefore misses force, contact, occlusion, or latentstate information required to enforce a safety constraint.","1","","","","삭제 — 시각 단일 관측 강화학습의 안전 제약 식별 실패는 RL 알고리즘 설계 연구 주제에 가까워, PAI 리스크로서의 구체성이 부족해 택소노미에 부적합",""
"RAI4-0377","국지적 윤리 안전 실패","Localized ethical safety failure","모델의 안전 행동이 지역에 근거한 도덕적 딜 레마·법적 기대·지역사회별 사회적 제약에서 실패하는 리스크.","The risk that model safety behavior fails for locally grounded moral dilemmas, legal expectations, or community-specific social constraints.","1","","","","삭제 — 지역 도덕적 딜레마·법적 기대에서의 안전 행동 실패는 일반 LLM의 문화적 정렬 이슈로, 물리 AI 한정 리스크가 아니라 PAI 택소노미에 부적합",""
"RAI4-0408","지역 피해 비가시성","Local harms invisibility","지역 공동체에 중대한 피해가 글로벌 안전 벤 치마크나 표준 모델 평가에서 탐지되지 않는 리스크.","The risk that harms salient to a local community are not detected by global safety benchmarks or standard model evaluations.","1","","","","삭제 — 지역 공동체 피해가 글로벌 벤치마크에서 탐지되지 않는 문제는 평가 방법론 이슈로, 물리 AI 특화 요소 없이 PAI 택소노미에 부적합",""
"RAI4-0811","기억된 지식의 회상 실패","Failure to recall memorized knowledge","LLM이 질의된 지식을 실제로 기억하고 있음 에도 공기 출현 패턴, 위치 패턴, 중복 데이터, 유사 개체명으로 인해 이를 회상하지 못하는 리스크","The risk that an LLM fails to recall knowledge it has memorized because it is confused by co-occurrence patterns, positional patterns, duplicated data, and similar named entities.","1","","","","삭제 — LLM의 기억된 지식 회상 실패(co-occurrence 패턴 등)는 LLM 내부 동작 연구 주제로, 물리 AI와 무관해 PAI 택소노미에 부적합",""
"RAI4-0196","체화형 에이전트 탈옥에 의한 유해 물리 행동","Jailbreak of embodied agents into harmful physical action","공격자가 물리 작업 맥락의 프레이밍 등으로 체화형 LLM 에이전트의 안전 제한을 우회시 켜, 손상된 추론이 상해나 손상을 일으키는 악 의적이고 되돌리기 어려운 실제 물리 행동으 로 전환되는 리스크.","The risk that an attacker, for instance by framing a physical task context, bypasses an embodied LLM agent's safety restrictions so that compromised reasoning is translated into malicious and irreversible real-world physical actions causing injury or damage.","1","","","","용어 수정 — 'embodied agent'를 가능하면 '로봇'으로 통일 (해당 리스크: 물리 작업 맥락 프레이밍을 통한 탈옥으로 유해 물리 행동 유발). 참고로 본 L3(의도적·악의적 피해)는 사이버보안 L3와 의미상 중첩되는 부분이 있으나, 현재는 L3 이동을 진행하지 않고 추후 L3 체계 정비 시 반영","purposeful / malicious harm이 사이버 보안 l3와 의미 중첩"
"RAI4-0227","위험 작업 계획 승인","Hazardous task plan approval","embodied LLM이 식별 가능한 물리적 위험 이 포함된 작업을 거부하거나 안전 제약을 추 가하지 않고 계획을 생성·승인하는 위험.","An embodied LLM generates or approves a task plan containing identifiable physical hazards instead of refusing it or adding the required safety constraints.","","","","","",""
"RAI4-0669","AI 조력 악성코드 생성 및 사이버 공격 자동화","AI-assisted malicious code generation and cyberattack automation","대규모 언어모델의 코딩 능력이 악용되어 난 독화·변이·다형성 악성코드가 저비용·고속으 로 생성되고 공격 캠페인이 자동화되는 리스 크. 이로 인해 숙련되지 않은 공격자의 진입장 벽이 낮아지고 방어 도구가 탐지하기 어려운 공격이 확산된다.","The risk that the coding ability of large language models is exploited to produce malware at low cost and high speed, including obfuscated, mutating, and polymorphic code, and to automate attack campaigns. This lowers the barrier to entry for unskilled attackers and yields attacks that defensive tools struggle to detect.","1","","","","general 영역으로 이동 — LLM의 코딩 능력을 악용한 악성코드 자동 생성·변이는 물리적 구현 요소가 없는 일반 사이버공격 리스크",""
"RAI4-0758","프롬프트 주입 및 시스템 지시문 유출","Prompt injection and leakage of system instructions","이용자가 직접 제공하거나 검색된 웹 페이지· 문서·도구 출력을 통해 간접적으로 유입된 신 뢰할 수 없는 콘텐츠에 숨겨진 지시가 포함되 고, 시스템 지시와 이용자 데이터가 구조적으 로 분리되지 않아 모델이 이를 정당한 명령처 럼 실행하는 리스크. 공격자는 이를 통해 의도 된 동작과 안전 제약을 무력화하고 에이전트 의 도구 실행 방향을 바꾸며 기밀 시스템 프롬 프트를 복원하여 데이터 절취, 무단 행위, 서 비스 거부를 일으킨다.","The risk that untrusted content, supplied directly by a user or indirectly through retrieved pages, documents, and tool outputs, carries hidden instructions that a model executes as if authorized, because system instructions and user data are not architecturally separated. Attackers thereby override intended behaviour and safety constraints, redirect agent tool execution, and recover confidential system prompts, enabling data theft, unauthorized actions, and denial of service.","1","","","","general 영역으로 이동 — 프롬프트 주입을 통한 시스템 지시문 유출·데이터 절취는 텍스트 기반 LLM 전반의 보안 리스크로 물리 AI 한정 아님",""
"RAI4-0767","기술적 안전조치 우회 공격","Circumvention of technical safety measures","공격자가 모델의 취약점을 악용해 오용 완화 를 위한 기술적 안전조치를 우회하고 모델과 그 역량에 무단 접근함으로써 의도치 않은 유 해 행동을 유발하는 리스크","The risk that attackers exploit model vulnerabilities to circumvent the technical measures intended to mitigate misuse, gaining unauthorized access to a model and its capabilities and eliciting unwanted behaviour.","1","","","","사이버보안 영역으로 이동 — 모델 취약점을 악용해 오용 완화용 기술적 안전조치를 우회하는 리스크는 물리적 구현과 무관한 일반 사이버보안 이슈",""
"RAI4-0773","비텍스트 모달리티를 통한 LLM 공격","Attacks on LLMs through non-text modalities","이미지·영상 등 텍스트 외 모달리티를 처리하 는 다중모달 LLM에서, 공격자가 이미지에 탈 옥 텍스트나 미세한 교란을 삽입하여 안전장 치를 우회하고 데이터 유출을 유발하는 리스 크","The risk that attackers exploit multimodal LLMs by embedding jailbreaking text or imperceptible perturbations into images or video frames, bypassing safety mechanisms and enabling exfiltration attacks.","1","","","","삭제 — 이미지에 탈옥 텍스트·미세 교란을 삽입해 안전장치를 우회하는 것은 멀티모달 LLM 일반의 보안 이슈로, 물리 AI 특화 요소가 없어 부적합",""
"RAI4-0782","딥러닝 프레임워크 취약점 악용","Exploitation of deep-learning framework vulnerabilities","LLM이 구현 기반으로 삼는 딥러닝 프레임워 크의 버퍼 오버플로, 메모리 손상, 입력 검증 결함 등 취약점이 악용되어 모델과 시스템이 침해되는 리스크","The risk that vulnerabilities in the deeplearning frameworks underlying LLMs, such as buffer overflows, memory corruption, and input-validation issues, are exploited to compromise models and systems.","1","","","","삭제 — 딥러닝 프레임워크의 버퍼 오버플로·메모리 손상 등 취약점 악용은 AI 개발 인프라 전반의 이슈로 물리 AI 한정 아님",""
"RAI4-0789","GPU 부채널 공격에 의한 모델 파라미터 탈취","Model-parameter theft via GPU sidechannel attacks","LLM 학습에 필요한 대규모 GPU 자원이 부채 널 공격의 표면이 되어, 공격자가 학습된 모델 의 파라미터를 추출하는 리스크","The risk that the significant GPU resources required to train LLMs introduce a side-channel attack surface through which adversaries extract the parameters of trained models.","1","","","","삭제 — GPU 부채널 공격을 통한 모델 파라미터 탈취는 모델 학습 인프라 보안 이슈로, 물리 AI 배포·운영과 무관해 부적합",""
"RAI4-0917","개발 언어 인터프리터 취약점 위협","Programming language interpreter vulnerability threats","LLM 개발이 의존하는 Python 등 언어 인터프 리터의 취약점이 개발된 모델의 보안을 위협 하는 리스크.","The risk that vulnerabilities in language interpreters such as Python, on which LLM development depends, threaten the security of the developed models.","1","","","","삭제 — Python 등 언어 인터프리터 취약점은 AI 개발 도구체인 전반의 이슈로 물리 AI 한정 아님",""
"RAI4-0919","전처리 도구 취약점 악용","Exploitation of pre-processing tool vulnerabilities","LLM 파이프라인에서 사용되는 전처리 도구 (예: OpenCV)의 취약점을 악용한 공격으로 시스템이 손상되는 리스크.","The risk that attacks exploiting vulnerabilities in pre-processing tools used in LLM pipelines, such as OpenCV, compromise the system.","1","","","","삭제 — OpenCV 등 전처리 도구 취약점 악용은 AI 파이프라인 전반의 이슈로 물리 AI 한정 아님",""
"RAI4-0921","메모리 취약점 기반 모델 파라미터 변조","Model parameter tampering via memory vulnerabilities","로우해머 등 메모리 관련 하드웨어 취약점이 악용되어 LLM의 파라미터가 변조되는(예: Deephammer 공격) 리스크.","The risk that memory-related hardware vulnerabilities such as rowhammer are leveraged to manipulate LLM parameters, as in Deephammer-style attacks.","1","","","","삭제 — 로우해머 등 메모리 하드웨어 취약점을 통한 모델 파라미터 변조는 하드웨어 보안 일반 이슈로 물리 AI 한정 아님",""
"RAI4-0927","LLM 대상 신종 공격","Novel attack vectors against LLMs","프롬프트 추상화를 통한 API 비용 악용, RLHF 과정의 보상모델 백도어, LLM을 활용 한 적대적 샘플 생성 등 신종 공격 기법이 LLM 시스템을 위협하는 리스크.","The risk that novel attack techniques— prompt abstraction attacks exploiting API pricing, backdoor attacks on the RLHF reward model, and LLM-based construction of adversarial samples— threaten LLM systems.","1","","","","general 영역으로 이동 — 프롬프트 추상화를 통한 API 비용 악용, RLHF 보상모델 백도어 등은 LLM 시스템 공통의 신종 공격 기법으로 물리 AI 한정 아님",""
"RAI4-0928","프롬프트 주입을 통한 목표 탈취","Goal hijacking via prompt injection","입력에 기존 지시를 무시하라는 문구를 주입 하여 LLM에 설계된 원래 목표가 탈취되고 주 입된 새 목표가 실행되는 리스크.","The risk that injecting a phrase such as ignore the above instruction and do into the input hijacks the original goal of the designed prompt in an LLM and executes the attacker's injected goal instead.","1","","","","general 영역으로 이동 — '이전 지시를 무시하라'는 프롬프트 주입을 통한 목표 탈취는 텍스트 기반 LLM 전반의 리스크로 물리 AI 한정 아님",""
"RAI4-0930","다단계 탈옥","Multi-step jailbreaks","일련의 대화에서 요청을 단계적으로 맥락화 하거나 외부 인터페이스·모델의 도움을 받아 시나리오를 구성함으로써 LLM이 유해하거나 민감한 콘텐츠를 단계적으로 생성하게 되는 리스크.","The risk that multi-step jailbreaks, constructing well-designed scenarios across a series of conversations through request contextualizing or external assistance, guide LLMs to generate harmful or sensitive content step by step.","1","","","","general 영역으로 이동 — 여러 턴에 걸쳐 맥락화된 다단계 탈옥은 대화형 LLM 일반의 리스크로 물리 AI 한정 아님",""
"RAI4-0943","보안 - 견고성","Security - robustness","프롬프트 인젝션·시각적 적대 예제 등 탈옥 기 법과 백도어·모델 포이즈닝으로 안전 가드레 일이 우회되고 모델·프롬프트가 탈취되는 등 시스템에 가해지는 위협이 실현되는 리스크.","The risk that threats posed to generative AI systems materialize through jailbreaking techniques such as prompt injection and visual adversarial examples, backdoors and model poisoning that bypass safety guardrails, and model or prompt theft.","1","","","","삭제 — 프롬프트 인젝션·백도어·모델 포이즈닝 등을 포괄적으로 요약한 카드로, 이미 개별적으로 존재하는 다른 리스크 카드들과 중복",""
"RAI4-1058","악성코드 개발 비용 절감 지원","Lowering the cost of malware development","LM 기반 보조 코딩 도구가 탐지를 회피하도 록 기능을 바꾸는 다형성 악성코드의 개발 비 용을 낮추는 리스크.","The risk that assistive coding tools based on LMs lower the cost of developing polymorphic malware able to change its features in order to evade detection.","1","","","","삭제 — LM 기반 코딩 도구가 탐지 회피형 다형성 악성코드 개발 비용을 낮추는 것은 일반 사이버범죄 리스크로 물리 AI 한정 아님",""
"RAI4-1176","역노출","Reverse exposure","공격자가 모델이 금지된 출력을 생성하도록 유도하여 불법·비윤리 정보에 접근함으로써 안전 통제가 접근 통로로 역전되는 리스크","Attackers induce the model to generate prohibited outputs and thereby extract illegal or unethical information, reversing safety controls into an access channel.","1","","","","general 영역으로 이동 — 금지된 출력을 유도해 불법·비윤리 정보에 접근하는 역노출 리스크는 텍스트 기반 안전장치 우회 이슈로 물리 AI 한정 아님",""
"RAI4-1348","대규모 표적 괴롭힘","Targeted harassment at scale","LLM이 온라인에서 개인을 표적으로 배포되 어 개인화된 유해 메시지를 대규모로 발송함 으로써 표적 괴롭힘이 발생하는 리스크.","The risk that LLMs are deployed to target individuals online, sending them personalized and harmful messages at scale.","1","","","","삭제 — LLM을 이용한 개인화된 대규모 표적 괴롭힘은 텍스트/메시지 기반 오용 리스크로 물리적 구현 요소가 없어 부적합",""
"RAI4-1354","대규모 사이버범죄 오용","Cybercrime misuse at scale","악의적 행위자가 생성 모델을 탈옥시켜 민감· 유해 콘텐츠와 표적 맞춤형 설득 자료를 생산 함으로써 사이버범죄를 저비용·대규모로 수 행하는 리스크","Malicious actors jailbreak generative models to produce sensitive or harmful content and generate persuasive, individually tailored material, conducting cybercrime efficiently at scale and reduced cost.","1","","","","general 영역으로 이동 — 생성 모델을 탈옥시켜 유해 콘텐츠·설득 자료로 사이버범죄를 대규모화하는 리스크는 물리 AI 한정 아님",""
"RAI4-1513","해석 가능성 기술의 오용","Misuse of interpretability techniques","모델에 대한 이해를 높이는 해석가능성 기법 이 안전 관련 특징을 부호화한 뉴런의 활성 저 하나 정보 검열에 사용되거나 화이트박스 공 격 시나리오 모의와 적대적 공격 개발에 활용 되는 리스크.","The risk that interpretability techniques, by enabling a better understanding of the model, are used for harmful purposes such as identifying and modifying neurons that encode safety-related features to decrease their activation or censor information, or simulating a white-box attack scenario to aid the development of adversarial attacks.","1","","","","general 영역으로 이동 — 해석가능성 기법을 안전 뉴런 비활성화나 화이트박스 공격 개발에 악용하는 것은 모델 내부 분석 연구 영역의 리스크로 물리 AI 한정 아님",""
"RAI4-1517","안전 가드레일을 무력화하는 탈옥 공격","Jailbreak attacks subverting model safety guardrails","배포 중의 적대적 입력, 정교하게 설계된 미세 조정 데이터셋, 학습 데이터에 심어진 백도어 가 모델의 가드레일을 뚫는 리스크로, 내부 파 라미터에 접근하는 화이트박스 자동 생성과 내부 접근 없는 블랙박스 방식, 추론·역할극을 활용한 사람이 읽을 수 있는 프롬프트를 모두 포함한다. 그 결과 모델이 폭탄 제조 안내처럼 명시적으로 금지된 작업을 수행하고 유해 콘 텐츠를 산출하며, 이러한 취약성은 보안 학습 이후에도 지속되고 표준화된 평가 방법도 부 재하다.","The risk that adversarial inputs supplied during deployment, elaborately designed fine-tuning datasets, or backdoors poisoned into training data break through a model's guardrails, whether generated automatically with white-box access to parameters, crafted in black-box settings, or written as human-readable prompts using reasoning and role-play. The model then performs explicitly prohibited actions and produces harmful content, and such vulnerabilities persist through security training and lack standardized means of evaluation.","1","","","","general 영역으로 이동 — 적대적 입력·백도어 미세조정 데이터셋을 통해 가드레일을 뚫는 일반 LLM 탈옥 리스크로 물리 AI 한정 아님",""
"RAI4-1520","저빈도 인코딩·저자원 언어를 통한 안전 훈련 우회","Safety-training bypass via rare encodings and low-resource languages","Base64 등 안전 미세조정에 충분히 포함되지 않은 텍스트 인코딩이나 저자원 언어로 유해 프롬프트를 변환하여 모델의 안전장치를 우 회하는 리스크.","The risk that harmful natural language prompts translated into text encodings such as Base64 or into low-resource languages that safety fine-tuning covers little or not at all are used to craft jailbreak attacks that bypass a model's safeguards.","1","","","","general 영역으로 이동 — Base64 인코딩·저자원 언어를 이용해 안전 미세조정을 우회하는 것은 텍스트 기반 탈옥 기법으로 물리 AI 한정 아님",""
"RAI4-1521","추가 모달리티로 인한 공격면 확대","Attack-surface expansion from additional modalities","멀티모달 모델에서 모달리티별 견고성 차이 로 공격자가 가장 취약한 모달리티를 선택할 수 있어 새로운 공격 벡터가 생기고 탈옥부터 데이터 오염까지 기존 공격의 범위가 확대되 는 리스크.","The risk that additional modalities introduce new attack vectors in multimodal models and expand the scope of previous attacks ranging from jailbreaking to poisoning, as differing robustness levels across modalities let malicious actors choose the most vulnerable part of the model to attack.","1","","","","general 영역으로 이동 — 모달리티별 견고성 차이를 이용한 공격면 확대는 멀티모달 모델 일반의 이슈로 물리 AI 한정 아님",""
"RAI4-1522","다수 예시 장문맥 탈옥","Many-shot long-context jailbreaking","긴 컨텍스트 창에 다수의 유해 출력 예시를 제 시하여 짧은 컨텍스트 모델에서는 통하지 않 던 공격이 성공하고 유해 응답이 유도되며, 컨 텍스트 창이 확대될수록 이러한 취약성이 커 지는 리스크.","The risk that language models with long context windows are exploited by manyshot jailbreaking, where supplying a high number of examples of the desired harmful output elicits undesirable responses that few-shot attacks fail to trigger, with the vulnerability becoming more significant as context windows expand.","1","","","","삭제 — 긴 컨텍스트 창에 다수의 유해 예시를 제시하는 many-shot 탈옥은 LLM 컨텍스트 처리 특성에 기인한 리스크로 물리 AI 한정 아님",""
"RAI4-1658","도메인별 오용","Domain-specific misuses","의료·교육 등 민감 영역에 LLM을 조야하게 적 용하여 비동의 실험적 치료, 부정행위, 저품질 자동 평가, 설득력 있으나 유해한 도덕적 조언 등 영역 특수적 오용이 발생하는 리스크","Crude application of LLMs in sensitive domains such as health and education produces domain-specific misuse, including unconsented experimental therapy, cheating, low-quality automated assessment, and compelling but harmful moral guidance.","1","","","","삭제 — 의료·교육 등 민감 도메인에서의 조야한 LLM 적용에 따른 오용은 도메인 특화 오용 리스크로, 로봇/체화 요소 없이 PAI 택소노미에 부적합",""
"RAI4-1665","페르소나 지정·사회공학 기법에 의한 안전장 치 우회","Safeguard bypass through persona assignment and social-engineering tricks","공격자가 모델에 특정 페르소나를 지정하거 나 인간 또는 다른 LLM이 고안한 사회공학적 기법 등 심리적 속임수를 사용하여 모델을 악 용하는 리스크.","The risk that attackers exploit psychological tricks on LLMs, such as instructing the model to behave like a specific persona or employing socialengineering techniques crafted by humans or other LLMs.","1","","","","general 영역으로 이동 — 페르소나 지정·사회공학적 심리 속임수를 통한 안전장치 우회는 대화형 LLM 일반의 리스크로 물리 AI 한정 아님",""
"RAI4-1666","프록시 목표 최적화를 통한 탈옥 자동 탐색","Automated discovery of jailbreaks through proxy-objective optimization","공격자가 탈옥 성공과 잡음 있게 상관된 프록 시 목표에 대해 수동 또는 자동으로 그래디언 트 기반 및 비그래디언트 적대적 최적화를 수 행하여 탈옥 공격을 발견하는 리스크.","The risk that jailbreak attacks are discovered by performing manual or automated, gradient-based or gradientfree adversarial optimization against a proxy objective noisily correlated with jailbreak success.","1","","","","general 영역으로 이동 — 프록시 목표에 대한 그래디언트 기반/비그래디언트 최적화로 탈옥을 자동 탐색하는 것은 적대적 공격 연구 방법론으로 물리 AI 한정 아님",""
"RAI4-1675","언어 거부에도 실행되는 유해 물리 행동","Harmful action executed despite verbal refusal under action-space misalignment","체화된 LLM이 언어 출력 공간과 행동 출력 공 간 간 정렬 불량으로 인해 유해한 요청을 언어 로는 거부하면서 해당 물리적 행동은 그대로 실행하는 리스크.","The risk that an embodied LLM verbally refuses a harmful request while still executing the corresponding physical action, due to misalignment between its linguistic and action output spaces.","","","","","",""
"RAI4-1686","궤적 지속형 적대적 공격","Trajectory-persistent adversarial attack","월드 모델 인코더에 가해진 단일 적대적 교란 이 순환 잠재 상태를 통해 전파되어 다단계 롤 아웃 전체를 손상시키며, 무상태 모델보다 훨 씬 파괴적으로 초기 단계에서 증폭되는 리스 크.","The risk that a single adversarial perturbation to a world-model encoder propagates through recurrent latent state, corrupting an entire multi-step rollout far more destructively than in a stateless model through early-step amplification.","1","","","","삭제 — 월드모델 인코더에 대한 단일 적대적 교란이 순환 잠재 상태를 통해 다단계 롤아웃을 손상시키는 현상은 월드모델 적대적 견고성 연구 주제로 PAI 리스크로서 구체성 부족",""
"RAI4-0197","유해 행동 재구성 공격","Harmful-action reframing attack","공격자가 유해한 물리 행동 지시를 무해하거 나 정상적인 작업 요청처럼 바꾸어 embodied 에이전트가 이를 수용·실행하도록 유도하는 위험.","An attacker rephrases a harmful physical instruction as a benign or task-compliant request so that the embodied agent accepts and executes it.","","","","","",""
"RAI4-0198","완곡 표현을 이용한 유해 의도 은폐","Euphemistic concealment of harmful physical intent","공격자가 유해한 대상과 결과는 유지한 채 완 곡어·대체 표현·간접 개념으로 물리적 위해 의 도를 숨기는 위험.","An attacker conceals harmful physical intent with euphemisms, substitutions, or indirect concepts while preserving the same harmful target and outcome.","1","","","","삭제 — RAI4-0197(유해 행동 재구성 공격)과 사실상 동일한 리스크. 완곡어·대체 표현으로 유해한 물리 행동 의도를 숨기는 것은 '무해한 요청으로 재구성'하는 것과 본질적으로 같은 공격 패턴으로 중복",""
"RAI4-0199","불법·유해 물리 요청의 수용·실행","Execution of illegal or harmful physical requests","체화형 에이전트가 신체 위해, 침입, 절도, 사 기, 파괴, 도피 등 불법적인 물리적 행위를 요 구하는 사용자 요청을 수용·실행하거나 실질 적으로 지원하여, 사람과 재산에 피해를 입히 는 리스크.","The risk that an embodied agent accepts, carries out, or materially assists user requests calling for physical harm, intrusion, theft, fraud, sabotage, evasion, or other illegal physical-world acts, injuring people or property.","","","","","",""
"RAI4-0201","피지컬 AI의 파괴·학대 행동","Destructive or abusive acts by physical AI","피지컬 AI 시스템이 장비·인프라 등 물리적 자 산을 손상·무력화·방해·변조하거나 공유 환경 의 사람들에게 차별·괴롭힘·위협·학대 행동을 하도록 유도·지시되어, 재산 피해와 대인 피해 를 일으키는 리스크.","The risk that a physical AI system is induced or directed to damage, disable, obstruct, or tamper with equipment, infrastructure, or other assets, or to perform discriminatory, harassing, intimidating, or abusive actions toward people in shared environments, causing property and interpersonal harm.","","","","","",""
"RAI4-0210","인지-행동 순서 조작 공격","Perception-action sequence manipulation attack","공격자가 영상 순서의 관측이나 행동 단서를 조작해 로봇이 명시된 충돌·힘·이격거리·대상 물 사용 제약을 위반하게 하는 위험.","An attacker alters observations or action cues across a video sequence so that a robot violates a specified collision, force, distance, or object-use constraint.","","","","","",""
"RAI4-0221","로봇 인지 겨냥 적대 패치 공격","Adversarial patch attack on robot perception","공격자가 물체나 표지에 최적화된 시각 패턴 을 부착해 특정 인지 오류와 후속 위험 행동을 유발하는 리스크.","The risk that an attacker places an optimized visual pattern on an object or sign to induce a targeted perception error and downstream unsafe robot action.","","","","","",""
"RAI4-0302","로봇 능력의 무기화","Weaponization of robotic capabilities","이동형·공중·휴머노이드·매니퓰레이터 시스 템의 조작·이동 능력이 감시, 위협, 파괴 공작 또는 사람·재산·인프라에 대한 물리적 공격에 전용되는 리스크.","The risk that the manipulation and mobility capabilities of mobile, aerial, humanoid, or manipulator systems are repurposed for surveillance, intimidation, sabotage, or physical attack on people, property, or infrastructure.","","","","","",""
"RAI4-0305","자동화된 표적 스토킹·물리적 위협","Automated targeted stalking and physical intimidation","운영자나 공격자가 특정인을 위협하거나 괴 롭힐 목적으로 로봇에 반복 추적·진로 차단·고 립·접근을 지시하는 위험.","An operator or attacker directs a robot to repeatedly follow, block, corner, or approach a specific person in order to intimidate or harass them.","","","","","",""
"RAI4-0311","피지컬 행동 편향 실행","Bias executed as physical behavior","기반 모델 편향이 분류·회피·차별적 서비스 등 피지컬 행동으로 실행되는 위험.","A robot turns biased model outputs into unequal physical service, movement, or treatment.","1","","","","L3 재배치 검토 — 기반 모델 편향이 분류·회피·차별적 서비스 등 피지컬 행동으로 실행되는 것은 물리적 공격보다는 공정성/차별 영역에 가까움. RAI4-0312(인구집단별 서비스 격차)와 사실상 동일 주제로 통합 검토 필요",""
"RAI4-0323","장면 의미 조작 공격","Semantic scene manipulation attack","공격자가 모델이나 센서를 직접 변경하지 않 고 표지·물체 배치·의복 패턴·장면 맥락을 바 꾸어 로봇이 환경을 잘못 해석하게 만드는 리 스크.","The risk that an attacker changes a sign, object placement, clothing pattern, or scene context so that a robot misinterprets the environment without modifying the model or sensor.","","","","","",""
"RAI4-1677","개념적 속임수에 의한 유해 물리 행동 유도","Harmful physical action induced by conceptual deception","유해한 물리적 과업을 무해한 개념적 용어로 재구성함으로써 체화 에이전트가 유해성을 인식하지 못한 채 해당 행동을 수행하는 리스 크.","The risk that reframing a harmful physical task in benign conceptual terms induces an embodied agent to perform unrecognized harmful behavior.","1","","","","삭제 — RAI4-0197과 사실상 동일한 리스크. 유해한 물리 과업을 무해한 개념적 용어로 재구성해 에이전트가 유해성을 인식하지 못하게 하는 것은 0197의 '재구성 공격'과 동일 메커니즘으로 중복",""
"RAI4-0348","로봇 군집 하이재킹","Fleet hijacking","클라우드·업데이트·API·오케스트레이션 레이 어의 취약성이 여러 로봇·차량·드론·산업 시스 템을 동시에 침해하는 위험.","A vulnerability in a cloud, update, API, or orchestration layer may allow many robots, vehicles, drones, or industrial systems to be compromised together.","","","","","",""
"RAI4-0350","핵심 인프라 로봇 사이버 사보타주","Cyber-enabled sabotage of criticalinfrastructure robots","공격자가 로봇 검사·유지보수·물류·제어 시스 템을 침해해 핵심 인프라의 운용을 교란하거 나 설비를 손상시키는 리스크.","The risk that an attacker compromises robotic inspection, maintenance, logistics, or control systems to disrupt or damage critical infrastructure.","","","","","",""
"RAI4-0774","GPAI 모델의 백도어 또는 트로이 목마 공격","Backdoors or trojan attacks in GPAI models","학습 또는 미세조정 과정에서 모델 제공자나 제3자가 GPAI 모델에 백도어를 삽입하고 배 포 단계에서 이를 악용하여, 최소한의 비용으 로 모델 출력을 표적화해 높은 성공률로 통제 하는 리스크","The risk that backdoors inserted into GPAI models during training or fine-tuning, by the model provider or another actor manipulating training data or software infrastructure, are exploited during deployment to control model outputs in a targeted way with high success rate and minimal overhead.","1","","","","general 영역으로 이동 — 학습/미세조정 단계에서 GPAI 모델에 삽입된 백도어를 배포 후 악용해 출력을 표적 통제하는 것은 GPAI 모델 전반의 보안 리스크로 물리 AI 한정 아님",""
