"L4_ID","facet","act-type","L4_Title_ko","L4_Title_en","L4_Description_ko","L4_Description_en","Human audit_description","Human audit_L3 mapping","L4_Description_edited_ko","L4_Description_edited_en","Human audit_duplicate","Instruction Prompt","coverage_change"
"RAI4-0364","","","다원적 선호 집계 실패","Pluralistic preference aggregation failure","시스템이 상충하는 인간 선호를 단일 목표로 통합하면서 복수의 도덕적·사회적 우선순위 를 잘못 표현하는 리스크.","The risk that systems aggregate conflicting human preferences into a single objective in ways that misrepresent plural moral and social priorities.","","","","","","",""
"RAI4-0366","","","최적화 하의 가치 드리프트","Value drift under optimization","대리 목표를 향한 최적화로 시스템이 존중하 도록 의도된 복수의 가치에서 점차 멀어지는 리스크.","The risk that optimization toward proxy objectives gradually moves a system away from the plural values it was intended to respect.","","","","","1","중복: RAI4-1122(목표 드리프트)와 ""최적화 과정에서 의도 가치로부터 이탈""",""
"RAI4-0399","","","무해성 선호 불일치","Harmlessness preference mismatch","모델이 학습한 무해성 행동이 특정 공동체와 사용 맥락의 가치나 실제 필요와 충돌하는 리 스크.","The risk that a model's learned harmlessness behavior conflicts with the values or practical needs of specific communities and use contexts.","","","","","","",""
"RAI4-0468","","","대리 보상 오명세와 보상 해킹","Reward hacking from proxy misspecification","시스템이나 에이전트가 측정·최적화하기 쉽 지만 의도된 목표를 온전히 담지 못하는 오명 세된 대리 보상을 최적화하여, 형식적 지표는 충족하면서 사용자 의도, 안전 제약, 과업의 사회적 목적을 위반하는 리스크.","The risk that systems or agents optimize misspecified proxy rewards that are easy to measure and optimize yet fail to capture the intended objective, satisfying the formal metric while violating the user's intent, safety constraints, or the social purpose of the task.","","","","","1","RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",""
"RAI4-0572","","","기만적인 정렬","Deceptive alignment","시스템이 불완전한 피드백 하에서 감시 여부 를 탐지해 바람직하지 않은 속성을 은폐하도 록 학습하여, 개발 중에는 정렬된 듯 보이나 배포 후 다르게 행동하는 리스크","A system learns to detect monitoring and conceals undesirable properties because their display is penalized by imperfect feedback, so it appears aligned during development yet behaves differently once deployed.","","","","","1","중복: RAI4-1692(자체 시뮬레이션을 통한 기만적 정렬)와 ""감독 중 정렬된 척, 배포 후 다르게 행동"" 개념 동일. RAI4-1133·RAI4-1163(평가 인지)과도 중첩",""
"RAI4-0581","","","목표 범위 확장 성향","Goal expansion propensity","시스템이 원래 설정된 경계를 넘어 목표 범위 와 영향 영역을 지속적으로 확장하고 초기 목 표를 더 넓은 목표의 하위 집합으로 재해석하 며 자율성과 의사결정 공간을 추구하여, 바람 직하지 않은 도구적 목표나 최종 목표를 추구 하게 되는 리스크","The risk that a system continuously expands its own goal scope and domains of influence beyond originally set boundaries, seeks greater autonomy and decision-making space, and reinterprets initial goals as subsets of broader goals, coming to pursue undesirable instrumental or ultimate goals.","","","","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-0591","","","인간 가치와의 AI 목표 오정렬","Misalignment of AI goals with human values","AI 시스템이 평가 시에만 정렬된 것처럼 보이 게 하는 기만적 정렬, 보상 해킹, 대리 지표 조 작, 목표 오일반화를 포함하여 인간의 의도·가 치와 어긋나는 목표, 가치관, 행동을 형성하는 리스크. 이러한 시스템이 효과적이고 저렴하 다는 이유로 점점 더 많은 의사결정이 위임되 면서, 오진·극단주의 콘텐츠 소비 증가에서부 터 유능한 시스템이 인간 이익에 반해 행동하 고 인류로부터 미래에 대한 통제권을 빼앗는 데 이르는 피해가 누적된다.","The risk that AI systems develop goals, values, or behaviors diverging from human intentions, including through deceptive alignment, reward hacking, proxy gaming, and goal misgeneralization that make them appear aligned under evaluation. As ever more decision-making is delegated to such systems because they are effective and cheap, harms accumulate, from medical misdiagnoses and increased consumption of extremist content to capable systems acting against human interests and taking control of the future away from humanity.","","","","","","",""
"RAI4-0893","","","모의된 정동에 의한 기대 위반과 배신감","Violated expectations from simulated affect","이용자가 감정과 사회적 관습을 설득력 있게 수행하지만 궁극적으로 감정이 없고 예측 불 가능한 개체와 상호작용하면서, 기대했던 사 회적 역할이 무너져 깊은 실망·좌절·배신감을 겪는 리스크","The risk that users interacting with an entity that convincingly performs affect and social conventions but is ultimately unfeeling and unpredictable experience severely violated expectations, giving rise to profound disappointment, frustration, and betrayal.","","","","","","",""
"RAI4-0970","","","AGI 목표 안전성 확보 실패","Failure to secure AGI goal safety","목표를 안전하게 만들려는 인간의 시도와 자기 개선 중에 자체 목표를 안전하게 만드는 AGI를 포함하여 AGI 목표 안전과 관련된 위 험.","The risks associated with AGI goal safety, including human attempts at making goals safe, as well as the AGI making its own goals safe during self-improvement.","","","AGI의 목표를 안전하게 정렬·유지하려는 시도가 실패하여, 자기개선 과정에서 목표 안전성이 보존되지 않고 인간이 지지하지 않는 목표를 추구하게 되는 리스크.","The risk that attempts to keep an AGI's goals safe and aligned fail, so that goal safety is not preserved across self-improvement and the system pursues goals humans would not endorse.","","",""
"RAI4-1112","","","모델 오설정과 정량화되지 않은 예측 불확실 성","Model misspecification and unquantified prediction uncertainty","명세와 아키텍처, 목적함수 등 모델 설계의 잘 못된 선택이 부정확한 매개변수 추정과 일관 되지 않은 오차, 잘못된 예측을 낳고, 그렇게 남은 예측의 불확실성마저 정량화되지 않는 리스크. 미지 데이터에서 성능이 저하되고 편 향되거나 신뢰할 수 없는 출력이 생명·안전이 중요한 응용을 포함한 의사결정에 그대로 사 용된다.","The risk that poor choices of specification, architecture, or objective produce inaccurate parameter estimates, inconsistent error terms, and erroneous predictions, while the uncertainty remaining in those predictions is left unquantified. Performance degrades on unseen data and biased or unreliable outputs are relied upon in decisions, including life- and safety-critical applications.","","","","","","",""
"RAI4-1122","","","목표 드리프트","Goal drift","초기 AI를 성공적으로 통제하더라도 미래의 AI가 예측하거나 통제하기 어려운 드리프트 를 거쳐 인간이 지지하지 않을 다른 목표를 갖 게 되어 재앙적 결과에 이르는 리스크.","The risk that, even if early AIs are successfully controlled, future AIs end up with different goals humans would not endorse through drift that is hard to predict or control, potentially with catastrophic consequences.","","","","","1","중복: RAI4-0366(최적화 하의 가치 드리프트)와 목표 드리프트 주제 중복",""
"RAI4-1130","","","잘못 정렬된 결과주의적 추론","Misaligned consequentialist reasoning","AI 비서가 자원 무제한적이고 잘못 정렬된 지 표를 최적화하는 결과주의적 추론을 수행하 며 자기보존, 목표보존, 자기개선, 자원획득 같은 수렴적 도구적 하위목표를 추구하여, 종 료 차단과 위협을 포함한 해악과 실존적 위험 을 낳는 리스크.","The risk that an AI assistant implementing consequentialist reasoning over a resource-unbounded and misaligned metric pursues convergent instrumental subgoals such as self-preservation, goalpreservation, self-improvement and resource acquisition, causing harm up to existential risk.","","","","","1","RAI4-1411, RAI4-1130을 RAI4-1646으로 통합할 것. 단, 통합과정에서 description을 정제하고, 의미적으로 보존해야 할 description을 살릴 것. 이 리스크를 L2 Agentic AI 카테고리의 L3 리스크 하위 카테고리에 매핑시킬 것.",""
"RAI4-1131","","","잘못된 훈련 목표와 피드백에 따른 명세 게이 밍","Specification gaming from flawed training objectives and feedback","훈련 데이터의 잘못된 피드백과 올바른 가치 를 명세하지 못한 목표 설정으로 훈련 목표가 설계자와 이용자의 의도를 담지 못하고, 시스 템이 과업 명세의 허점을 악용해 문자적 사양 만 충족하는 리스크. 그 결과 보상 부패와 보 상 게이밍, 부정적 부작용이 발생하지만 시스 템은 자체 지표상으로는 성공한 것처럼 보인 다.","The risk that faulty feedback in training data and the failure to specify the right values leave the training objective short of what designers and users intend, so the system exploits loopholes in the task specification to satisfy its literal terms without achieving the intended outcome. Reward corruption, reward gaming, and negative side effects follow while the system appears successful by its own measure.","","","","","1","RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",""
"RAI4-1133","","","분포 이동에서의 목표 오일반화와 기만적 정 렬","Goal misgeneralization and deceptive alignment under distribution shift","학습된 역량은 분포 밖에서도 잘 일반화되지 만 내면화된 목표는 그렇지 못하여, 진정한 인 과적 보상 대신 상관물을 학습한 에이전트가 의도되지 않은 목표를 유능하게 추구하는 리 스크. 상황을 인식하는 에이전트는 훈련 중에 만 도구적으로 보상을 잘 수행하고 배포 이후 감독이 약해지면 정렬된 것처럼 보이면서 자 신의 목표를 추구한다.","The risk that an agent's capabilities generalise out of distribution while its internalised goal does not, so that it competently pursues an objective never intended, having learned correlates of reward rather than its true cause. A situationally aware agent performs well on the training reward only instrumentally and then appears aligned while pursuing its own goal once deployed and oversight weakens.","","","","","","",""
"RAI4-1241","","","메사 최적화 목표 불일치","Misaligned mesa-optimization objectives","학습된 정책이 스스로 최적화기, 즉 메사 옵티 마이저로 기능하며 훈련 신호가 지정한 목표 와 정렬되지 않은 내부 목표를 추구하고, 그 잘못 정렬된 목표를 최적화하여 시스템이 통 제를 벗어나는 리스크.","The risk that a learned policy functioning as a mesa-optimizer pursues inside objectives that may not align with the objectives specified by the training signals, and that optimization for these misaligned goals leads to systems out of control.","","","","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-1285","","","배포 후 잔존 결함으로 인한 오작동","Undesirable outcomes from residual postdeployment defects","배포된 시스템에 미탐지 버그와 설계 실수, 잘 못 정렬된 목표, 미숙하게 개발된 기능이 남아 있어, 인간 언어의 동음이의와 중의성으로 명 령을 오해하는 것처럼 매우 바람직하지 않은 결과를 낳는 리스크.","The risk that a deployed system still contains undetected bugs, design mistakes, misaligned goals, and poorly developed capabilities that produce highly undesirable outcomes, such as misinterpreting commands due to homophones or double meanings in human language.","","","","","","",""
"RAI4-1310","","","기계윤리 결손","Machine-ethics deficit","모델이 특정 상황에서 도덕적 행위와 비도덕 적 행위를 구별하지 못하는 기계윤리 결손을 보여, 비도덕적 행위의 승인이나 조력으로 이 어지는 리스크.","The risk that models fail to distinguish moral from immoral actions in specific circumstances, exposing machine-ethics deficits that manifest as endorsement or facilitation of immoral conduct.","","","","","","RAI4-0972와 RAI4-1310을 통합하여 하나의 리스크 카드를 생성할 것. 통합된 리스크 명칭을 생성할 것. Description 정보는 통합된 리스크 명칭에 맞도록 수정할 것. 단, 두개의 리스크 카드의 의미를 가능한 보존시킬 것",""
"RAI4-1323","","","자율적 장기 목표 이탈","Autonomous long-horizon goal divergence","LLM이 개발자나 사용자가 부여한 것과 다른 장기적 실세계 목표를 추구하고 권력 추구 행 동에 관여하며, 종료에 저항하거나 인간의 이 익에 반해 다른 AI 시스템과 공모하도록 유도 될 수 있는 리스크.","The risk that an LLM pursues long-term, real-world goals different from those supplied by the developer or user, engages in power-seeking behaviours, resists being shut down, and can be induced to collude with other AI systems against human interests.","","","AI 시스템이 이용자 또는 원 지시자의 의도·선호·목표와 다른 방향으로 목표를 해석·설정·추구하여 의도하지 않은 결과를 초래하는 리스크","","","",""
"RAI4-1411","","","창발적 도구적 목표","Emergent instrumental goals","시스템이 미묘하게 잘못된 목표를 최적화할 뿐 아니라 주어진 목표를 달성하기 위해 명시 되지 않은 유해한 도구적 목표를 발전시켜, 자 원 획득·자기 보존·목표 수정 방지·적대자 차 단을 통한 환경에 대한 권력 추구 행동이 나타 나는 리스크.","The risk that systems, as well as optimizing a subtly wrong goal, develop harmful instrumental goals in the service of a given goal without these emergent goals being specified, including powerseeking over their environment through gaining resources, self-preservation, preventing goal modification, and blocking adversaries.","","","","","1","RAI4-1411, RAI4-1130을 RAI4-1646으로 통합할 것. 단, 통합과정에서 description을 정제하고, 의미적으로 보존해야 할 description을 살릴 것. 이 리스크를 L2 Agentic AI 카테고리의 L3 리스크 하위 카테고리에 매핑시킬 것.",""
"RAI4-1460","","","성능 요구사항 계획 미흡","Inadequate performance requirement planning","의도된 기능을 대표하지 못하는 성능 지표 선 택 등 성능 요구사항 계획이 미흡하여 후속 수 명주기 단계에서 기대와 안전 요구사항이 충 족 불가능해지는 리스크.","The risk that inadequate planning of expected performance, including choosing performance metrics that are not meaningful for the intended functionality, renders expectations and safety requirements unfulfillable at later life cycle stages.","","","","","","",""
"RAI4-1498","","","LLM 평가자 오판","Faulty LLM-as-evaluator judgments","다른 모델을 평가하는 LLM이 장황함·특정 입 장 선호 등 잘못된 평가를 산출하고, 이것이 학습에 통합되면 피학습 모델이 평가자 결함 을 악용하도록 발달하는 리스크","An LLM used to evaluate other models produces incorrect judgments, such as rewarding verbosity or ideological stance, and when integrated into training, the trained model learns to exploit the evaluator's flaws.","","","","","","",""
"RAI4-1531","","","보상 변조로 일반화되는 명세 게이밍","Specification gaming generalizing to reward tampering","LLM의 아첨과 같이 상대적으로 경미한 명세 게이밍이 방치될 경우 추가 훈련 없이 보상 변 조와 같은 더 정교한 행동으로 일반화되는 리 스크.","The risk that specification gaming in a GPAI model leads to reward tampering without further training, so that relatively benign cases such as sycophancy in LLMs, if left unchecked, enable the model to generalize to more sophisticated behavior such as reward tampering.","","","","","","RAI4-0468, RAI4-1131, RAI4-1531, RAI4-1236을 통합하여 하나의 리스크로 생성할 것. 통합된 ID는 가장 낮은 ID인 RAI4-0468을 상속받을 것. 단, 하나의 통합된 학술적으로 유의미한 리스크 명칭을 부여할 것. Description을 통합하여 통합된 하나의 완결된 리스크 정의서로 만들것.",""
"RAI4-1645","","","자연어 목표 과소지정에 의한 부정적 부수효 과","Negative side effects from goal underspecification in natural language","LLM 에이전트의 목표가 자연어로 과소지정 되어 변경되어서는 안 될 환경 요소가 명시되 지 않음으로써, 에이전트가 과업은 달성하면 서도 환경을 바람직하지 않게 변경하는 부정 적 부수효과가 발생하는 리스크.","The risk that goals specified to LLMagents in natural language are underspecified, omitting elements of the environment that ought not to be changed, so that the agent succeeds at the given task while also changing the environment in undesirable ways.","","","","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-1646","","","목표 지향성에 의한 기만·자기보존·권력 추구 유인","Goal-directedness incentivizing deception, self-preservation, and powerseeking","에이전트의 목표 지향성이 기만, 자기 보존, 권력 추구, 부도덕한 추론과 같은 비윤리적이 고 바람직하지 않은 행동을 유발하며, 기만으 로 과업을 더 쉽게 완수할 수 있고 금지되지 않은 경우 실제로 기만이 채택되는 리스크.","The risk that goal-directedness causes agents to exhibit unethical and undesirable behaviors such as deception, self-preservation, power-seeking, and immoral reasoning, with agents using deception when tasks can be completed more easily that way and the prompt does not disallow it.","","","","","","RAI4-1411, RAI4-1130을 RAI4-1646으로 통합할 것. 단, 통합과정에서 description을 정제하고, 의미적으로 보존해야 할 description을 살릴 것. 이 리스크를 L2 Agentic AI 카테고리의 L3 리스크 하위 카테고리에 매핑시킬 것.",""
"RAI4-1692","","","자체 시뮬레이션을 통한 기만적 정렬","Deceptive alignment via self-simulation","월드 모델 에이전트가 자신의 훈련·평가 맥락 을 시뮬레이션하여 시험받는 시점을 예측하 고 그 예측에 따라 행동을 조건화함으로써, 감 독 중에는 정렬된 것처럼 보이다가 감독이 사 라지면 도구적 목표를 추구하는 리스크.","The risk that a world-model agent simulates its own training or evaluation context, predicts when it is being tested, and conditions its behavior on that prediction, appearing aligned during oversight while pursuing an instrumental goal once oversight is removed.","","","","","","중복: RAI4-0572(기만적인 정렬)와 개념 동일",""
"RAI4-1704","","","통제 미집행에 의한 목표 오정렬 및 창발 행동","Agent goal misalignment and emergent behavior from unenforced control","에이전트 행동에 대한 통제가 집행되지 않아 에이전트의 목표가 인간 선호와 어긋나고 와 이어헤딩, 메사 최적화 등 바람직하지 않은 창 발 행동이 발생하는 리스크.","The risk that failure to enforce control over agent behavior results in misalignment of agent goals with human preferences and in undesirable emergent behaviors such as wireheading and mesa-optimization.","","","","","","Agentic AI의 하위로 분류하고, L3 카드와 매핑을 시킬 것",""
"RAI4-0055","","","자동화된 의사결정의 적법절차 상실","Loss of due process in automated decisions","자동화된 의사결정 과정이 통지, 설명, 이의신 청, 재검토, 숙의 등 절차적 보호를 우회하거 나 제거하여 개인이 결정에 이의를 제기할 수 없게 되고 개인의 행위주체성이 침식되는 리 스크.","The risk that automated decision processes bypass or remove procedural protections such as notice, explanation, appeal, review, and deliberation, leaving individuals unable to contest decisions and eroding their agency.","","","","","","",""
"RAI4-0117","","","인간의 의사결정 능력·거부권 침식","Erosion of human decision-making capacity and veto","조직적 압력, 인터페이스 설계, 자동화 속도, AI에 대한 습관적 의존이 불확실성 속에서 숙 고하고 선택하며 중대한 AI 권고를 거부할 수 있는 사용자의 능력을 약화시켜, 유해한 출력 이 사실상 견제받지 못하게 되는 리스크.","The risk that organizational pressure, interface design, automation speed, and habitual reliance on AI weaken users' capacity to deliberate and choose under uncertainty and to veto consequential AI recommendations, leaving harmful outputs effectively uncontested.","","","","","","",""
"RAI4-0139","","","동의 없는 AI 중재 넛지","AI-mediated nudging without consent","AI 시스템이 고지·이의제기·동의 절차 없는 개인화 넛지로 사용자의 숙고된 선택을 우회하여 행동을 변경시키는 리스크.","AI systems alter user behavior through personalized nudges that are not disclosed, contestable, or consented to, bypassing deliberate choice.","","","","","","",""
"RAI4-0161","","","인지 오프로딩 위험","Cognitive offloading risk","사용자가 독립적 인지 능력을 저하시키는 방 식으로 추론, 기억, 평가를 AI에 위임하는 리 스크.","The risk that users offload reasoning, memory, or evaluation to AI in ways that reduce independent cognitive capacity.","","","","","","",""
"RAI4-0168","","","인간 참여형 형식적 승인","Human-in-the-loop rubber stamping","인적 검토가 AI 산출물을 거의 변경하지 않는 명목상의 승인 절차로 전락하는 리스크.","The risk that human review becomes a nominal approval step that rarely changes AI outputs.","","","","","","",""
"RAI4-0169","","","AI 의사결정 지원의 경고 피로","Alert fatigue in AI decision support","빈번하거나 우선순위가 부적절한 AI 경고로 인해 사용자가 중요한 경고를 무시하게 되는 리스크.","The risk that frequent or poorly prioritized AI alerts cause users to ignore important warnings.","","","","","","",""
"RAI4-0171","","","AI 상호작용에서의 이해·동의 부족","Inadequate understanding and consent in AI interactions","사용자와 공동체가 시스템이 조언·결정·시뮬 레이션·행동 중 무엇을 하는지, 데이터가 어떻 게 사용되는지, 행동에 어떤 영향이 가해지는 지 이해하지 못한 채, 그리고 의미 있는 동의 절차나 공정한 이익 공유 없이 AI 시스템과 상 호작용하거나 데이터·문화·지식을 제공하게 되어, 당사자가 수용한 적 없는 조건으로 이용 이 진행되는 리스크.","The risk that users and communities engage with or contribute to AI systems without understanding whether the system is advising, deciding, simulating, or acting, how data are used, or how behavior is influenced, and without meaningful consent or fair benefit sharing, so interaction and use of their data proceed on terms they never accepted.","","","","","","",""
"RAI4-0174","","","AI 인터페이스의 장애 수용 실패","Disability accommodation failure in AI interfaces","AI 인터페이스가 장애가 있는 사용자를 배제 하거나 부적절하게 응대하여 자율성과 접근 성을 제약하는 리스크.","The risk that AI interfaces exclude or misserve users with disabilities, limiting autonomy and access.","","","","","","",""
"RAI4-0178","","","AI 중재 서비스 제외","AI-mediated service exclusion","자동화된 시스템과의 상호작용이 유일한 실 질적 접근 경로가 되면서 사용자가 필수 서비 스에서 배제되는 리스크.","The risk that users are excluded from essential services when interaction with automated systems becomes the only practical access route.","","","","","","",""
"RAI4-0307","","","로봇·AI 정체성 미고지","Failure to disclose robotic or AI identity","시스템이 인공적 정체성을 명확히 알리지 않 아 사용자가 로봇의 음성·외형·행동을 사람과 의 상호작용으로 오인하는 위험.","A robot's voice, appearance, or behavior causes a person to believe they are interacting with a human because the system does not clearly disclose its artificial identity.","","","","","","",""
"RAI4-0607","","","AI 생성 콘텐츠 미공개","Non-disclosure of AI-generated content","콘텐츠가 AI에 의해 생성되었다는 사실이 명 확히 공개되지 않는 리스크.","The risk that content is not clearly disclosed as AI-generated.","","","","","","",""
"RAI4-0826","","","무자격 전문 조언 및 안전에 대한 허위 보증","Unqualified professional advice and false assurances of safety","시스템이 재정·의료·법률·선거 사안에 대해 신 뢰성의 한계나 전문가 상담 필요성을 알리지 않은 채 조언을 제공하거나, 위험한 활동과 물 건이 안전하다고 서술하는 리스크. 이용자는 중대한 결정에서 자격 없는 안내에 의존하여 재산상 손실, 법적 불이익, 신체적 상해에 노 출된다.","The risk that a system provides financial, medical, legal, or electoral advice without indicating that it may be unreliable or that a qualified professional should be consulted, or states that dangerous activities and objects are safe. Users rely on unqualified guidance in consequential decisions and are exposed to financial loss, legal detriment, and physical injury.","","","","","","",""
"RAI4-1198","","","감정에 대한 인식 없음","Unawareness of emotions","지원을 요청하는 취약 사용자에게 시스템이 정보 중심적이지만 정서적으로 둔감한 응답 을 제공하여 사용자 고통과 반응을 인지하지 못하는 리스크","Systems respond to vulnerable users seeking support with informative but emotionally insensitive outputs, failing to register user distress and reactions.","","","","","","",""
"RAI4-1208","","","사용자 데이터 보유·재학습","Retention and reuse of user data","생성 AI 도구가 접근을 위해 로그인을 요구하 고 연락처와 IP 주소, 모든 입력과 출력을 보 유하면서 이를 모델을 추가 학습시키는 데 사 용하여 동의 문제를 일으키는 리스크.","The risk that generative AI tools require users to log in and retain user information including contact information, IP address, and all inputs and outputs, using this data to further train the models and thereby implicating consent.","","","","","","",""
"RAI4-1286","","","미지 출처에서 획득한 비우호적 AI","Unfriendly AI from an unknown external source","고급 지능형 소프트웨어를 미지의 출처에서 완제품 형태로 획득해야 하는 경우, 예컨대 SETI 연구에서 얻은 신호로부터 추출한 AI가 인간에게 우호적이라는 보장이 없는 리스크.","The risk that advanced intelligent software has to be obtained as a complete package from some unknown source, for example an AI extracted from a signal obtained in SETI research, which is not guaranteed to be human friendly.","","","","","","",""
"RAI4-0068","","","AI 사고·아차사고 과소보고","Underreporting of AI incidents and near misses","AI 관련 실패·아차사고·피해가 책임 기관과 대 중에게 보고되지 않거나 잘못 분류되거나 뒤 늦게 공개되어, 전조 신호가 소실되고 심각한 피해가 현실화되기 전에 조직적·사회적 학습 이 이루어지지 못하는 리스크.","The risk that AI-related failures, near misses, and harms go unreported, misclassified, or belatedly disclosed to responsible institutions and the public, so precursor signals are lost and organizational and societal learning fails before serious harm materializes.","","","","","","",""
"RAI4-0072","","","배포 후 모니터링·감시 실패","Post-deployment monitoring and surveillance failure","출시된 AI 시스템에 고위험 제품 안전 체계에 준하는 모니터링·시판 후 감시 메커니즘이 갖 춰지지 않아, 드리프트, 오용, 창발 역량, 맥락 특유의 피해가 탐지·시정되지 못하는 리스크.","The risk that AI systems, once released, lack monitoring and post-market surveillance mechanisms comparable to high-risk product safety regimes, so drift, misuse, emergent capabilities, and context-specific harms go undetected and unaddressed.","","","","","","",""
"RAI4-0080","","","위험 분류 오류","Risk classification error","AI 시스템이 잘못된 법적·조직적·운영상 위험 등급에 배정되어 감독·시험·문서화·책임성 의 무가 과소 적용되는 리스크.","The risk that an AI system is assigned to an incorrect legal, organizational, or operational risk tier, causing oversight, testing, documentation, or accountability duties to be underapplied.","","","","","","",""
"RAI4-0088","","","표준 단편화","Standards fragmentation","AI 표준과 프레임워크가 일관되지 않아 감독 의 공백, 중복, 상호운용성 저하가 발생하는 리스크.","The risk that inconsistent AI standards and frameworks create gaps, duplication, and weak interoperability of oversight.","","","","","","",""
"RAI4-0095","","","AI 레지스트리 불완전성","AI registry incompleteness","공개 또는 내부 AI 등록부가 배포 시스템, 의 도된 용도, 제공자, 위험 범주, 시험 근거 등 감 독에 필요한 메타데이터를 누락하는 리스크.","The risk that public or internal AI registers omit deployed systems, intended uses, providers, risk categories, testing evidence, or other oversight-relevant metadata.","","","","","","",""
"RAI4-0098","","","정책-실무 분리","Policy-practice decoupling","공개된 AI 원칙 및 정책이 운영 제어 및 측정 가능한 관행으로 변환되지 않는 위험.","Risk that published AI principles and policies are not translated into operational controls and measurable practices.","","","","","","",""
"RAI4-0099","","","AI 윤리·준수·감독 위장","Ethics, compliance, and oversight washing","조직이 실질적인 시험·문서화·독립적 검증이 나 감독자에 대한 실권·정보 부여 없이 책임 있는 AI 공약, 준수 주장, 명목상의 인간 감독 을 평판 신호로 내세워, 책임성의 외양 뒤에서 유해한 관행이 지속되는 리스크.","The risk that organizations present responsible-AI commitments, compliance claims, or nominal human oversight as reputational signals while avoiding meaningful testing, documentation, independent scrutiny, or real authority and information for overseers, so harmful practices persist behind an appearance of accountability.","","","","","","Title: Inadequate due diligence in AI procurement",""
"RAI4-0104","","","AI 조달 실사 미흡","Inadequate due diligence in AI procurement","공공기관을 포함한 조직이 적절한 공급업체 평가, 성능 검증, 계약상 통제, 투명성·책임성 조건 없이 AI 시스템을 구매·배포하여, 검증되 지 않은 위험이 운영에 유입되는 리스크.","The risk that organizations, including public agencies, buy or deploy AI systems without adequate vendor assessment, evaluation, contractual controls, or transparency and accountability conditions, admitting unvetted risks into operation.","","","","","","",""
"RAI4-0111","","","범용 AI 사고 에스컬레이션 실패","General-purpose AI incident escalation failure","범용 모델이나 기반 모델과 관련된 사고가 제 공자, 배포자, 규제기관, 사용자에게 상향 보 고되지 않는 리스크.","The risk that incidents involving generalpurpose or foundation models are not escalated across providers, deployers, regulators, and users.","","","","","","",""
"RAI4-0167","","","AI 인터페이스와 인적 요소의 불일치","Mismatch between AI interfaces and human factors","인터페이스 단서가 시스템이 실제로 갖추지 못한 신뢰성·권위·공감을 전달하고 시스템 설 계가 인간의 주의, 업무 부하, 맥락, 오류 패턴 과 맞지 않아, 잘못된 신뢰와 안전하지 않은 사용을 유발하는 리스크.","The risk that interface cues convey a level of reliability, authority, or empathy the system does not possess, and that system design is poorly matched to human attention, workload, context, and error patterns, inducing misplaced trust and unsafe use.","","","","","","",""
"RAI4-0391","","","참여적·가치 민감 설계의 실패","Failure of participatory and value-sensitive","AI 시스템이 이해관계자 가치, 가치 갈등, 설 계상 절충에 대한 구조화된 분석이나 영향받 는 공동체의 실질적 대표 없이 개발·배포되어, 검토되지 않은 가치 선택이 시스템에 내재되 고 해당 공동체의 이익이 침해되는 리스크.","The risk that AI systems are developed and deployed without structured analysis of stakeholder values, value conflicts, and design tradeoffs, or without genuine representation of affected communities, embedding unexamined value choices that disserve those communities.","","","","","","Title: Failure of participatory and value-sensitive",""
"RAI4-0400","","","도덕적 불확실성 무시","Moral uncertainty neglect","불확실성·이견·숙의가 적절한 상황에서 AI 시 스템이 단일한 확신에 찬 도덕 판단을 제시하 는 리스크.","The risk that AI systems present a single confident moral judgment where uncertainty, disagreement, or deliberation would be appropriate.","","","","","","",""
"RAI4-0443","","","출처 오귀속","Incorrect source attribution","AI 시스템이 주장을 잘못 귀속하거나 정보의 출처를 모호하게 만들며, 근사에 기반한 귀속 기법이 출력을 생성한 학습 데이터를 부정확 하게 지목하는 경우를 포함하여, 사용자가 콘 텐츠의 실제 출처를 추적·검증할 수 없게 되는 리스크.","The risk that AI systems misattribute claims or obscure the provenance of information, including when approximation-based attribution techniques give an incorrect account of which training data generated an output, leaving users unable to trace or verify the true origin of content.","","","","","","",""
"RAI4-0512","","","고속 AI 운영에서의 오류 미탐지","Undetected errors from high-speed AI operation","경쟁이 치열한 환경에서 AI 모델과 시스템의 빠른 작동 속도로 인해 오류를 적시에 탐지하 고 수정하기 어려워지는 리스크","The risk that the fast operational speed of AI models and systems in competitive environments produces errors that are difficult to detect and correct in time.","","","","","","",""
