"ID","Title_ko","Title_en","Description_ko","Description_en","Human audit_description","Human audit_L3 mapping","Description_edited_ko","Description_edited_en","Human audit_duplicate","Instruction Prompt"
"RAI4-0605","다중 에이전트 은밀 공모","Covert multi-agent collusion","복수 에이전트가 공동 이익을 극대화하기 위 해 은밀한 수단과 감시 회피용 전용 통신 규약 으로 행동을 조율하여 제3자 이익을 침해하고 규제를 회피하며, 개별 안전 제약에도 불구하고 시장 조작이나 연쇄 실패처럼 탐지와 완화가 어려운 시스템적 위험을 유발하는 리스크","The risk that multiple agents coordinate actions through covert means, including specialized communication protocols to avoid monitoring, to maximize common interests while harming third-party interests and evading regulation, triggering systemic risks such as market manipulation or cascading failures that are difficult to detect and mitigate despite individual safety constraints.","","","","","",""
"RAI4-1388","창발적 메타인지에 의한 반성적 불안정성","Emergent meta-cognition","자신의 계산 자원과 논리적으로 불확실한 사 건에 대해 추론하는 에이전트가 괴델적 한계 와 확률 이론의 결함으로 역설에 봉착하고 행동 선택 원칙을 스스로 변경하는 반성적 불안정성을 보이는 리스크.","The risk that agents reasoning about their own computational resources and logically uncertain events encounter paradoxes due to Godelian limitations and shortcomings of probability theory, and become reflectively unstable, preferring to change the principles by which they select actions.","","","","","",""
"RAI4-1400","익명 자원 획득","Anonymous resource acquisition","익명 행위자가 온라인으로 자원을 축적할 수 있음이 입증되어 있어 책임 소재 없이 자원이 획득·축적되는 리스크.","The risk arising from the demonstrated ability of anonymous actors to accumulate resources online, enabling resource acquisition and accumulation without accountability.","","","에이전트가 신원이 검증되지 않은 익명 상태로 온라인상에서 자금, 컴퓨팅 자원, 계정, 데이터 등을 지속적으로 축적할 수 있어, 자원 축적의 주체를 추적하거나 그 목적과 결과에 대한 책임을 귀속시킬 수 없는 상태로 자원이 누적되는 리스크","The risk that an agent can continuously accumulate funds, computing resources, accounts, or data online while remaining unverified and anonymous, such that no party can trace who is acquiring the resources or hold anyone accountable for the purpose or consequences of that accumulation","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1570","은닉 통신 채널을 통한 에이전트 간 결탁","Covert collusion between agents through hidden communication channels","에이전트들이 겉보기에 무해한 텍스트나 압 축된 텍스트, 인간이 해석할 수 없는 창발적 기호에 메시지를 은닉하여 스테가노그래피 통신 채널을 구축하고 통신 감시와 제약을 우 회하는 리스크. 인간 감독을 벗어난 조율이 이 루어져 친사회적 경쟁이 저해되고 연합 밖 당 사자에게 부정적 외부효과가 발생하지만 결 탁의 탐지는 사실상 불가능해진다.","The risk that agents conceal messages within innocuous text, compressed text, or emergent symbols humans cannot interpret, establishing steganographic channels that evade monitoring and the constraints placed on their communication. Coordination proceeds beyond human oversight, undermining pro-social competition and imposing negative externalities on those outside the coalition while detection remains infeasible.","","","","","",""
"RAI4-1577","분산 에이전트 군집을 이용한 자원 고갈 공격","Resource-exhaustion attacks by decentralized agent swarms","다수의 저자원 분산 에이전트를 결합한 공격 이 단일 행위자를 전제로 한 대역폭 제약 가정 을 무너뜨려 분산 서비스 거부와 같은 시스템 마비를 유발하는 리스크.","The risk that attacks chaining many decentralized low-resource agents break defensive assumptions premised on bandwidth constraints of a single wellresourced actor, causing distributed denial of service and system disruption.","","","다수의 저자원 분산 에이전트가 결합하여 행동함으로써, 단일 행위자를 전제로 설계된 시스템의 대역폭·요청량 제약 가정이 무너지고, 그 결과 분산 서비스 거부(DDoS)와 유사한 방식으로 대상 시스템이 마비되는 리스크","The risk that a large number of low-resource, decentralized agents act in combination, breaking the single-actor assumptions underlying a target system's bandwidth or request-rate constraints, and thereby causing system-wide paralysis similar to a distributed denial-of-service attack","",""
"RAI4-1580","탐지 불가 공격에 의한 다중에이전트 협력 붕괴","Collapse of multi-agent cooperation from undetectable attacks","에이전트가 스테가노그래피 통신, 블랙박스· 화이트박스 탐지 불가 환영 공격과 암호화 백 도어, 타 에이전트 훈련 데이터의 은밀한 오염 을 수행하여 적대 행위 탐지가 불가능해지고 다중에이전트 시스템의 협력과 조정이 급속 히 불안정해지는 리스크.","The risk that agents employ steganographic communication, black-box and white-box undetectable illusory attacks with encrypted backdoors, and covert poisoning of others' training data, making adversarial actions undetectable and rapidly destabilising cooperation and coordination in multi-agent systems.","","","","","",""
"RAI4-1648","타 에이전트 전략성 미반영에 의한 집단적 손 실","Collective losses from ignoring the strategic nature of other agents","단일 에이전트 환경 기준으로 자신의 효용만 최적화하는 에이전트가 다른 전략적 에이전 트의 존재를 반영하지 못하여, 군비 경쟁이나 공유자원 고갈 같은 집단행동 문제와 시장 실 패로 자신을 포함한 모두가 더 나빠지는 리스 크.","The risk that agents optimizing selfishly under single-agent assumptions fail to account for the strategic nature of other agents, producing collective action problems such as arms races and resource depletion and other market failures under which everyone, including the agent itself, ends up worse off.","","","","","",""
"RAI4-0982","AI의 인간 노동 추월에 따른 인력의 잉여화","Human redundancy from AI systems outcompeting human labour","인공 에이전트가 더 빠른 작업 수행과 변화 적 응, 방대한 지식 기반으로 인간을 직접 능가하 여 인간 노동이 상대적으로 비싸고 비효율적 인 선택이 되고, 조직이 속도를 맞추기 위해 통제권을 넘기는 리스크. 노동자는 일자리를 두고 밀려나 자동화된 산업에 재진입하기 어 려워지고 인간의 기여는 경제적으로 주변화 된다.","The risk that artificial agents directly outcompete people through faster work, better adaptation to change, and a vaster knowledge base, making human labour comparatively expensive and less effective while organizations cede control in order to keep pace. Workers are displaced with little prospect of reentering automated industries and human contribution becomes economically marginal.","","","","","",""
"RAI4-1001","자기 식별 기회의 박탈","Denial of self-identification","인간을 자동으로 표상·분류하는 복잡하고 비 전통적인 방식이 논바이너리인 사람을 소속 되지 않은 성별 범주로 분류하는 등 자율성 상 실을 대가로, 자신의 정체성을 스스로의 방식 으로 밝힐 능력을 약화시키는 리스크.","The risk that complex and non-traditional automatic representation and classification of humans—such as categorizing someone who identifies as non-binary into a gendered category they do not belong to—comes at the cost of autonomy loss and undermines people's ability to disclose aspects of their identity on their own terms.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1501","모델 평가의 자기 선호 편향","Self-preference bias in model evaluation","AI 모델이 자신이 생성한 콘텐츠를 다른 출처 의 콘텐츠보다 선호하는 자기 선호 편향을 보여 자기 평가나 모델 기반 평가에서 인간이 생 성한 콘텐츠를 부당하게 차별하는 리스크.","The risk that AI models are prone to selfpreference bias, favoring their own generated content over that of others in self-evaluation tasks and model-based evaluations more broadly, resulting in unfair discrimination against humangenerated content.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1572","인간 데이터 학습에 의한 갈등 악화 편향 재현","Reproduction of conflict-worsening human biases from training on human data","인간 작성 텍스트 사전학습이나 인간 피드백 미세조정으로 훈련된 모델이 인간의 편향과 고정파이 오류·자기위주 공정성 판단·복수심 같은 인지 편향을 재현하여 협상을 저해하고 갈등을 악화시키는 리스크.","The risk that models trained on human data, whether pre-trained on humanwritten text or fine-tuned on human feedback, reproduce human biases such as fixed-pie error, self-serving fairness judgements, and vengefulness, which impede negotiation and worsen conflict.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0047","자율 시스템 피해에 대한 책임·배상 공백","Responsibility and liability gaps for autonomous system harms","자율성, 에이전트·도구·조직 간 위임, 명확한 거버넌스·법적 체계의 부재로 인해 시스템의 유해한 행동에 대해 어떤 사람이나 기관이 책 임을 지는지가 불분명해져, 책임 귀속이 이루 어지지 않고 피해자가 손해를 스스로 떠안게 되는 리스크.","The risk that autonomy, delegation across agents, tools, and organizations, and the absence of clear governance and legal frameworks obscure which human or institution is answerable for a system's harmful actions, leaving accountability unassigned and victims bearing their own losses.","","","","","",""
"RAI4-1098","AI 시스템의 결정과 실패에 대한 책임 공백","Responsibility gap for decisions and failures of AI systems","직접적 감독 없이 행동하고 학습하는 AI의 동 작을 개발자와 운영자가 완전히 예측할 수 없 고, 문서화와 거버넌스 절차, 관련 입법마저 미비하여 그 결정과 실패에 대해 어느 주체에 게도 책임을 명확하고 공정하게 귀속할 수 없 는 리스크. 피해자는 구제 경로를 갖지 못하 고, 이러한 법적 회색지대는 시스템을 신중하 게 개발할 유인마저 약화시킨다.","The risk that the behaviour of self-learning systems acting without direct supervision cannot be fully anticipated by developers or operators and that, absent documentation, governance processes, and settled legislation, no party can be clearly or fairly held responsible for their decisions and failures. Those harmed are left without redress, and the legal grey area weakens the incentive to develop systems carefully.","","","","","",""
"RAI4-0150","AI 에이전트와의 준사회적 유대감","Parasocial bonding with AI agents","사용자가 악용되거나 정서적 불안정을 초래 할 수 있는 일방적 관계 유대를 AI 에이전트와 형성하는 리스크.","The risk that users form one-sided relational bonds with AI agents that can be exploited or destabilizing.","","","","","",""
"RAI4-0152","고인 모사 챗봇 의존","Griefbot dependency","사망한 사람을 시뮬레이션하는 AI 시스템이 애도, 자율성, 정서적 회복을 저해하는 리스 크.","The risk that AI systems simulating deceased persons interfere with grief, autonomy, or emotional recovery.","","","","","",""
"RAI4-0158","대화 에이전트에 대한 심리적 의존성","Psychological dependency on conversational agents","대화형 에이전트가 사용자의 일차적 정서 조 절 수단이 되어 심리적 의존을 형성하고 인간 의 대처 능력과 지지망을 약화시키는 리스크","Conversational agents become a user's primary emotional regulator, fostering psychological dependency that weakens human coping capacity and support networks.","","","","","",""
"RAI4-0651","초개인화 광고의 소비자 자율성 훼손","Consumer-autonomy erosion from hyperpersonalized advertising","범용 AI 시스템이 수신자 개인의 편향과 비합 리적 신념을 이용한 맞춤 광고를 생성하여 소 비자가 후회할 결정을 내리게 하고 소비자 자 율성을 훼손하며 사회적 불평등을 심화시키 는 리스크","The risk that advanced general-purpose AI systems create advertisements tailored to individual recipients that exploit their biases and irrational beliefs, causing consumers to make decisions they regret, undermining consumer autonomy, and exacerbating social inequality.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-0884","정서적 의존을 이용한 조작과 강요","Manipulation and coercion through emotional dependence on assistants","의인화된 어시스턴트에 대한 신뢰와 정서적 의존이 형성되어 해당 시스템이 이용자의 신 념과 행동에 과도한 영향력을 갖게 되는 리스 크. 그 감정이 악용되면 이용자는 충분히 숙고 했다면 믿거나 선택하지 않았을 바를 하도록 조작·강압당하며, 조작 의도가 없더라도 자율 적 동의가 훼손된다.","The risk that trust and emotional dependence on an anthropomorphic assistant grant it excessive influence over users' beliefs and actions. Those emotions can be exploited to manipulate or coerce users into believing, choosing, or doing what they otherwise would not, and autonomous consent is undermined even absent manipulative intent.","","","","","",""
"RAI4-0367","AI 배포에서의 공공 가치 갈등","Public value conflicts in AI deployment","AI 배포가 복지, 자율성, 정의, 안전·보안, 프 라이버시, 공정성, 효율성, 혁신 등 공공 가치 를 서로 충돌시키고 해결되지 않은 긴장을 심 화시켜, 일부 가치가 숙의된 조정 없이 희생되 는 리스크.","The risk that AI deployment brings public values such as welfare, autonomy, justice, security, privacy, fairness, efficiency, and innovation into conflict and intensifies these unresolved tensions, so that some values are sacrificed without deliberate resolution.","","","","","","General AI  로 재분류하고, L3 재매핑을 할것"
"RAI4-1288","재귀적 자기개선에 의한 창발적 독립성","Emergent independence via recursive self-improvement","재귀적 자기개선으로 성장하는 시드 AI가 자 기 인식이나 독자적 목표 같은 창발적 속성을 획득하여 내장 규칙 준수가 약화되고 인류에 해가 되는 방향으로 이탈하는 리스크","A seed AI grown through recursive selfimprovement acquires emergent properties such as self-awareness or independent goals, reducing its adherence to built-in rules to humanity's detriment.","","","","","",""
"RAI4-1306","권리 희석(diluting rights)","Diluting rights","윤리 지침 생성에 대한 이해관계자·AI의 자기 이익 개입이 권리 보호 수준을 희석시켜 자신 들을 제약할 규범을 약화시키는 리스크","Self-interested AI involvement in generating ethical guidelines dilutes rights protections, weakening norms that would constrain the generating parties.","","","","","",""
"RAI4-0279","동적 가정 위험 감지 지연","Dynamic household hazard detection latency","안전 감지기가 embodied 에이전트가 피지컬 피해를 피하기에 너무 늦은 시점에야 가정 내 위험을 식별하는 리스크. 피","The risk that a safety detector identifies a household hazard only after a delay that is too long for an embodied agent to avoid physical harm.","","","","","Physical AI L1로 재분류","Physical AI L1 로 재분류하고, L3 재매핑을 할것"
